Precinct,MIKE THOMPSON,ANTHONY MILLS
ALHA802,38,10
ALHA805,27,19
CROC101,791,197
CROC102,393,107
CROC801,0,0
GIAN101,401,84
GIAN102,295,88
GIAN103,467,153
GIAN104,551,186
GIAN105,366,79
HERC101,748,162
HERC102,789,156
HERC103,410,59
HERC104,536,115
HERC105,361,105
HERC106,519,119
HERC107,618,108
HERC108,485,103
HERC109,630,109
HERC110,445,94
HERC111,463,123
HERC113,656,137
HERC114,462,91
MART101,371,68
MART103,234,64
MART104,600,188
MART106,272,80
MART107,482,233
MART108,534,192
MART109,503,165
MART110,341,121
MART111,669,283
MART125,369,123
MART801,1,0
MART806 0,68,22
MART807 0,48,8
MART808 0,94,26
MART809 0,6,1
MART810 0,68,15
MART811 0,79,26
MART812 0,22,4
MART813 0,92,19
MART814 0,5,1
MART815 0,55,30
MART816 0,25,4
MART817 0,29,5
MART818 0,101,38
MART819 0,15,12
MART820 0,54,27
MART821 0,85,54
MART822 0,104,42
MART823 0,15,4
MART828 0,19,6
MART830 0,109,32
MART831 0,163,51
MART832 0,175,63
MART833 0,156,35
MART834 0,193,87
MART837 0,79,36
MART838 0,56,16
MVIE101,272,123
MVIE102,326,133
MVIE801 0,0,0
MVIE802 0,4,1
OLEU801,4,4
OLEU802,10,5
PINL102,447,111
PINL103,513,99
PINL104,377,107
PINL105,570,122
PINL106,427,117
PINL107,388,109
PINL108,569,146
PINL109,369,91
PINL110,618,169
PINL111,585,149
PINL112,610,193
PINL801,11,4
PINL802,119,34
PINL803,46,5
PRCO801,88,28
RODO101,445,147
RODO102,534,145
RODO103,568,179
RODO104,472,138
VINE101,463,211
VINE102,242,123
VINE801,54,42
VINE802,52,28
VINE803 0,15,4
