Precinct,Yes,No
BAPO102,132,43
NRTV801,2,5
PTTS106,356,203
PTTS107,368,294
PTTS108,416,128
PTTS109,347,143
PTTS110,349,174
PTTS111,321,226
PTTS112,272,227
PTTS113,279,170
PTTS114,378,242
PTTS115,439,219
PTTS116,286,166
PTTS117,207,227
PTTS118,315,213
PTTS119,280,185
PTTS120,146,105
PTTS121,286,103
PTTS122,268,126
PTTS123,216,106
PTTS124,205,134
PTTS125,384,171
PTTS126,323,148
PTTS127,247,140
PTTS128,406,187
PTTS129,527,243
PTTS130,321,122
PTTS131,329,173
PTTS133,313,130
PTTS134,303,161
PTTS135,274,131
