Precinct,JOHN FITZGERALD,MARK DESAULNIER
ALHA101,206,269
ALHA801,9,15
ALHA803,6,7
ALHA804,41,81
ALHA806,1,1
ALMO101,258,318
ALMO102,457,715
ALMO103,314,440
ALMO104,395,440
ALMO105,230,245
ALMO106,335,399
ALMO107,164,430
ALMO108,216,378
ALMO109,316,412
ALMO110,362,420
ALMO111,357,406
ALMO112,270,235
ANTI101,77,135
ANTI102,167,396
ANTI103,124,365
ANTI104,186,473
ANTI105,176,376
ANTI112,135,278
ANTI113,106,240
ANTI114,122,371
ANTI119,170,498
ANTI146,201,339
ANTI147,172,458
ANTI148,69,338
ANTI149,70,233
AYER101,161,205
BAPO101,125,496
BAPO102,49,138
BAPO103,104,412
BAPO104,76,329
BAPO105,99,312
BAPO106,108,344
BAPO107,180,451
BAPO108,54,250
BAPO109,103,316
BAPO801,0,4
BAPO802,1,2
BKDI801,7,2
BKDI802,94,95
BKDI803,0,2
BKDI804,0,2
BKHW101,504,466
BKHW102,396,453
BKHW103,305,320
BKHW104,217,468
BKHW105,324,234
BKHW106,289,464
BKHW107,270,500
BKHW108,203,476
BRHL101,199,336
BRHL102,147,389
BRHL103,226,543
BRHL801,0,0
BRVL101,161,162
BRVL801,72,91
BYRN802,22,17
CANY801,8,145
CASR101,142,223
CLAY101,312,545
CLAY102,397,541
CLAY103,209,366
CLAY104,311,439
CLAY105,374,620
CLAY106,319,374
CLAY107,412,642
CLYD101,113,193
CONC101,97,279
CONC102,134,450
CONC103,170,484
CONC104,192,409
CONC105,202,449
CONC106,143,440
CONC107,209,543
CONC108,142,493
CONC109,196,531
CONC110,144,491
CONC111,193,456
CONC112,190,435
CONC113,219,504
CONC114,221,412
CONC115,302,654
CONC116,160,544
CONC117,165,489
CONC118,161,702
CONC119,136,511
CONC120,186,538
CONC121,217,458
CONC122,168,412
CONC123,200,563
CONC124,276,570
CONC125,181,449
CONC126,306,610
CONC127,174,302
CONC128,258,608
CONC129,208,393
CONC130,109,272
CONC131,146,403
CONC132,145,373
CONC133,210,439
CONC134,191,464
CONC136,310,731
CONC137,135,376
CONC138,192,490
CONC139,134,438
CONC140,191,337
CONC141,177,384
CONC142,179,386
CONC143,224,667
CONC144,225,648
CONC145,117,429
CONC146,136,428
CONC147,221,425
CONC148,252,649
CONC149,213,457
CONC150,215,536
CONC151,120,264
CONC152,186,491
CONC153,197,466
CONC154,130,319
CONC155,161,377
CONC156,228,465
CONC157,180,391
CONC158,169,477
CONC159,245,544
CONC160,240,337
CONC161,212,469
CONC163,111,372
CONC164,234,507
CONC165,89,351
CONC801,17,18
CONC802,3,2
CONC803,0,0
CONC804,7,13
DANV101,261,292
DANV102,195,226
DANV103,250,432
DANV104,397,559
DANV105,407,557
DANV106,374,511
DANV107,342,647
DANV108,398,568
DANV109,210,356
DANV110,160,222
DANV111,162,332
DANV112,324,525
DANV113,207,408
DANV114,313,547
DANV115,301,347
DANV116,170,300
DANV117,264,504
DANV118,237,492
DANV120,344,587
DANV121,217,301
DANV122,287,363
DANV123,273,411
DANV124,168,318
DANV125,120,242
DANV126,349,708
DANV127,218,409
DANV128,217,306
DANV129,402,519
DANV130,256,347
DIAB101,349,273
ELCR101,74,997
ELCR102,143,911
ELCR103,65,577
ELCR104,119,959
ELCR105,109,679
ELCR106,64,548
ELCR107,97,554
ELCR108,91,692
ELCR109,88,884
ELCR110,72,897
ELCR111,49,720
ELCR112,49,622
ELCR113,98,1045
ELCR114,49,570
ELCR115,68,462
ELSO101,146,584
ELSO102,151,647
ELSO103,123,404
ELSO104,151,505
ELSO105,218,633
ELSO106,115,536
ELSO107,63,278
ELSO801,0,2
ELSO802,48,95
ELSO803,5,9
ERIC101,98,841
ERIC102,88,904
ERIC103,51,317
ERIC801,3,39
FAIR801,1,0
KENS101,66,521
KENS102,61,672
KENS103,76,1020
KENS104,67,836
KENS801,1,0
KENS802,0,1
LAST801,24,16
LFET101,315,640
LFET102,235,509
LFET103,188,525
LFET104,195,614
LFET105,190,522
LFET106,162,506
LFET107,194,802
LFET108,183,855
LFET109,243,890
LFET110,143,463
LFET111,188,565
LFET112,99,231
LFET113,194,585
LFET114,188,532
LFET115,185,492
LFET116,310,667
LFET117,265,816
MARC803,13,7
MART112,157,457
MART114,130,309
MART115,202,401
MART116,111,275
MART117,168,301
MART118,200,416
MART120,182,606
MART126 0,110,238
MART802,79,86
MART803,21,30
MART804,36,99
MART805,27,89
MART824 0,5,13
MART825 0,8,11
MART826 0,56,81
MART827 0,0,0
MART829 0,2,2
MART835 0,58,163
MART836 0,63,163
MART839 0,66,159
MART840 0,49,146
MART841 0,51,210
MART842 0,80,153
MART843 0,74,127
MART844 0,72,171
MART845 0,0,10
MART846 0,94,253
MART847 0,97,211
MART848 0,34,99
MART849 0,67,136
MART850 0,93,236
MDIA101,132,201
MDIA801,2,4
MDIA802,2,2
MORG101,290,927
MORG102,180,570
MORG103,288,736
MORG104,342,816
MORG105,281,787
MORG106,310,737
MORG107,365,859
MORG108,232,580
NICH801,4,2
NRIC101,83,459
NRTV801,5,2
NRTV802,7,3
ORDA101,268,1020
ORDA102,129,448
ORDA103,232,600
ORDA104,131,360
ORDA105,239,736
ORDA106,249,856
ORDA107,251,854
ORDA108,309,758
ORDA109,234,479
ORDA110,93,287
ORDA111,228,878
ORDA112,231,601
ORDA113,69,276
ORDA801,0,3
PACH101,270,627
PACH102,161,340
PACH801,3,0
PACH802,28,58
PACH803,2,0
PLHL101,154,540
PLHL102,153,408
PLHL103,170,414
PLHL104,318,783
PLHL105,187,474
PLHL106,263,678
PLHL107,240,650
PLHL108,279,669
PLHL109,170,676
PLHL110,224,567
PLHL111,257,584
PLHL112,141,480
PLHL113,204,645
PLHL114,247,717
PLHL115,217,703
PLHL116,171,504
PLHL117,171,561
PLHL118,166,508
PLHL119,169,520
PTTS101,175,522
PTTS102,153,386
PTTS103,107,394
PTTS104,130,486
PTTS105,74,209
PTTS106,141,424
PTTS107,176,493
PTTS108,97,511
PTTS109,95,401
PTTS110,99,416
PTTS111,157,387
PTTS112,89,408
PTTS113,87,358
PTTS114,154,460
PTTS115,163,496
PTTS116,117,343
PTTS117,134,297
PTTS118,127,396
PTTS119,121,338
PTTS120,103,308
PTTS121,84,317
PTTS122,73,320
PTTS123,65,260
PTTS124,51,298
PTTS125,80,487
PTTS126,76,394
PTTS127,59,332
PTTS128,103,495
PTTS129,145,617
PTTS130,113,327
PTTS131,106,408
PTTS132,165,515
PTTS133,106,356
PTTS134,91,373
PTTS135,82,318
PTTS801,1,2
PTTS802,0,0
RICH101,91,731
RICH102,52,448
RICH103,104,579
RICH104,104,843
RICH105,113,964
RICH106,104,667
RICH107,28,159
RICH108,63,658
RICH109,30,313
RICH110,43,424
RICH111,39,300
RICH112,68,435
RICH113,72,589
RICH114,68,516
RICH115,53,452
RICH116,25,255
RICH117,49,414
RICH118,67,470
RICH119,57,356
