Precinct,RUDY L. PETERS JR.,ERIC SWALWELL
DANV119,451,720
NCYN101,171,277
SRAM101,196,444
SRAM102,228,573
SRAM103,309,489
SRAM104,256,499
SRAM105,187,399
SRAM106,250,538
SRAM107,284,494
SRAM108,218,603
SRAM109,254,520
SRAM110,270,466
SRAM111,326,683
SRAM112,287,569
SRAM113,271,460
SRAM114,217,336
SRAM115,288,589
SRAM116,228,466
SRAM117,326,704
SRAM118,187,403
SRAM119,159,388
SRAM120,300,486
SRAM121,169,227
SRAM122,148,503
SRAM123,171,638
SRAM124,90,333
SRAM125,217,422
SRAM126,175,445
SRAM127,60,239
SRAM128,230,644
SRAM129,185,331
SRAM130,184,385
SRAM131,104,401
SRAM132,194,464
SRAM133,189,587
SRAM134,132,433
SRAM135,113,371
SRAM136,178,317
SRAM137,154,565
SRAM138,128,375
SRAM139,147,331
SRAM140,113,399
SRAM141,189,408
SRAM142,108,368
TASJ801,1,0
TASJ804,14,74
