Precinct,JIM FRAZIER,LISA ROMERO
ANTI101,140,72
ANTI102,389,167
ANTI103,352,134
ANTI104,464,202
ANTI105,382,170
ANTI106,376,154
ANTI107,399,162
ANTI108,530,322
ANTI109,524,213
ANTI110,414,195
ANTI111,516,258
ANTI112,280,135
ANTI113,225,128
ANTI114,365,126
ANTI115,418,182
ANTI116,247,124
ANTI117,412,240
ANTI118,289,170
ANTI119,476,202
ANTI120,538,257
ANTI121,413,138
ANTI122,564,217
ANTI123,646,203
ANTI124,632,164
ANTI125,414,213
ANTI126,291,150
ANTI127,397,228
ANTI128,346,171
ANTI129,240,129
ANTI130,335,136
ANTI131,435,247
ANTI132,360,131
ANTI133,603,189
ANTI134,458,165
ANTI135,434,146
ANTI136,461,165
ANTI137,399,139
ANTI138,487,179
ANTI139,424,201
ANTI140,258,108
ANTI141,480,157
ANTI142,336,95
ANTI143,604,159
ANTI144,269,132
ANTI145,325,99
ANTI146,353,192
ANTI147,441,194
ANTI148,327,82
ANTI149,224,76
ANTI150,316,162
ANTI151,234,47
ANTI152,305,116
ANTI801,2,1
ANTI802,8,4
BETH101,499,447
BETH801,0,0
BKDI801,4,4
BKDI802,85,107
BKDI804,2,0
BREN101,480,290
BREN102,369,214
BREN103,433,392
BREN104,391,303
BREN105,182,131
BREN106,207,112
BREN107,475,300
BREN108,501,330
BREN109,443,391
BREN110,393,330
BREN111,654,434
BREN112,399,196
BREN113,349,238
BREN114,243,180
BREN115,289,215
BREN116,610,545
BREN117,204,174
BREN118,377,309
BREN119,430,298
BREN120,318,186
BREN121,258,217
BREN122,289,258
BREN123,358,321
BREN124,541,378
BREN125,82,71
BREN126,446,292
BREN127,729,602
BREN128,748,481
BREN129,201,157
BREN130,379,262
BREN131,263,170
BREN132,253,200
BREN133,282,229
BREN801,2,2
BREN802,36,30
BYRN101,139,177
BYRN801,38,74
DBAY101,627,465
DBAY102,459,451
DBAY103,237,266
DBAY104,456,483
DBAY105,173,152
DBAY106,577,557
DBAY107,380,400
DBAY801,63,74
FAIR801,0,1
KNGT101,268,322
KNGT801,15,21
KNGT802,2,6
KNGT803,39,32
KNGT804,40,24
MARC801,65,92
OKLY101,317,255
OKLY102,375,264
OKLY103,396,296
OKLY104,667,290
OKLY105,383,252
OKLY106,425,369
OKLY107,253,144
OKLY108,289,202
OKLY109,295,172
OKLY110,362,291
OKLY111,259,237
OKLY112,264,220
OKLY113,580,374
OKLY114,415,349
OKLY115,379,230
OKLY116,468,322
OKLY117,293,212
OKLY118,228,121
OKLY119,238,164
OKLY801,1,2
PTTS108,484,114
PTTS114,443,170
PTTS115,468,177
PTTS116,341,112
PTTS119,323,131
PTTS120,290,114
PTTS134,353,100
PTTS135,298,98
PTTS801,2,1
VIER801,4,6
