Precinct,JOVANKA BECKLES,BUFFY WICKS
ELCR101,418,615
ELCR102,374,618
ELCR103,343,289
ELCR104,466,557
ELCR105,253,489
ELCR106,244,350
ELCR107,263,345
ELCR108,269,477
ELCR109,391,550
ELCR110,429,523
ELCR111,357,387
ELCR112,365,284
ELCR113,465,628
ELCR114,233,363
ELCR115,302,203
ELSO101,294,394
ELSO102,368,380
ELSO103,207,267
ELSO104,254,358
ELSO105,379,399
ELSO106,278,333
ELSO107,139,181
ELSO803,6,6
ERIC101,409,503
ERIC102,425,542
ERIC103,172,184
ERIC801,18,21
GIAN101,228,253
GIAN102,168,202
GIAN103,276,311
GIAN104,310,377
GIAN105,230,212
HERC101,358,502
HERC102,390,506
HERC103,177,279
HERC104,248,369
HERC105,170,263
HERC106,239,369
HERC107,289,410
HERC108,235,326
HERC109,322,380
HERC110,203,299
HERC111,218,330
HERC113,302,458
HERC114,224,305
KENS101,189,377
KENS102,199,511
KENS103,392,676
KENS104,278,606
KENS802,1,0
NRIC101,312,238
PINL102,250,297
PINL103,301,300
PINL104,216,253
PINL105,312,352
PINL106,206,296
PINL107,210,255
PINL108,296,374
PINL109,180,245
PINL110,274,466
PINL111,252,448
PINL112,306,431
PINL801,7,8
PINL802,67,79
PINL803,23,33
RICH101,272,527
RICH102,156,340
RICH103,182,451
RICH104,381,539
RICH105,465,584
RICH106,442,312
RICH107,94,85
RICH108,373,339
RICH109,180,169
RICH110,290,172
RICH111,197,137
RICH112,281,230
RICH113,385,281
RICH114,386,202
RICH115,324,190
RICH116,176,102
RICH117,278,186
RICH118,351,193
RICH119,240,171
RICH120,212,133
RICH121,110,72
RICH122,402,424
RICH123,470,408
RICH124,296,218
RICH125,292,264
RICH126,250,246
RICH127,271,208
RICH128,309,291
RICH129,251,152
RICH130,260,182
RICH131,247,209
RICH132,278,272
RICH133,228,281
RICH134,180,217
RICH135,228,216
RICH136,177,220
RICH137,302,270
RICH138,147,261
RICH139,402,498
RICH140,155,215
RICH141,210,323
RICH142,417,497
RICH143,490,400
RICH144,312,431
RICH145,481,459
RICH146,112,71
RICH147,258,152
RICH148,86,40
RICH149,199,82
RICH150,181,138
RICH151,183,209
RICH152,206,161
RICH153,168,154
RICH154,287,188
RICH155,240,229
RICH156,181,203
RICH801,11,10
RICH802,21,14
RICH803,67,84
RICH804,63,57
RICH805,22,55
RICH806,53,55
RICH807,0,0
ROLL101,326,284
SPAB101,524,295
SPAB102,181,156
SPAB103,231,190
SPAB104,280,232
SPAB105,201,175
SPAB106,403,355
SPAB107,308,282
SPAB108,276,205
SPAB109,232,197
SPAB110,296,294
