Precinct,MARSHALL TUCK,TONY K. THURMOND
ALHA101,231,224
ALHA801,11,14
ALHA802,23,21
ALHA803,8,5
ALHA804,41,69
ALHA805,16,27
ALHA806,0,1
ALMO101,290,230
ALMO102,621,486
ALMO103,386,314
ALMO104,460,295
ALMO105,279,155
ALMO106,419,265
ALMO107,257,284
ALMO108,288,261
ALMO109,404,271
ALMO110,463,262
ALMO111,405,289
ALMO112,285,172
ANTI101,101,97
ANTI102,247,299
ANTI103,209,276
ANTI104,303,358
ANTI105,211,336
ANTI106,223,286
ANTI107,215,329
ANTI108,418,400
ANTI109,304,404
ANTI110,252,333
ANTI111,344,387
ANTI112,179,225
ANTI113,156,185
ANTI114,193,292
ANTI115,247,327
ANTI116,162,206
ANTI117,317,316
ANTI118,208,230
ANTI119,285,362
ANTI120,324,430
ANTI121,206,331
ANTI122,289,450
ANTI123,318,499
ANTI124,277,489
ANTI125,293,312
ANTI126,189,223
ANTI127,275,315
ANTI128,194,306
ANTI129,162,197
ANTI130,195,252
ANTI131,264,390
ANTI132,223,262
ANTI133,280,476
ANTI134,241,368
ANTI135,209,334
ANTI136,249,352
ANTI137,224,291
ANTI138,248,415
ANTI139,248,343
ANTI140,140,202
ANTI141,248,371
ANTI142,154,275
ANTI143,299,443
ANTI144,151,235
ANTI145,155,270
ANTI146,243,279
ANTI147,255,346
ANTI148,144,266
ANTI149,124,170
ANTI150,200,252
ANTI151,111,164
ANTI152,157,234
ANTI801,2,1
ANTI802,6,6
AYER101,163,169
BAPO101,240,368
BAPO102,81,89
BAPO103,199,303
BAPO104,122,283
BAPO105,171,239
BAPO106,183,259
BAPO107,256,331
BAPO108,124,178
BAPO109,168,235
BAPO801,4,0
BAPO802,1,0
BETH101,511,342
BETH801,0,0
BKDI801,7,2
BKDI802,109,78
BKDI803,0,1
BKDI804,0,2
BKHW101,571,323
BKHW102,459,308
BKHW103,357,229
BKHW104,332,325
BKHW105,313,193
BKHW106,334,360
BKHW107,342,374
BKHW108,318,294
BREN101,334,390
BREN102,254,285
BREN103,400,355
BREN104,314,319
BREN105,133,155
BREN106,131,162
BREN107,335,389
BREN108,354,414
BREN109,375,389
BREN110,321,325
BREN111,498,532
BREN112,267,286
BREN113,283,250
BREN114,189,204
BREN115,234,224
BREN116,593,499
BREN117,182,146
BREN118,328,324
BREN119,325,337
BREN120,212,253
BREN121,249,199
BREN122,243,234
BREN123,355,277
BREN124,413,434
BREN125,79,54
BREN126,320,375
BREN127,678,587
BREN128,601,533
BREN129,173,156
BREN130,259,309
BREN131,189,203
BREN132,209,210
BREN133,259,222
BREN801,0,4
BREN802,28,33
BRHL101,241,256
BRHL102,257,245
BRHL103,290,419
BRHL801,0,0
BRVL101,178,124
BRVL801,74,76
BYRN101,203,82
BYRN801,65,42
BYRN802,17,11
BYRN803,2,0
CANY801,32,107
CASR101,163,164
CLAY101,401,400
CLAY102,428,418
CLAY103,273,267
CLAY104,345,342
CLAY105,470,441
CLAY106,354,303
CLAY107,494,482
CLYD101,135,141
CONC101,134,218
CONC102,192,353
CONC103,243,375
CONC104,250,312
CONC105,257,365
CONC106,208,341
CONC107,269,434
CONC108,233,375
CONC109,266,429
CONC110,228,362
CONC111,272,344
CONC112,265,321
CONC113,269,405
CONC114,276,327
CONC115,407,511
CONC116,254,411
CONC117,275,342
CONC118,307,509
CONC119,220,384
CONC120,283,398
CONC121,253,370
CONC122,239,309
CONC123,300,426
CONC124,360,428
CONC125,255,349
CONC126,383,476
CONC127,217,222
CONC128,359,466
CONC129,262,304
CONC130,149,192
CONC131,203,319
CONC132,218,245
CONC133,252,366
CONC134,268,342
CONC136,440,551
CONC137,178,298
CONC138,267,367
CONC139,216,338
CONC140,216,278
CONC141,197,315
CONC142,254,276
CONC143,310,523
CONC144,331,515
CONC145,236,289
CONC146,229,325
CONC147,257,349
CONC148,327,505
CONC149,275,343
CONC150,294,405
CONC151,161,180
CONC152,285,330
CONC153,256,365
CONC154,162,259
CONC155,203,281
CONC156,316,337
CONC157,207,330
CONC158,228,376
CONC159,315,421
CONC160,277,260
CONC161,258,376
CONC163,170,284
CONC164,319,387
CONC165,150,269
CONC801,18,13
CONC802,3,2
CONC803,0,0
CONC804,10,9
CROC101,318,661
CROC102,167,329
CROC801,1,0
DANV101,306,205
DANV102,236,155
DANV103,306,321
DANV104,484,404
DANV105,480,400
DANV106,420,386
DANV107,479,443
DANV108,484,417
DANV109,267,273
DANV110,175,170
DANV111,203,240
DANV112,392,408
DANV113,302,284
DANV114,418,381
DANV115,350,249
DANV116,233,213
DANV117,328,386
DANV118,333,360
DANV119,575,510
DANV120,430,447
DANV121,292,193
DANV122,330,269
DANV123,343,281
DANV124,226,219
DANV125,172,151
DANV126,471,522
DANV127,298,285
DANV128,273,210
DANV129,453,410
DANV130,322,242
DBAY101,489,526
DBAY102,447,384
DBAY103,263,192
DBAY104,509,336
DBAY105,152,133
DBAY106,608,419
DBAY107,406,309
DBAY801,75,46
DIAB101,382,183
ELCR101,228,795
ELCR102,286,692
ELCR103,139,457
ELCR104,260,761
ELCR105,230,513
ELCR106,130,435
ELCR107,153,450
ELCR108,208,543
ELCR109,226,701
ELCR110,202,718
ELCR111,150,570
ELCR112,130,500
ELCR113,235,842
ELCR114,129,461
ELCR115,127,356
ELSO101,233,452
ELSO102,223,545
ELSO103,171,340
ELSO104,220,414
ELSO105,305,514
ELSO106,186,442
ELSO107,88,243
ELSO801,0,2
ELSO802,57,81
ELSO803,9,6
ERIC101,217,683
ERIC102,200,759
ERIC103,97,251
ERIC801,6,30
FAIR801,1,0
GIAN101,201,290
GIAN102,149,254
GIAN103,268,363
GIAN104,297,442
GIAN105,149,298
HERC101,360,539
HERC102,346,604
HERC103,135,330
HERC104,241,405
HERC105,179,273
HERC106,231,409
HERC107,248,481
HERC108,208,390
