Precinct,ED HERNANDEZ,ELENI KOUNALAKIS
ALHA101,149,245
ALHA801,3,16
ALHA802,20,27
ALHA803,8,3
ALHA804,39,66
ALHA805,16,26
ALHA806,0,0
ALMO101,167,291
ALMO102,331,684
ALMO103,208,421
ALMO104,276,416
ALMO105,159,216
ALMO106,254,363
ALMO107,166,343
ALMO108,173,345
ALMO109,234,379
ALMO110,257,381
ALMO111,243,389
ALMO112,175,232
ANTI101,86,106
ANTI102,237,278
ANTI103,199,270
ANTI104,283,349
ANTI105,214,300
ANTI106,212,267
ANTI107,247,269
ANTI108,342,416
ANTI109,284,397
ANTI110,261,300
ANTI111,298,386
ANTI112,172,216
ANTI113,143,180
ANTI114,171,303
ANTI115,240,311
ANTI116,162,187
ANTI117,253,335
ANTI118,192,227
ANTI119,280,357
ANTI120,292,430
ANTI121,226,305
ANTI122,298,440
ANTI123,331,470
ANTI124,353,412
ANTI125,234,333
ANTI126,173,218
ANTI127,232,334
ANTI128,170,293
ANTI129,134,200
ANTI130,199,235
ANTI131,269,359
ANTI132,187,266
ANTI133,316,437
ANTI134,269,318
ANTI135,209,324
ANTI136,263,318
ANTI137,245,260
ANTI138,247,391
ANTI139,255,328
ANTI140,140,187
ANTI141,260,355
ANTI142,170,246
ANTI143,293,424
ANTI144,162,209
ANTI145,178,237
ANTI146,211,279
ANTI147,236,367
ANTI148,157,246
ANTI149,134,167
ANTI150,186,253
ANTI151,100,161
ANTI152,145,241
ANTI801,3,0
ANTI802,6,6
AYER101,129,167
BAPO101,251,340
BAPO102,72,99
BAPO103,230,263
BAPO104,155,229
BAPO105,226,183
BAPO106,160,274
BAPO107,226,355
BAPO108,148,162
BAPO109,197,196
BAPO801,2,1
BAPO802,2,1
BETH101,315,453
BETH801,0,0
BKDI801,7,2
BKDI802,80,90
BKDI803,0,2
BKDI804,0,2
BKHW101,328,436
BKHW102,254,423
BKHW103,201,315
BKHW104,223,393
BKHW105,187,281
BKHW106,259,421
BKHW107,254,422
BKHW108,197,412
BREN101,307,367
BREN102,199,314
BREN103,316,385
BREN104,248,354
BREN105,177,105
BREN106,135,146
BREN107,362,328
BREN108,329,411
BREN109,306,403
BREN110,273,349
BREN111,380,581
BREN112,231,327
BREN113,208,304
BREN114,164,197
BREN115,192,244
BREN116,389,547
BREN117,116,184
BREN118,290,324
BREN119,296,341
BREN120,205,229
BREN121,150,244
BREN122,172,287
BREN123,248,323
BREN124,379,432
BREN125,61,72
BREN126,254,368
BREN127,437,683
BREN128,403,664
BREN129,144,163
BREN130,227,313
BREN131,164,207
BREN132,163,226
BREN133,200,228
BREN801,2,2
BREN802,27,30
BRHL101,184,281
BRHL102,147,331
BRHL103,256,420
BRHL801,0,0
BRVL101,108,150
BRVL801,46,82
BYRN101,107,124
BYRN801,53,39
BYRN802,17,19
BYRN803,1,0
CANY801,43,97
CASR101,124,190
CLAY101,260,483
CLAY102,347,435
CLAY103,201,313
CLAY104,226,403
CLAY105,322,525
CLAY106,221,377
CLAY107,355,544
CLYD101,101,170
CONC101,146,198
CONC102,243,305
CONC103,220,383
CONC104,237,313
CONC105,260,334
CONC106,195,359
CONC107,315,388
CONC108,227,377
CONC109,259,391
CONC110,237,343
CONC111,235,351
CONC112,216,335
CONC113,238,404
CONC114,208,357
CONC115,359,494
CONC116,236,425
CONC117,267,353
CONC118,316,515
CONC119,233,366
CONC120,256,408
CONC121,249,373
CONC122,207,308
CONC123,291,407
CONC124,286,464
CONC125,204,365
CONC126,307,479
CONC127,171,230
CONC128,285,483
CONC129,197,324
CONC130,117,230
CONC131,203,299
CONC132,173,289
CONC133,225,355
CONC134,209,372
CONC136,386,558
CONC137,187,287
CONC138,239,373
CONC139,191,337
CONC140,195,278
CONC141,190,300
CONC142,180,321
CONC143,310,499
CONC144,344,464
CONC145,225,301
CONC146,222,299
CONC147,244,342
CONC148,318,502
CONC149,229,386
CONC150,264,418
CONC151,123,218
CONC152,237,365
CONC153,223,379
CONC154,150,253
CONC155,183,297
CONC156,264,339
CONC157,218,282
CONC158,217,370
CONC159,270,423
CONC160,182,310
CONC161,221,392
CONC163,195,256
CONC164,257,399
CONC165,179,248
CONC801,12,16
CONC802,3,1
CONC803,0,0
CONC804,9,10
CROC101,385,574
CROC102,184,296
CROC801,0,0
DANV101,168,299
DANV102,145,207
DANV103,262,339
DANV104,295,541
DANV105,308,531
DANV106,281,472
DANV107,307,571
DANV108,284,547
DANV109,160,339
DANV110,128,189
DANV111,158,286
DANV112,306,443
DANV113,171,356
DANV114,291,479
DANV115,185,371
DANV116,160,261
DANV117,229,440
DANV118,233,422
DANV119,363,645
DANV120,301,521
DANV121,177,277
DANV122,209,337
DANV123,189,383
DANV124,156,264
DANV125,110,203
DANV126,348,625
DANV127,199,352
DANV128,175,285
DANV129,300,481
DANV130,196,332
DBAY101,372,554
DBAY102,314,450
DBAY103,177,231
DBAY104,321,423
DBAY105,118,157
DBAY106,392,497
DBAY107,236,364
DBAY801,41,57
DIAB101,174,300
ELCR101,321,693
ELCR102,336,620
ELCR103,216,392
ELCR104,355,655
ELCR105,257,486
ELCR106,218,362
ELCR107,235,373
ELCR108,285,465
ELCR109,310,622
ELCR110,344,578
ELCR111,282,447
ELCR112,227,415
ELCR113,385,672
ELCR114,200,391
ELCR115,193,310
ELSO101,311,368
ELSO102,309,432
ELSO103,220,270
ELSO104,260,352
ELSO105,327,457
ELSO106,268,348
ELSO107,117,199
ELSO801,0,2
ELSO802,58,76
ELSO803,6,7
ERIC101,367,525
ERIC102,387,572
ERIC103,144,209
ERIC801,9,32
FAIR801,1,0
GIAN101,281,191
GIAN102,202,188
GIAN103,308,296
GIAN104,315,402
GIAN105,205,237
HERC101,375,487
HERC102,366,556
HERC103,184,278
HERC104,262,368
HERC105,191,246
HERC106,254,359
HERC107,282,428
HERC108,273,304
HERC109,301,410
HERC110,236,285
HERC111,236,319
HERC113,294,484
HERC114,217,327
KENS101,219,329
KENS102,243,446
KENS103,388,642
KENS104,307,546
KENS801,0,0
KENS802,0,1
KNGT101,207,259
KNGT801,21,12
KNGT802,3,1
KNGT803,35,27
KNGT804,32,29
LAST801,20,17
LFET101,302,515
LFET102,202,426
LFET103,208,424
LFET104,225,501
LFET105,235,389
LFET106,216,390
LFET107,311,591
LFET108,312,637
LFET109,361,688
LFET110,196,348
LFET111,221,459
LFET112,107,189
LFET113,247,437
LFET114,220,407
LFET115,174,431
LFET116,291,556
LFET117,327,650
MARC801,61,59
MARC802,8,3
MARC803,5,12
MART101,123,297
MART103,104,183
MART104,265,465
MART106,133,212
MART107,246,412
MART108,261,420
MART109,221,424
MART110,161,273
MART111,342,572
MART112,208,356
MART114,155,252
MART115,198,338
MART116,121,220
MART117,174,231
MART118,206,324
MART120,258,468
MART125,171,305
MART126 0,122,201
MART801,0,2
MART802,61,67
MART803,29,21
MART804,55,72
MART805,47,59
MART806 0,35,51
MART807 0,17,38
MART808 0,33,79
MART809 0,3,3
MART810 0,20,50
MART811 0,42,54
MART812 0,6,18
MART813 0,38,63
MART814 0,0,5
MART815 0,30,47
MART816 0,8,17
MART817 0,12,21
MART818 0,43,86
MART819 0,10,14
MART820 0,30,48
MART821 0,55,64
MART822 0,40,98
MART823 0,8,14
MART824 0,6,11
MART825 0,8,10
MART826 0,43,64
MART827 0,0,0
MART828 0,6,15
MART829 0,1,3
MART830 0,64,78
MART831 0,73,125
MART832 0,90,133
MART833 0,62,118
MART834 0,113,149
MART835 0,79,126
MART836 0,84,115
MART837 0,46,70
MART838 0,36,32
MART839 0,70,133
MART840 0,63,120
MART841 0,86,151
MART842 0,72,135
MART843 0,68,98
MART844 0,95,127
MART845 0,4,6
MART846 0,92,206
MART847 0,105,167
MART848 0,43,77
MART849 0,67,105
MART850 0,98,203
MDIA101,114,167
MDIA801,1,3
MDIA802,3,1
MORG101,366,728
MORG102,242,458
MORG103,334,589
MORG104,355,671
MORG105,322,635
MORG106,292,624
MORG107,386,666
MORG108,247,464
MVIE101,141,219
MVIE102,163,271
MVIE801 0,0,0
MVIE802 0,2,3
NCYN101,136,261
NICH801,0,4
NRIC101,239,292
NRTV801,1,2
NRTV802,4,1
OKLY101,222,286
OKLY102,247,314
OKLY103,269,347
OKLY104,365,524
OKLY105,234,324
OKLY106,335,360
OKLY107,175,178
OKLY108,217,217
OKLY109,194,230
OKLY110,257,309
OKLY111,206,203
OKLY112,201,210
OKLY113,378,441
OKLY114,294,337
OKLY115,257,286
OKLY116,311,368
OKLY117,214,240
OKLY118,140,178
OKLY119,171,178
