Precinct,ANDY LI,ABRAM WILSON
ALMO110,359,281
ALMO111,324,275
ANTI106,60,63
ANTI107,296,206
ANTI108,413,323
ANTI109,405,223
ANTI120,102,72
ANTI121,314,182
ANTI122,391,282
ANTI123,443,301
ANTI141,344,224
ANTI142,220,175
ANTI143,405,280
ANTI144,199,141
ANTI145,229,161
ANTI802,6,2
BKDI801,4,3
BKDI802,96,73
BKDI803,0,0
BKDI804,2,0
BKHW101,420,373
BKHW102,344,319
BKHW103,250,276
BKHW104,378,226
BKHW105,235,221
BKHW106,351,273
BKHW107,342,296
BKHW108,376,201
BREN102,292,192
BREN103,403,271
BREN106,162,109
BREN109,434,245
BREN110,333,241
BREN111,538,387
BREN113,278,199
BREN114,217,141
BREN115,235,175
BREN116,523,412
BREN117,180,103
BREN118,309,267
BREN119,342,244
BREN121,198,184
BREN122,270,153
BREN123,353,211
BREN124,511,255
BREN126,394,226
BREN127,614,488
BREN128,583,416
BREN130,315,209
BREN132,216,169
BREN801,3,1
BRVL101,123,123
BRVL801,80,48
BYRN101,152,102
BYRN801,2,0
BYRN802,14,15
BYRN803,1,0
CLAY101,402,271
CLAY102,407,269
CLAY103,220,129
CLAY104,317,259
CLAY105,434,336
CLAY106,332,226
CLAY107,530,314
CONC159,392,229
CONC160,15,16
DANV101,264,179
DANV102,188,152
DANV103,332,250
DANV104,397,303
DANV105,448,335
DANV106,386,330
DANV107,421,385
DANV108,458,350
DANV109,277,191
DANV110,185,127
DANV111,260,149
DANV112,381,321
DANV113,297,223
DANV114,433,270
DANV115,306,238
DANV116,247,155
DANV117,369,265
DANV118,343,266
DANV119,526,447
DANV120,455,299
DANV121,235,196
DANV122,297,230
DANV123,315,225
DANV124,214,182
DANV125,167,115
DANV126,520,365
DANV127,288,236
DANV128,234,208
DANV129,405,348
DANV130,316,205
DBAY103,215,174
DBAY104,391,350
DBAY106,479,416
DBAY107,350,277
DBAY801,0,0
DIAB101,266,213
LAST801,10,17
MARC801,84,59
MARC802,5,8
MARC803,13,2
MDIA802,0,4
NCYN101,220,180
NRTV801,4,0
NRTV802,6,2
SRAM101,313,261
SRAM102,417,243
SRAM103,369,308
SRAM104,317,342
SRAM105,265,261
SRAM106,363,327
SRAM107,338,336
SRAM108,444,287
SRAM109,370,287
SRAM110,296,345
SRAM111,456,411
SRAM112,328,432
SRAM113,312,333
SRAM114,258,251
SRAM115,370,389
SRAM116,318,314
SRAM117,483,413
SRAM118,267,248
SRAM119,284,197
SRAM120,349,365
SRAM121,171,189
SRAM123,455,273
SRAM124,210,162
SRAM125,314,244
SRAM126,279,242
SRAM127,183,97
SRAM128,451,332
SRAM129,246,210
SRAM130,251,255
SRAM131,306,143
SRAM132,348,229
SRAM133,393,274
SRAM134,323,168
SRAM135,275,153
SRAM136,227,216
SRAM137,446,212
SRAM138,297,161
SRAM139,253,163
SRAM140,320,163
SRAM141,274,261
SRAM142,265,152
SRAM801,0,0
STMY801,2,2
TASJ101,98,91
TASJ803,0,0
TASJ804,59,21
