Precinct,DOLLENE C. JONES,JOEL B. YOUNG
ELCR101,429,417
ELCR102,376,445
ELCR103,302,226
ELCR104,430,416
ELCR105,302,316
ELCR106,257,219
ELCR107,244,253
ELCR108,278,304
ELCR109,357,400
ELCR110,405,361
ELCR111,331,270
ELCR112,316,202
ELCR113,498,389
ELCR114,291,208
ELCR115,252,181
ELSO101,330,285
ELSO102,358,297
ELSO103,230,207
ELSO104,287,242
ELSO105,350,347
ELSO106,305,242
ELSO107,153,136
ERIC101,405,356
ERIC102,404,378
ERIC103,137,158
ERIC801,16,12
KENS101,183,262
KENS102,213,341
KENS103,337,458
KENS104,243,423
NRIC101,258,239
RICH101,303,329
RICH102,188,217
RICH103,171,330
RICH104,347,410
RICH105,391,474
RICH106,386,254
RICH107,88,69
RICH108,280,277
RICH109,193,130
RICH110,224,165
RICH111,175,134
RICH112,266,208
RICH113,354,256
RICH114,319,232
RICH115,276,197
RICH116,159,98
RICH117,249,175
RICH118,253,218
RICH119,226,167
RICH120,181,140
RICH121,82,87
RICH122,368,343
RICH123,424,320
RICH124,221,183
RICH125,271,229
RICH126,200,231
RICH127,222,207
RICH128,298,253
RICH129,198,181
RICH130,216,182
RICH131,225,206
RICH132,239,267
RICH133,225,229
RICH134,216,150
RICH135,225,189
RICH136,212,155
RICH137,289,235
RICH138,154,204
RICH139,391,386
RICH140,128,192
RICH141,193,290
RICH142,345,466
RICH143,415,365
RICH144,300,332
RICH145,397,342
RICH146,103,69
RICH147,230,150
RICH148,69,49
RICH149,139,118
RICH150,146,144
RICH151,182,178
RICH152,176,167
RICH153,190,122
RICH154,262,162
RICH155,249,193
RICH156,132,199
RICH801,7,14
RICH802,16,13
RICH803,67,66
RICH804,44,59
RICH805,27,31
RICH806,40,62
RICH807,0,0
ROLL101,301,288
SPAB101,405,373
SPAB102,167,157
SPAB103,219,182
SPAB104,259,229
SPAB105,168,170
SPAB106,381,327
SPAB107,283,270
SPAB108,245,216
SPAB109,210,199
SPAB110,282,269
