Precinct,JAY Z. JAMES,DWIGHT MERRILL,AL MILLER,JULIET CHRISTIAN-SMITH
ELCR101,431,568,582,682
ELCR102,454,597,566,604
ELCR103,297,267,285,398
ELCR104,433,555,551,668
ELCR105,290,442,419,464
ELCR106,240,318,339,389
ELCR107,286,343,342,385
ELCR108,316,386,392,466
ELCR109,442,508,557,574
ELCR110,376,529,555,634
ELCR111,327,421,416,478
ELCR112,264,312,315,443
ELCR113,438,637,629,733
ELCR114,268,314,343,411
ELCR115,212,247,248,343
KENS101,311,289,318,308
KENS102,366,367,364,402
KENS103,508,494,520,590
KENS104,476,458,445,497
RICH106,359,303,355,462
RICH108,356,360,344,435
RICH109,38,34,47,48
RICH144,0,0,0,0
RICH145,418,443,416,578
