Precinct,ALEX PADILLA,MARK P. MEUSER
ALHA101,261,223
ALHA801,13,10
ALHA802,32,21
ALHA803,7,6
ALHA804,80,44
ALHA805,26,24
ALHA806,1,1
ALMO101,294,270
ALMO102,683,511
ALMO103,414,339
ALMO104,412,439
ALMO105,218,257
ALMO106,357,383
ALMO107,404,188
ALMO108,368,231
ALMO109,383,350
ALMO110,377,414
ALMO111,384,386
ALMO112,217,286
ANTI101,136,74
ANTI102,395,160
ANTI103,371,124
ANTI104,487,183
ANTI105,406,160
ANTI106,367,153
ANTI107,427,140
ANTI108,508,344
ANTI109,521,224
ANTI110,414,199
ANTI111,519,261
ANTI112,279,137
ANTI113,254,97
ANTI114,382,122
ANTI115,417,185
ANTI116,258,115
ANTI117,393,260
ANTI118,298,150
ANTI119,503,181
ANTI120,541,250
ANTI121,441,126
ANTI122,578,211
ANTI123,664,189
ANTI124,645,160
ANTI125,432,208
ANTI126,289,149
ANTI127,400,231
ANTI128,358,154
ANTI129,245,126
ANTI130,339,133
ANTI131,442,244
ANTI132,368,127
ANTI133,613,174
ANTI134,483,152
ANTI135,448,136
ANTI136,459,172
ANTI137,400,139
ANTI138,509,176
ANTI139,424,199
ANTI140,249,114
ANTI141,486,156
ANTI142,342,93
ANTI143,622,142
ANTI144,275,121
ANTI145,347,87
ANTI146,350,192
ANTI147,472,173
ANTI148,351,63
ANTI149,239,68
ANTI150,322,164
ANTI151,226,53
ANTI152,316,107
ANTI801,2,1
ANTI802,7,5
AYER101,197,160
BAPO101,498,131
BAPO102,140,44
BAPO103,414,107
BAPO104,331,70
BAPO105,345,83
BAPO106,343,112
BAPO107,451,179
BAPO108,251,64
BAPO109,323,103
BAPO801,3,0
BAPO802,2,1
BETH101,466,475
BETH801,0,0
BKDI801,2,7
BKDI802,92,108
BKDI803,2,0
BKDI804,2,0
BKHW101,440,537
BKHW102,449,409
BKHW103,309,335
BKHW104,458,241
BKHW105,232,330
BKHW106,467,296
BKHW107,473,301
BKHW108,449,238
BREN101,486,288
BREN102,365,215
BREN103,435,398
BREN104,383,319
BREN105,188,127
BREN106,200,126
BREN107,465,312
BREN108,510,324
BREN109,445,387
BREN110,400,317
BREN111,649,436
BREN112,405,195
BREN113,335,254
BREN114,230,196
BREN115,292,198
BREN116,590,571
BREN117,200,166
BREN118,368,326
BREN119,423,306
BREN120,306,200
BREN121,233,238
BREN122,283,260
BREN123,328,357
BREN124,549,370
BREN125,85,70
BREN126,445,297
BREN127,679,645
BREN128,736,509
BREN129,204,156
BREN130,357,270
BREN131,263,164
BREN132,263,196
BREN133,257,252
BREN801,3,1
BREN802,40,28
BRHL101,313,213
BRHL102,359,181
BRHL103,532,232
BRHL801,0,0
BRVL101,146,178
BRVL801,86,80
BYRN101,130,181
BYRN801,38,75
BYRN802,18,24
BYRN803,0,2
CANY801,144,6
CASR101,221,154
CLAY101,518,336
CLAY102,491,427
CLAY103,343,230
CLAY104,410,349
CLAY105,592,414
CLAY106,357,348
CLAY107,608,445
CLYD101,203,103
CONC101,269,106
CONC102,456,130
CONC103,468,178
CONC104,396,213
CONC105,434,227
CONC106,443,151
CONC107,539,220
CONC108,471,167
CONC109,506,214
CONC110,480,147
CONC111,433,219
CONC112,412,221
CONC113,494,221
CONC114,409,232
CONC115,637,322
CONC116,531,176
CONC117,500,165
CONC118,704,160
CONC119,486,153
CONC120,508,213
CONC121,460,215
CONC122,389,194
CONC123,538,227
CONC124,535,306
CONC125,453,183
CONC126,585,325
CONC127,272,205
CONC128,589,286
CONC129,357,239
CONC130,257,127
CONC131,409,152
CONC132,354,153
CONC133,437,219
CONC134,433,210
CONC136,698,347
CONC137,373,136
CONC138,476,209
CONC139,432,148
CONC140,333,200
CONC141,373,185
CONC142,370,204
CONC143,623,267
CONC144,612,261
CONC145,430,127
CONC146,425,147
CONC147,411,237
CONC148,642,263
CONC149,452,222
