Precinct,MARY ROCHA,CLYDE H. LEWIS  JR,JANICE LIPNISKY,JIM DAVIS,ELLIE HOUSEHOLDER,SHAGOOFA KHAN,CANDIDA GONZALEZ-AMIGO
ANTI101,87,44,15,52,75,41,21
ANTI102,282,102,63,142,146,74,76
ANTI103,226,97,66,93,121,85,56
ANTI104,318,133,58,157,182,85,98
ANTI105,253,124,69,110,142,94,58
ANTI106,206,132,50,125,148,99,62
ANTI107,255,135,55,126,187,101,58
ANTI108,351,183,104,262,308,133,91
ANTI109,310,193,65,164,219,134,94
ANTI110,320,103,67,193,152,76,81
ANTI111,366,134,68,227,221,113,94
ANTI112,193,95,55,130,99,53,48
ANTI113,163,75,39,82,82,55,41
ANTI114,210,87,46,105,182,94,62
ANTI115,269,101,61,171,162,95,90
ANTI116,150,74,33,97,107,60,67
ANTI117,259,160,66,191,190,110,90
ANTI118,196,109,56,120,114,69,75
ANTI119,329,115,65,167,205,119,72
ANTI120,327,171,88,194,248,143,90
ANTI121,230,115,40,97,210,129,85
ANTI122,291,194,70,144,267,186,104
ANTI123,369,208,76,167,224,175,129
ANTI124,337,170,67,140,226,190,74
ANTI125,269,129,60,150,173,113,93
ANTI126,169,85,50,102,135,87,52
ANTI127,263,120,78,188,171,103,83
ANTI128,221,114,53,131,146,80,58
ANTI129,154,67,43,94,122,56,58
ANTI130,197,75,53,100,127,77,88
ANTI131,275,156,57,169,210,131,89
ANTI132,191,101,51,103,130,106,62
ANTI133,319,191,64,141,209,197,80
ANTI134,280,141,49,113,164,135,90
ANTI135,236,125,60,86,172,122,66
ANTI136,261,138,48,151,158,145,86
ANTI137,227,112,49,117,121,117,80
ANTI138,289,150,68,111,202,148,80
ANTI139,64,30,14,28,31,29,19
ANTI140,151,97,31,75,96,78,46
ANTI141,262,133,77,139,226,148,88
ANTI142,208,96,52,75,126,99,53
ANTI143,310,199,66,140,236,180,100
ANTI144,163,77,42,99,99,70,64
ANTI145,172,104,37,96,114,89,53
ANTI146,229,101,61,151,170,85,53
ANTI147,304,124,80,136,163,91,75
ANTI148,188,87,50,66,97,52,44
ANTI149,126,55,29,54,87,45,36
ANTI150,212,88,51,116,148,76,57
ANTI151,134,66,28,47,69,69,27
ANTI152,170,77,37,88,113,105,43
ANTI802,10,0,2,4,2,0,6
BKDI804,0,0,2,0,2,0,0
FAIR801,0,0,1,0,0,0,0
OKLY101,232,111,81,142,139,62,64
OKLY106,315,142,100,187,190,110,81
OKLY118,141,83,40,62,86,42,44
OKLY801,0,0,0,0,0,0,0
PTTS108,21,19,4,10,14,6,5
PTTS120,82,32,18,29,38,16,25
PTTS801,2,1,1,0,0,1,0
VIER801,4,1,3,1,2,3,1
