Precinct,PAUL DERKSEN,BOB HOCKETT,NANCY KENDZIERSKI,CHRISTOPHER SEVERSON
ALHA803,2,5,9,7
ALMO107,155,258,320,225
ALMO108,165,285,308,264
BRHL102,127,289,327,241
BRHL103,23,46,53,46
CANY801,35,57,78,63
ELSO801,0,0,0,0
KENS801,0,0,0,0
KENS802,0,1,0,0
LFET101,271,496,544,433
LFET102,204,383,450,328
LFET103,199,395,421,317
LFET104,236,444,496,375
LFET105,164,417,457,360
LFET106,172,308,379,278
LFET107,266,532,625,438
LFET108,282,478,568,397
LFET109,321,577,648,455
LFET110,179,322,391,275
LFET111,200,419,486,368
LFET112,89,178,205,168
LFET113,202,432,451,341
LFET114,168,406,443,337
LFET115,181,374,409,315
LFET116,291,531,590,473
LFET117,294,638,676,503
MORG101,381,616,764,567
MORG102,203,337,418,311
MORG103,285,535,646,516
MORG104,317,596,731,580
MORG105,343,510,642,510
MORG106,298,553,641,503
MORG107,351,609,746,579
MORG108,247,402,511,367
ORDA101,292,623,715,655
ORDA102,142,272,347,319
ORDA103,196,396,440,452
ORDA104,96,232,259,291
ORDA105,212,451,534,586
ORDA106,235,568,599,575
ORDA107,222,529,598,653
ORDA108,242,540,595,545
ORDA109,161,327,379,417
ORDA110,85,169,221,220
ORDA111,264,510,621,543
ORDA112,186,356,467,439
ORDA113,98,182,209,185
ORDA801,0,1,2,0
SARA101,129,273,291,180
SARA102,211,387,472,339
SARA103,232,454,469,324
SARA105,130,272,303,222
SARA106,149,319,354,282
SARA801,2,0,2,2
SARA802,36,81,93,78
SHEL102,86,190,200,151
STMY801,33,45,65,67
WALD101,183,293,348,271
WALD102,20,71,80,61
WALD103,152,253,314,225
WLCR101,309,672,694,517
WLCR102,292,474,569,406
WLCR103,346,754,816,617
WLCR104,103,159,169,134
WLCR105,260,471,545,409
WLCR106,350,486,627,470
WLCR107,77,166,201,142
WLCR108,120,224,246,196
WLCR109,108,204,234,188
WLCR120,250,501,554,415
WLCR121,252,477,507,376
WLCR122,158,341,356,268
WLCR123,232,295,437,334
WLCR124,139,221,288,227
WLCR125,258,446,497,375
WLCR126,252,399,492,373
WLCR127,214,438,474,356
WLCR129,264,486,536,408
WLCR133,121,185,226,167
WLCR135,290,416,538,374
WLCR136,103,191,226,171
WLCR137,307,502,548,442
WLCR144,205,320,389,294
WLCR802,0,2,2,2
WLCR803,18,26,31,32
WLKN101,228,437,482,356
WLKN102,145,324,324,250
WLKN103,135,251,268,209
WLKN801,46,58,66,67
CALD801,0,3,7,3
