Precinct,THUY DAOJENSEN,SCOTT S. DUDEK,ANTHONY PENSO,STEVE GURSKY,EMIL GEDDES
ANTI139,262,178,108,133,210
ANTI801,1,1,2,0,1
BKDI801,0,4,1,6,8
BKDI802,77,67,62,95,78
BKDI803,1,0,0,1,1
BREN101,396,308,239,293,319
BREN102,285,214,167,218,239
BREN103,323,360,226,397,358
BREN104,311,279,179,273,274
BREN105,116,86,84,121,95
BREN106,135,136,86,146,139
BREN107,335,312,211,341,342
BREN108,419,337,222,287,355
BREN109,309,377,248,429,383
BREN110,287,363,191,344,339
BREN111,479,476,302,476,502
BREN112,294,275,160,267,278
BREN113,263,257,180,239,254
BREN114,198,176,120,169,191
BREN115,216,223,140,215,213
BREN116,393,724,247,629,594
BREN117,142,156,101,199,159
BREN118,271,315,196,340,346
BREN119,251,351,161,404,421
BREN120,219,206,158,199,224
BREN121,190,232,121,242,238
BREN122,207,262,198,270,245
BREN123,271,297,190,352,329
BREN124,435,386,269,404,397
BREN125,62,62,32,73,68
BREN126,357,306,207,283,329
BREN127,492,700,321,641,747
BREN128,544,586,279,401,615
BREN129,149,152,94,160,169
BREN130,254,275,174,313,269
BREN131,193,196,110,158,185
BREN132,211,199,138,173,198
BREN133,197,248,150,254,267
BREN801,2,2,2,2,1
BREN802,27,28,16,34,46
BYRN802,0,1,0,2,1
DBAY801,24,46,22,59,48
KNGT802,1,2,1,5,3
KNGT803,19,26,11,39,33
MARC801,53,72,53,99,90
MARC802,1,6,4,17,7
MARC803,8,5,2,9,7
OKLY801,3,2,0,0,2
