Precinct,KONSTANTINOS RODITIS,BETTY T. YEE
ALHA101,219,269
ALHA801,11,14
ALHA802,23,31
ALHA803,6,7
ALHA804,36,83
ALHA805,24,24
ALHA806,1,0
ALMO101,267,306
ALMO102,504,685
ALMO103,357,406
ALMO104,423,431
ALMO105,255,220
ALMO106,385,360
ALMO107,161,426
ALMO108,229,376
ALMO109,337,401
ALMO110,403,392
ALMO111,377,391
ALMO112,282,226
ANTI101,67,144
ANTI102,142,421
ANTI103,95,404
ANTI104,170,506
ANTI105,150,416
ANTI106,142,388
ANTI107,134,432
ANTI108,309,540
ANTI109,186,567
ANTI110,177,437
ANTI111,243,541
ANTI112,118,296
ANTI113,92,259
ANTI114,113,393
ANTI115,173,431
ANTI116,122,257
ANTI117,236,425
ANTI118,151,303
ANTI119,169,513
ANTI120,227,566
ANTI121,104,452
ANTI122,195,597
ANTI123,168,689
ANTI124,141,669
ANTI125,203,426
ANTI126,147,294
ANTI127,207,424
ANTI128,145,369
ANTI129,112,263
ANTI130,132,343
ANTI131,221,471
ANTI132,117,380
ANTI133,165,622
ANTI134,141,491
ANTI135,120,458
ANTI136,150,484
ANTI137,135,408
ANTI138,168,512
ANTI139,184,449
ANTI140,110,260
ANTI141,140,502
ANTI142,76,361
ANTI143,131,641
ANTI144,121,279
ANTI145,79,350
ANTI146,182,364
ANTI147,153,488
ANTI148,53,362
ANTI149,60,247
ANTI150,145,342
ANTI151,48,232
ANTI152,102,317
ANTI801,1,2
ANTI802,6,6
AYER101,154,207
BAPO101,123,505
BAPO102,42,143
BAPO103,89,430
BAPO104,65,341
BAPO105,80,341
BAPO106,98,359
BAPO107,173,463
BAPO108,52,255
BAPO109,86,334
BAPO801,0,4
BAPO802,1,2
BETH101,464,477
BETH801,0,0
BKDI801,6,3
BKDI802,99,100
BKDI803,0,2
BKDI804,0,2
BKHW101,534,437
BKHW102,400,451
BKHW103,352,288
BKHW104,231,468
BKHW105,335,236
BKHW106,301,465
BKHW107,279,498
BKHW108,228,457
BREN101,276,499
BREN102,202,381
BREN103,391,430
BREN104,300,398
BREN105,118,191
BREN106,116,203
BREN107,300,476
BREN108,313,523
BREN109,386,449
BREN110,305,409
BREN111,445,657
BREN112,183,408
BREN113,235,355
BREN114,180,238
BREN115,206,295
BREN116,547,618
BREN117,164,214
BREN118,312,378
BREN119,290,438
BREN120,188,321
BREN121,221,251
BREN122,250,292
BREN123,344,345
BREN124,353,572
BREN125,74,79
BREN126,272,472
BREN127,601,734
BREN128,470,773
BREN129,145,209
BREN130,257,374
BREN131,152,276
BREN132,203,257
BREN133,239,273
BREN801,1,3
BREN802,22,41
BRHL101,199,331
BRHL102,181,362
BRHL103,226,545
BRHL801,0,0
BRVL101,172,150
BRVL801,71,92
BYRN101,173,136
BYRN801,76,36
BYRN802,26,17
BYRN803,2,0
CANY801,6,147
CASR101,152,224
CLAY101,330,519
CLAY102,413,503
CLAY103,219,344
CLAY104,329,420
CLAY105,396,606
CLAY106,336,365
CLAY107,424,627
CLYD101,113,199
CONC101,97,279
CONC102,133,453
CONC103,157,489
CONC104,194,424
CONC105,214,446
CONC106,136,454
CONC107,217,546
CONC108,144,495
CONC109,194,535
CONC110,139,481
CONC111,193,458
CONC112,208,430
CONC113,208,514
CONC114,210,426
CONC115,307,649
CONC116,157,552
CONC117,151,502
CONC118,138,723
CONC119,155,486
CONC120,186,544
CONC121,203,463
CONC122,168,421
CONC123,196,562
CONC124,266,569
CONC125,176,464
CONC126,321,597
CONC127,204,277
CONC128,270,599
CONC129,215,375
CONC130,108,269
CONC131,140,411
CONC132,147,362
CONC133,200,451
CONC134,186,469
CONC136,324,725
CONC137,129,380
CONC138,206,478
CONC139,140,435
CONC140,194,336
CONC141,167,388
CONC142,196,379
CONC143,227,662
CONC144,233,642
CONC145,100,452
CONC146,132,437
CONC147,216,423
CONC148,240,664
CONC149,205,454
CONC150,222,528
CONC151,121,256
CONC152,200,480
CONC153,218,450
CONC154,136,308
CONC155,170,369
CONC156,251,444
CONC157,185,390
CONC158,175,479
CONC159,239,540
CONC160,247,335
CONC161,209,474
CONC163,110,368
CONC164,256,496
CONC165,73,367
CONC801,16,20
CONC802,3,2
CONC803,0,0
CONC804,10,10
CROC101,213,815
CROC102,110,407
CROC801,1,0
DANV101,294,280
DANV102,214,209
DANV103,264,434
DANV104,398,575
DANV105,438,532
DANV106,380,511
DANV107,361,636
DANV108,421,548
DANV109,222,354
DANV110,161,217
DANV111,160,337
DANV112,352,508
DANV113,214,402
DANV114,349,529
DANV115,319,345
DANV116,162,313
DANV117,259,516
DANV118,242,481
DANV119,460,705
DANV120,367,571
DANV121,231,289
DANV122,311,349
DANV123,300,392
DANV124,178,320
DANV125,133,231
DANV126,369,686
DANV127,239,389
DANV128,230,302
DANV129,403,522
DANV130,266,347
DBAY101,471,623
DBAY102,475,441
DBAY103,302,205
DBAY104,558,379
DBAY105,178,152
DBAY106,659,476
DBAY107,460,332
DBAY801,92,43
DIAB101,364,270
ELCR101,77,1002
ELCR102,132,916
ELCR103,52,593
ELCR104,102,980
ELCR105,108,691
ELCR106,55,554
ELCR107,90,567
ELCR108,78,705
