Precinct,MIKE DUPRAY,SUE HIGGINS,RANDY POPE,DEZI PINA
OKLY101,206,309,280,102
OKLY102,258,283,271,212
OKLY103,234,335,294,178
OKLY104,327,560,392,200
OKLY105,241,335,267,153
OKLY106,287,387,367,176
OKLY107,129,223,196,84
OKLY108,161,263,219,137
OKLY109,148,264,213,105
OKLY110,210,340,306,163
OKLY111,168,243,239,136
OKLY112,172,223,227,117
OKLY113,351,502,485,233
OKLY114,222,412,403,145
OKLY115,207,316,287,147
OKLY116,263,427,411,136
OKLY117,181,254,233,114
OKLY118,104,190,161,95
OKLY119,127,200,207,93
OKLY801,1,1,2,0
