Precinct,PATRICK DOE,ANTHONY L. TAVE,MAUREEN A. TOMS,NORMA MARTÃNEZ-RUBIN,RAFAEL MENIS,VINCENT SALIMI,TIMOTHY J. BANUELOS
PINL102,81,236,261,297,94,245,238
PINL103,59,281,225,280,144,270,244
PINL104,60,209,206,240,108,191,213
PINL105,75,306,260,338,136,307,276
PINL106,67,225,263,271,94,247,233
PINL107,46,264,215,199,82,285,165
PINL108,83,343,311,380,135,345,277
PINL109,61,212,186,239,58,212,188
PINL110,72,391,427,393,92,415,332
PINL111,69,426,389,350,114,427,245
PINL112,90,423,366,434,117,435,332
PINL801,1,8,6,5,6,8,7
PINL802,18,64,69,88,27,56,69
PINL803,7,25,34,27,3,20,23
