Precinct,MARILYN (MERL) CRAFT,WOLF CROSKEY,DURIE FOSTER  JR,HOLLAND BARRETT WHITE,SHANELLE SCALES-PRESTON,MARK GARGALIKIS
PTTS101,354,153,164,379,288,180
PTTS102,286,128,127,244,222,146
PTTS103,261,121,150,233,225,153
PTTS104,310,129,122,283,294,204
PTTS105,125,74,63,153,129,94
PTTS106,270,144,144,274,250,204
PTTS107,341,191,143,301,250,243
PTTS108,334,113,102,293,277,140
PTTS109,265,89,96,224,221,135
PTTS110,287,132,111,244,223,182
PTTS111,280,169,124,250,234,198
PTTS112,260,152,130,199,205,212
PTTS113,238,120,108,207,162,157
PTTS114,336,168,142,255,246,235
PTTS115,353,196,144,271,215,320
PTTS116,257,103,108,228,187,177
PTTS117,226,184,101,156,151,226
PTTS118,279,174,122,245,207,238
PTTS119,250,159,96,197,186,199
PTTS120,223,131,91,171,164,177
PTTS121,206,63,75,163,165,105
PTTS122,210,103,68,178,137,135
PTTS123,187,96,69,159,141,93
PTTS124,176,81,73,169,145,130
PTTS125,334,99,118,304,300,152
PTTS126,246,110,81,196,211,141
PTTS127,215,95,87,184,200,117
PTTS128,326,120,143,276,262,185
PTTS129,425,176,181,372,384,227
PTTS130,226,100,103,205,172,154
PTTS131,276,103,124,242,231,158
PTTS132,331,153,143,335,288,202
PTTS133,231,137,96,210,178,182
PTTS134,247,103,100,225,233,160
PTTS135,212,107,77,214,196,161
PTTS801,1,1,1,4,0,1
PTTS802,0,0,0,0,0,0
