Precinct,MELVIN LEE WILLIS JR,TOM BUTT,KATHY ROBINSON
RICH101,216,568,0
RICH102,139,361,0
RICH103,142,497,0
RICH104,319,601,0
RICH105,344,685,0
RICH106,394,343,0
RICH107,78,83,0
RICH108,265,437,0
RICH109,208,137,0
RICH110,224,230,0
RICH111,189,146,0
RICH112,286,202,1
RICH113,367,272,3
RICH114,349,211,0
RICH115,283,223,0
RICH116,168,111,0
RICH117,258,193,3
RICH118,298,235,0
RICH119,233,174,0
RICH120,186,156,0
RICH121,88,84,0
RICH122,363,461,0
RICH123,404,452,4
RICH124,211,291,0
RICH125,239,302,0
RICH126,212,286,0
RICH127,222,245,1
RICH128,282,320,0
RICH129,217,171,0
RICH130,234,196,1
RICH131,222,239,0
RICH132,230,323,1
RICH133,193,311,0
RICH134,197,192,0
RICH135,226,203,1
RICH136,182,191,0
RICH137,267,303,0
RICH138,116,297,0
RICH139,304,575,2
RICH140,116,235,0
RICH141,154,387,0
RICH142,289,624,0
RICH143,409,471,1
RICH144,237,504,4
RICH145,358,579,0
RICH146,100,70,0
RICH147,212,194,1
RICH148,77,39,0
RICH149,150,120,0
RICH150,143,165,0
RICH151,134,251,0
RICH152,169,191,0
RICH153,194,122,0
RICH154,271,180,0
RICH155,236,232,0
RICH156,130,240,0
RICH801,10,13,0
RICH802,19,12,0
RICH803,55,93,0
RICH804,49,69,0
RICH805,15,57,0
RICH806,35,73,0
RICH807,0,0,0
