Precinct,STEVEN C BAILEY,XAVIER BECERRA
ALHA101,239,249
ALHA801,12,13
ALHA802,24,30
ALHA803,5,8
ALHA804,44,78
ALHA805,24,24
ALHA806,1,0
ALMO101,282,287
ALMO102,535,644
ALMO103,357,407
ALMO104,429,419
ALMO105,265,207
ALMO106,386,356
ALMO107,185,407
ALMO108,238,363
ALMO109,372,362
ALMO110,413,373
ALMO111,397,370
ALMO112,291,213
ANTI101,76,130
ANTI102,184,372
ANTI103,123,380
ANTI104,192,476
ANTI105,166,396
ANTI106,158,366
ANTI107,155,410
ANTI108,359,490
ANTI109,236,515
ANTI110,219,385
ANTI111,282,490
ANTI112,142,273
ANTI113,110,243
ANTI114,125,371
ANTI115,198,402
ANTI116,118,255
ANTI117,263,396
ANTI118,165,290
ANTI119,193,488
ANTI120,272,520
ANTI121,128,425
ANTI122,201,585
ANTI123,209,647
ANTI124,167,635
ANTI125,219,409
ANTI126,161,281
ANTI127,244,382
ANTI128,169,341
ANTI129,128,244
ANTI130,137,336
ANTI131,248,445
ANTI132,129,364
ANTI133,188,604
ANTI134,155,469
ANTI135,143,434
ANTI136,185,448
ANTI137,155,380
ANTI138,184,493
ANTI139,195,434
ANTI140,114,249
ANTI141,165,473
ANTI142,95,338
ANTI143,161,612
ANTI144,129,273
ANTI145,90,337
ANTI146,213,332
ANTI147,180,459
ANTI148,69,341
ANTI149,80,225
ANTI150,172,306
ANTI151,60,220
ANTI152,105,315
ANTI801,1,2
ANTI802,6,5
AYER101,176,182
BAPO101,141,482
BAPO102,48,135
BAPO103,105,410
BAPO104,78,322
BAPO105,97,321
BAPO106,114,339
BAPO107,194,438
BAPO108,61,243
BAPO109,102,316
BAPO801,0,4
BAPO802,1,2
BETH101,511,421
BETH801,0,0
BKDI801,8,1
BKDI802,114,83
BKDI803,0,2
BKDI804,0,2
BKHW101,563,418
BKHW102,425,415
BKHW103,358,283
BKHW104,254,447
BKHW105,337,228
BKHW106,319,440
BKHW107,310,464
BKHW108,247,435
BREN101,311,457
BREN102,214,369
BREN103,413,415
BREN104,339,356
BREN105,132,178
BREN106,124,196
BREN107,326,446
BREN108,323,511
BREN109,413,424
BREN110,332,375
BREN111,469,622
BREN112,203,391
BREN113,258,327
BREN114,197,223
BREN115,221,278
BREN116,602,558
BREN117,178,201
BREN118,338,347
BREN119,320,408
BREN120,201,306
BREN121,241,232
BREN122,274,267
BREN123,355,325
BREN124,392,533
BREN125,77,76
BREN126,302,435
BREN127,685,646
