Precinct,BILL CLARKSON,SANAT SETHY
SRAM101,487,135
SRAM102,546,181
SRAM103,629,143
SRAM104,579,166
SRAM105,356,211
SRAM106,584,182
SRAM107,587,177
SRAM108,588,201
SRAM109,588,145
SRAM110,566,152
SRAM111,792,171
SRAM112,677,173
SRAM113,525,203
SRAM114,451,100
SRAM115,652,202
SRAM116,530,147
SRAM117,781,215
SRAM118,427,119
SRAM119,381,157
SRAM120,573,211
SRAM121,296,105
SRAM122,423,225
SRAM123,536,253
SRAM124,306,94
SRAM125,468,137
SRAM126,426,166
SRAM127,202,86
SRAM128,651,197
SRAM129,469,51
SRAM130,426,135
SRAM131,327,175
SRAM132,444,186
SRAM133,533,220
SRAM134,352,198
SRAM135,297,170
SRAM136,379,109
SRAM137,520,187
SRAM138,375,126
SRAM139,341,111
SRAM140,389,119
SRAM141,450,146
SRAM142,310,143
SRAM801,0,0
