Precinct,SABINA ZAFAR,"DAVID E ""DAVE"" HUDSON",SRIDHAR VEROSE,APARNA MADIREDDI
SRAM101,303,333,188,157
SRAM102,334,423,193,165
SRAM103,350,420,228,222
SRAM104,333,388,229,226
SRAM105,254,306,160,211
SRAM106,335,466,212,215
SRAM107,330,426,197,222
SRAM108,361,458,204,210
SRAM109,303,452,187,183
SRAM110,294,436,203,163
SRAM111,382,570,257,234
SRAM112,344,511,293,212
SRAM113,287,509,186,198
SRAM114,210,357,157,163
SRAM115,360,525,238,266
SRAM116,298,452,180,165
SRAM117,404,624,286,256
SRAM118,227,348,150,162
SRAM119,240,310,138,155
SRAM120,328,494,218,237
SRAM121,160,280,116,136
SRAM122,268,257,287,249
SRAM123,332,368,324,259
SRAM124,194,242,102,79
SRAM125,253,379,154,142
SRAM126,305,290,181,152
SRAM127,134,132,95,115
SRAM128,369,467,243,217
SRAM129,182,301,190,144
SRAM130,278,283,162,164
SRAM131,199,217,217,133
SRAM132,281,328,163,178
SRAM133,321,386,242,227
SRAM134,267,272,164,165
SRAM135,193,240,135,155
SRAM136,194,251,191,138
SRAM137,264,305,333,247
SRAM138,223,244,179,154
SRAM139,182,241,147,156
SRAM140,214,260,166,157
SRAM141,237,347,215,141
SRAM142,214,250,130,133
SRAM801,0,0,0,0
