Precinct,MATT FRANCOIS,SPENCER DRESS,IMAN NOVIN,CINDY SILVA,REBECCA BYRD
WLCR101,465,361,418,670,120
WLCR102,430,238,244,487,124
WLCR103,475,472,527,742,143
WLCR104,146,82,78,148,47
WLCR105,470,229,181,492,86
WLCR106,353,337,462,521,126
WLCR107,114,84,102,141,65
WLCR108,212,117,150,222,57
WLCR109,183,117,91,204,34
WLCR110,351,221,266,454,91
WLCR111,315,270,243,415,153
WLCR112,269,202,229,320,72
WLCR113,333,217,271,453,93
WLCR114,103,111,95,147,40
WLCR115,255,153,137,309,55
WLCR116,198,131,135,251,63
WLCR117,404,320,303,541,133
WLCR118,174,134,93,219,43
WLCR119,376,274,251,508,111
WLCR120,291,367,409,480,108
WLCR121,256,320,381,466,116
WLCR122,394,146,145,370,37
WLCR123,155,246,309,255,115
WLCR124,139,156,212,208,75
WLCR125,357,275,238,402,122
WLCR126,289,271,347,404,116
WLCR127,263,261,287,434,110
WLCR129,294,347,362,479,131
WLCR130,284,179,148,342,54
WLCR131,191,215,207,262,102
WLCR132,386,202,165,462,77
WLCR133,284,239,264,357,110
WLCR134,290,239,197,451,90
WLCR135,281,277,340,414,167
WLCR136,98,109,84,175,56
WLCR137,489,307,293,513,122
WLCR138,349,235,206,455,80
WLCR139,367,231,190,459,84
WLCR140,420,230,228,509,82
WLCR141,410,277,230,521,86
WLCR142,382,272,299,499,101
WLCR143,236,220,258,357,111
WLCR144,200,227,292,307,78
WLCR801,99,56,41,106,21
WLCR802,0,2,2,0,0
WLCR803,17,20,19,19,6
WLCR804,52,65,56,88,18
WLCR805,0,0,0,0,0
