Precinct,RONALD M CASSANO
WLCR101,767
WLCR102,590
WLCR103,914
WLCR104,189
WLCR105,546
WLCR106,721
WLCR107,204
WLCR108,274
WLCR109,234
WLCR110,601
WLCR111,601
WLCR112,462
WLCR113,603
WLCR114,201
WLCR115,373
WLCR116,361
WLCR117,743
WLCR118,281
WLCR119,666
WLCR120,606
WLCR121,593
WLCR122,394
WLCR123,461
WLCR124,328
WLCR125,536
WLCR126,515
WLCR127,519
WLCR129,628
WLCR130,437
WLCR131,439
WLCR132,554
WLCR133,535
WLCR134,524
WLCR135,585
WLCR136,234
WLCR137,647
WLCR138,581
WLCR139,538
WLCR140,629
WLCR141,636
WLCR142,691
WLCR143,524
WLCR144,463
WLCR801,148
WLCR802,2
WLCR803,36
WLCR804,135
WLCR805,0
