Precinct,RICHARD JESSE,ANN MARIE JOHNSON,"CHARLES ""CHUCK"" HAUPT",GEORGEAN VONHEEDER-LEOPOLD,JAMES BRADY
SRAM106,137,361,159,233,187
SRAM113,106,357,143,233,155
SRAM114,83,239,112,236,152
SRAM115,134,447,169,286,208
SRAM116,107,335,167,243,179
SRAM117,175,476,186,319,235
SRAM118,90,277,135,185,126
SRAM120,110,348,152,246,189
SRAM121,60,192,103,145,95
SRAM122,115,314,167,182,123
SRAM123,145,418,226,245,145
SRAM124,71,232,118,88,69
SRAM127,51,157,70,81,66
SRAM131,90,259,107,152,94
SRAM133,139,381,147,224,162
SRAM134,131,264,128,161,104
SRAM135,88,231,112,142,90
SRAM137,144,374,149,229,131
SRAM138,86,251,108,159,90
SRAM139,69,217,126,140,91
SRAM140,98,276,104,168,102
SRAM141,91,294,124,200,149
SRAM142,82,228,111,139,92
TASJ804,13,37,7,25,13
