Precinct,MALIA COHEN,MARK BURNS
ALHA101,245,221
ALHA801,13,10
ALHA802,27,26
ALHA803,8,5
ALHA804,75,42
ALHA805,24,22
ALHA806,0,1
ALMO101,284,275
ALMO102,630,529
ALMO103,373,361
ALMO104,379,442
ALMO105,199,262
ALMO106,331,389
ALMO107,382,180
ALMO108,342,243
ALMO109,340,367
ALMO110,359,410
ALMO111,344,394
ALMO112,196,297
ANTI101,131,77
ANTI102,376,177
ANTI103,376,113
ANTI104,473,187
ANTI105,392,162
ANTI106,370,152
ANTI107,405,149
ANTI108,483,348
ANTI109,512,221
ANTI110,395,203
ANTI111,487,273
ANTI112,273,134
ANTI113,244,103
ANTI114,367,123
ANTI115,399,197
ANTI116,245,122
ANTI117,383,266
ANTI118,279,165
ANTI119,496,176
ANTI120,511,265
ANTI121,429,118
ANTI122,569,201
ANTI123,660,185
ANTI124,631,164
ANTI125,405,212
ANTI126,281,150
ANTI127,385,230
ANTI128,347,161
ANTI129,238,123
ANTI130,323,137
ANTI131,443,232
ANTI132,358,135
ANTI133,585,190
ANTI134,483,140
ANTI135,436,133
ANTI136,447,176
ANTI137,382,144
ANTI138,487,175
ANTI139,440,183
ANTI140,251,108
ANTI141,478,149
ANTI142,339,92
ANTI143,606,151
ANTI144,262,130
ANTI145,340,83
ANTI146,321,213
ANTI147,447,180
ANTI148,347,64
ANTI149,233,66
ANTI150,300,166
ANTI151,228,48
ANTI152,312,100
ANTI801,1,2
ANTI802,6,6
AYER101,186,169
BAPO101,478,136
BAPO102,132,48
BAPO103,417,94
BAPO104,314,81
BAPO105,322,86
BAPO106,335,113
BAPO107,432,188
BAPO108,237,62
BAPO109,308,103
BAPO801,4,0
BAPO802,2,1
BETH101,432,490
BETH801,0,0
BKDI801,2,7
BKDI802,88,110
BKDI803,2,0
BKDI804,2,0
BKHW101,391,561
BKHW102,403,423
BKHW103,258,359
BKHW104,442,244
BKHW105,205,343
BKHW106,435,307
BKHW107,459,297
BKHW108,421,247
BREN101,468,295
BREN102,367,202
BREN103,413,395
BREN104,358,323
BREN105,185,122
BREN106,193,117
BREN107,461,306
BREN108,502,319
BREN109,422,388
BREN110,375,324
BREN111,639,447
BREN112,388,197
BREN113,315,258
BREN114,221,185
BREN115,285,209
BREN116,537,582
BREN117,199,170
BREN118,360,310
BREN119,397,305
BREN120,290,205
BREN121,227,237
BREN122,272,257
BREN123,326,337
BREN124,538,378
BREN125,72,79
BREN126,437,288
BREN127,654,648
BREN128,693,520
BREN129,183,161
BREN130,358,264
BREN131,262,159
BREN132,251,199
BREN133,257,247
BREN801,3,1
BREN802,38,26
BRHL101,287,232
BRHL102,340,193
BRHL103,505,237
BRHL801,0,0
BRVL101,137,178
BRVL801,79,79
BYRN101,118,191
BYRN801,28,85
BYRN802,17,26
BYRN803,0,2
CANY801,139,5
CASR101,206,154
CLAY101,484,339
CLAY102,463,432
CLAY103,303,243
CLAY104,367,350
CLAY105,524,445
CLAY106,324,353
CLAY107,562,457
CLYD101,192,114
CONC101,265,102
CONC102,418,147
CONC103,447,187
CONC104,379,221
CONC105,418,229
CONC106,424,146
CONC107,521,223
CONC108,464,156
CONC109,481,228
CONC110,456,159
CONC111,425,207
CONC112,409,220
CONC113,484,223
CONC114,377,235
CONC115,583,341
CONC116,534,157
CONC117,488,158
CONC118,673,163
CONC119,480,156
CONC120,501,206
CONC121,417,226
CONC122,373,195
CONC123,509,231
CONC124,520,306
CONC125,430,192
CONC126,558,343
CONC127,259,202
CONC128,533,308
CONC129,328,241
CONC130,247,125
CONC131,389,146
CONC132,336,166
CONC133,407,230
CONC134,426,212
CONC136,674,343
CONC137,374,134
CONC138,444,225
CONC139,407,151
CONC140,318,196
CONC141,369,178
CONC142,340,222
CONC143,584,275
CONC144,595,266
CONC145,427,117
CONC146,410,146
CONC147,381,246
CONC148,619,267
CONC149,411,235
CONC150,485,237
CONC151,239,127
CONC152,450,215
CONC153,424,229
CONC154,294,137
CONC155,340,185
CONC156,398,272
CONC157,377,189
CONC158,450,188
CONC159,500,269
CONC160,284,271
CONC161,425,248
CONC163,353,116
CONC164,460,267
CONC165,346,88
CONC801,18,14
CONC802,2,3
CONC803,0,0
CONC804,9,11
CROC101,773,226
CROC102,386,126
CROC801,0,1
DANV101,251,299
DANV102,181,234
DANV103,382,289
DANV104,505,427
DANV105,496,446
DANV106,456,403
DANV107,567,390
DANV108,489,449
DANV109,318,239
DANV110,208,158
DANV111,313,170
DANV112,482,348
DANV113,374,222
DANV114,475,365
DANV115,317,327
DANV116,280,183
DANV117,453,292
DANV118,430,269
DANV119,635,502
DANV120,517,377
DANV121,261,245
DANV122,324,311
DANV123,367,304
DANV124,297,179
DANV125,214,136
DANV126,641,383
DANV127,363,248
DANV128,273,245
DANV129,472,429
DANV130,316,280
DBAY101,581,496
DBAY102,403,494
DBAY103,176,316
DBAY104,326,580
DBAY105,146,172
DBAY106,411,708
DBAY107,300,472
DBAY801,42,90
DIAB101,237,375
ELCR101,957,95
ELCR102,872,155
ELCR103,571,58
ELCR104,932,122
ELCR105,644,121
ELCR106,532,63
ELCR107,538,102
ELCR108,665,97
ELCR109,871,91
ELCR110,864,86
ELCR111,678,60
ELCR112,612,45
ELCR113,1019,91
ELCR114,550,52
ELCR115,461,67
ELSO101,580,129
ELSO102,633,147
ELSO103,382,134
ELSO104,503,153
ELSO105,623,218
ELSO106,540,107
ELSO107,279,60
ELSO801,2,0
ELSO802,93,47
ELSO803,9,5
ERIC101,829,96
ERIC102,901,77
ERIC103,320,43
ERIC801,33,6
FAIR801,0,1
GIAN101,418,77
GIAN102,308,92
GIAN103,474,166
GIAN104,540,206
GIAN105,380,71
HERC101,716,210
HERC102,785,187
HERC103,413,65
HERC104,511,152
HERC105,350,117
HERC106,478,167
HERC107,615,124
HERC108,455,139
HERC109,633,117
HERC110,426,125
HERC111,451,150
HERC113,637,164
HERC114,471,102
KENS101,505,67
KENS102,644,70
KENS103,972,91
KENS104,791,87
KENS801,0,1
KENS802,1,0
KNGT101,215,364
KNGT801,17,19
KNGT802,1,6
KNGT803,37,30
KNGT804,41,21
LAST801,15,27
LFET101,534,375
LFET102,436,281
LFET103,472,220
LFET104,561,215
LFET105,451,248
LFET106,450,197
LFET107,707,243
LFET108,804,225
LFET109,805,291
LFET110,436,157
LFET111,510,226
LFET112,200,125
LFET113,502,230
LFET114,458,234
LFET115,429,213
LFET116,576,347
LFET117,727,311
MARC801,59,97
MARC802,4,13
MARC803,7,14
MART101,362,82
MART103,232,75
MART104,581,201
MART106,268,91
MART107,456,271
MART108,472,273
MART109,474,198
MART110,317,146
MART111,645,353
MART112,435,158
MART114,286,146
MART115,369,218
MART116,261,118
MART117,261,177
MART118,381,215
MART120,565,201
MART125,363,122
MART126 0,219,112
MART801,1,0
MART802,71,90
MART803,23,25
MART804,93,40
MART805,76,37
MART806 0,66,27
MART807 0,49,11
MART808 0,96,31
MART809 0,5,2
MART810 0,57,21
MART811 0,76,29
MART812 0,21,4
MART813 0,84,26
MART814 0,6,0
MART815 0,49,38
MART816 0,24,5
MART817 0,25,9
MART818 0,98,45
MART819 0,15,12
MART820 0,63,24
MART821 0,74,65
MART822 0,99,52
MART823 0,13,6
MART824 0,11,6
MART825 0,9,9
MART826 0,68,65
MART827 0,0,0
MART828 0,15,12
MART829 0,1,2
MART830 0,110,34
MART831 0,158,60
MART832 0,177,59
MART833 0,159,31
MART834 0,180,113
MART835 0,160,62
MART836 0,156,66
MART837 0,93,23
MART838 0,54,18
MART839 0,145,79
MART840 0,141,52
MART841 0,194,57
MART842 0,138,89
MART843 0,115,85
MART844 0,159,84
MART845 0,10,0
MART846 0,227,107
MART847 0,190,113
MART848 0,94,38
MART849 0,119,75
MART850 0,220,107
MDIA101,165,153
MDIA801,4,2
MDIA802,2,2
MORG101,825,347
MORG102,545,194
MORG103,648,342
MORG104,703,416
MORG105,700,347
MORG106,644,366
MORG107,734,439
MORG108,509,271
MVIE101,258,138
MVIE102,324,150
MVIE801 0,0,0
MVIE802 0,4,3
NCYN101,252,172
NICH801,3,3
NRIC101,486,53
NRTV801,2,5
NRTV802,2,8
OKLY101,304,257
OKLY102,367,261
OKLY103,395,280
OKLY104,663,282
OKLY105,386,240
OKLY106,400,375
OKLY107,238,156
OKLY108,286,195
OKLY109,291,171
OKLY110,340,306
OKLY111,237,244
OKLY112,256,220
OKLY113,581,363
OKLY114,374,366
OKLY115,374,228
OKLY116,450,336
OKLY117,289,211
OKLY118,217,130
OKLY119,251,153
OKLY801,1,2
OLEU801,4,4
OLEU802,6,8
ORDA101,926,317
ORDA102,409,160
ORDA103,522,275
ORDA104,315,159
ORDA105,653,292
ORDA106,771,290
ORDA107,751,289
ORDA108,671,361
ORDA109,409,270
ORDA110,244,129
ORDA111,806,271
ORDA112,500,283
ORDA113,247,92
ORDA801,3,0
PACH101,606,278
PACH102,314,168
PACH801,0,3
PACH802,49,34
PACH803,0,2
PINL102,435,139
PINL103,521,104
PINL104,371,123
PINL105,560,131
PINL106,418,130
PINL107,369,123
PINL108,555,165
PINL109,360,104
PINL110,581,225
PINL111,539,207
PINL112,563,246
PINL801,10,7
PINL802,118,47
PINL803,45,8
PLHL101,514,164
PLHL102,394,161
PLHL103,376,186
PLHL104,704,356
PLHL105,433,214
PLHL106,627,280
PLHL107,569,297
PLHL108,631,295
PLHL109,629,191
PLHL110,491,279
PLHL111,512,298
PLHL112,435,171
PLHL113,601,216
PLHL114,670,268
PLHL115,663,245
PLHL116,483,179
PLHL117,545,174
PLHL118,490,168
PLHL119,489,188
PRCO801,86,33
PTTS101,514,180
PTTS102,384,151
PTTS103,390,112
PTTS104,467,142
PTTS105,209,72
PTTS106,410,151
PTTS107,468,187
PTTS108,528,75
PTTS109,404,87
PTTS110,412,92
PTTS111,374,164
PTTS112,379,108
PTTS113,356,85
PTTS114,461,151
PTTS115,461,175
PTTS116,338,114
PTTS117,273,136
PTTS118,383,127
PTTS119,320,127
PTTS120,295,107
PTTS121,319,74
PTTS122,324,69
PTTS123,269,53
PTTS124,292,50
PTTS125,480,76
PTTS126,389,72
PTTS127,322,66
PTTS128,493,99
PTTS129,626,127
PTTS130,329,108
PTTS131,401,105
PTTS132,507,170
PTTS133,345,106
PTTS134,362,89
PTTS135,310,78
PTTS801,2,1
PTTS802,0,0
RICH101,677,100
RICH102,428,61
RICH103,543,122
RICH104,829,105
RICH105,918,125
RICH106,682,78
RICH107,161,19
RICH108,645,63
RICH109,307,26
RICH110,427,43
RICH111,297,38
RICH112,448,47
RICH113,584,67
RICH114,525,53
RICH115,463,41
RICH116,249,26
RICH117,415,44
RICH118,464,62
RICH119,373,38
RICH120,303,40
RICH121,164,20
RICH122,734,106
RICH123,779,81
RICH124,449,61
RICH125,485,82
RICH126,440,77
RICH127,422,59
RICH128,523,78
RICH129,357,40
RICH130,385,36
RICH131,393,74
RICH132,483,95
RICH133,471,51
RICH134,351,37
RICH135,409,45
RICH136,350,35
RICH137,512,71
RICH138,306,123
RICH139,757,163
RICH140,316,65
RICH141,465,114
RICH142,778,192
RICH143,808,78
RICH144,673,99
RICH145,842,93
RICH146,167,7
RICH147,375,31
RICH148,107,23
RICH149,251,25
RICH150,273,40
RICH151,336,65
RICH152,313,48
RICH153,286,34
RICH154,432,43
RICH155,421,44
RICH156,339,73
RICH801,16,6
RICH802,34,2
RICH803,128,34
RICH804,100,24
RICH805,72,5
RICH806,101,23
RICH807,0,0
RODO101,431,164
RODO102,534,151
RODO103,541,209
RODO104,486,140
ROLL101,536,94
SARA101,356,112
SARA102,694,176
SARA103,637,219
SARA105,352,150
SARA106,448,191
SARA801,2,0
SARA802,104,51
SHEL101,90,69
SHEL102,260,97
SPAB101,735,81
SPAB102,300,45
SPAB103,356,58
SPAB104,455,65
SPAB105,326,59
SPAB106,667,98
SPAB107,506,93
SPAB108,433,55
SPAB109,388,42
SPAB110,530,74
SRAM101,392,219
SRAM102,529,242
SRAM103,431,337
SRAM104,446,296
SRAM105,378,191
SRAM106,473,284
SRAM107,435,315
SRAM108,555,243
SRAM109,494,259
SRAM110,418,293
SRAM111,613,356
SRAM112,481,336
SRAM113,417,285
SRAM114,299,238
SRAM115,528,316
SRAM116,404,276
SRAM117,613,363
SRAM118,374,203
SRAM119,377,155
SRAM120,435,322
SRAM121,202,180
SRAM122,467,165
SRAM123,597,191
SRAM124,324,93
SRAM125,376,248
SRAM126,409,200
SRAM127,212,79
SRAM128,576,272
SRAM129,271,216
SRAM130,333,215
SRAM131,378,108
SRAM132,419,224
SRAM133,545,201
SRAM134,400,153
SRAM135,368,114
SRAM136,288,186
SRAM137,513,180
SRAM138,348,139
SRAM139,323,138
SRAM140,365,137
SRAM141,365,213
SRAM142,348,116
SRAM801,0,0
STMY801,61,59
TASJ101,91,135
TASJ801,0,1
TASJ802,49,72
TASJ803,11,24
TASJ804,69,18
TESO801,0,0
VIER801,3,8
VINE101,449,244
VINE102,254,117
VINE801,48,51
VINE802,51,29
VINE803 0,14,5
WALD101,464,179
WALD102,851,240
WALD103,461,119
WALD801,72,10
WLCR101,827,361
WLCR102,652,251
WLCR103,943,464
WLCR104,198,108
WLCR105,525,298
WLCR106,825,311
WLCR107,237,75
WLCR108,305,141
WLCR109,220,141
WLCR110,554,267
WLCR111,593,268
WLCR112,495,198
WLCR113,619,189
WLCR114,216,78
WLCR115,332,181
WLCR116,312,165
WLCR117,659,372
WLCR118,229,150
WLCR119,599,267
WLCR120,700,278
