Precinct,KENNETH L. CROCKETT,ENRICO E. CINQUINI,HOWARD G. HOBBS,PAUL S. SEGER
BETH101,41,35,35,43
KNGT101,16,12,11,19
OKLY101,317,251,282,301
OKLY102,348,305,272,340
OKLY103,390,313,321,336
OKLY104,486,435,424,490
OKLY105,342,331,303,322
OKLY106,433,337,335,373
OKLY107,227,197,197,201
OKLY108,278,253,228,250
OKLY109,282,236,225,240
OKLY110,380,318,301,336
OKLY111,277,233,240,264
OKLY112,258,233,216,231
OKLY113,533,470,452,503
OKLY114,417,335,332,358
OKLY115,354,303,286,323
OKLY116,445,397,368,372
OKLY117,258,245,235,259
OKLY118,191,158,153,201
OKLY119,212,196,191,215
OKLY801,1,0,1,2
