Precinct,DIANNE FEINSTEIN,KEVIN DE LEON
ALHA101,219,198
ALHA801,9,13
ALHA802,25,27
ALHA803,8,5
ALHA804,61,49
ALHA805,21,25
ALHA806,1,0
ALMO101,288,212
ALMO102,627,445
ALMO103,381,308
ALMO104,395,360
ALMO105,248,161
ALMO106,391,284
ALMO107,372,177
ALMO108,320,222
ALMO109,382,273
ALMO110,414,280
ALMO111,373,299
ALMO112,232,216
ANTI101,105,88
ANTI102,320,215
ANTI103,285,199
ANTI104,352,291
ANTI105,283,227
ANTI106,311,187
ANTI107,313,219
ANTI108,385,390
ANTI109,435,272
ANTI110,332,249
ANTI111,393,329
ANTI112,218,185
ANTI113,185,151
ANTI114,262,220
ANTI115,312,252
ANTI116,179,172
ANTI117,306,301
ANTI118,221,208
ANTI119,407,244
ANTI120,411,328
ANTI121,313,217
ANTI122,479,277
ANTI123,505,328
ANTI124,503,273
ANTI125,341,244
ANTI126,245,153
ANTI127,318,256
ANTI128,255,223
ANTI129,177,172
ANTI130,256,199
ANTI131,354,296
ANTI132,273,192
ANTI133,496,266
ANTI134,355,255
ANTI135,332,204
ANTI136,376,212
ANTI137,300,209
ANTI138,413,242
ANTI139,338,255
ANTI140,193,150
ANTI141,372,249
ANTI142,266,162
ANTI143,498,239
ANTI144,215,170
ANTI145,285,147
ANTI146,301,197
ANTI147,354,265
ANTI148,279,135
ANTI149,178,118
ANTI150,253,199
ANTI151,161,101
ANTI152,264,130
ANTI801,0,2
ANTI802,1,11
AYER101,161,172
BAPO101,319,265
BAPO102,105,72
BAPO103,280,215
BAPO104,230,162
BAPO105,197,208
BAPO106,219,205
BAPO107,330,268
BAPO108,140,164
BAPO109,209,187
BAPO801,4,0
BAPO802,0,3
BETH101,375,477
BETH801,0,0
BKDI801,3,6
BKDI802,74,112
BKDI803,2,0
BKDI804,2,0
BKHW101,429,399
BKHW102,403,342
BKHW103,288,256
BKHW104,380,269
BKHW105,258,240
BKHW106,364,336
BKHW107,405,309
BKHW108,367,248
BREN101,367,334
BREN102,293,248
BREN103,345,393
BREN104,315,315
BREN105,130,162
BREN106,140,156
BREN107,358,341
BREN108,394,371
BREN109,362,379
BREN110,340,289
BREN111,488,496
BREN112,289,274
BREN113,280,248
BREN114,182,194
BREN115,241,226
BREN116,504,500
BREN117,145,175
BREN118,301,321
BREN119,330,332
BREN120,238,220
BREN121,214,203
BREN122,271,215
BREN123,279,312
BREN124,425,402
BREN125,66,77
BREN126,368,293
BREN127,601,572
BREN128,647,506
BREN129,164,147
BREN130,294,272
BREN131,214,172
BREN132,208,201
BREN133,231,221
BREN801,3,1
BREN802,31,27
BRHL101,281,210
BRHL102,318,184
BRHL103,460,240
BRHL801,0,0
BRVL101,132,149
BRVL801,64,81
BYRN101,104,164
BYRN801,36,66
BYRN802,17,17
BYRN803,1,0
CANY801,77,71
CASR101,189,141
CLAY101,431,361
CLAY102,430,405
CLAY103,300,238
CLAY104,364,313
CLAY105,524,386
CLAY106,331,284
CLAY107,496,448
CLYD101,145,133
CONC101,194,153
CONC102,311,255
CONC103,356,267
CONC104,317,250
CONC105,322,287
CONC106,295,265
CONC107,391,329
CONC108,336,280
CONC109,369,306
CONC110,358,237
CONC111,316,287
CONC112,322,261
CONC113,361,312
CONC114,298,293
CONC115,479,404
CONC116,364,310
CONC117,359,275
CONC118,448,394
CONC119,338,288
CONC120,388,298
CONC121,328,301
CONC122,308,231
CONC123,390,339
CONC124,420,347
CONC125,340,251
CONC126,417,418
CONC127,225,209
CONC128,450,347
CONC129,280,260
CONC130,203,154
CONC131,310,213
CONC132,301,176
CONC133,342,266
CONC134,311,303
CONC136,518,457
CONC137,266,221
CONC138,345,281
CONC139,298,244
CONC140,264,223
CONC141,284,224
CONC142,332,195
CONC143,516,321
CONC144,484,340
CONC145,305,227
CONC146,310,229
CONC147,322,275
CONC148,478,375
CONC149,336,284
CONC150,412,295
CONC151,191,155
CONC152,349,285
CONC153,358,263
CONC154,234,179
CONC155,288,221
CONC156,327,309
CONC157,275,257
CONC158,333,286
CONC159,400,313
CONC160,246,262
CONC161,378,258
CONC163,250,209
CONC164,404,273
CONC165,249,185
CONC801,15,17
CONC802,3,1
CONC803,0,0
CONC804,9,11
CROC101,532,454
CROC102,282,215
CROC801,0,0
DANV101,282,231
DANV102,219,169
DANV103,369,261
