Precinct,JOHN H. COX,GAVIN NEWSOM
ALHA101,245,259
ALHA801,12,15
ALHA802,26,29
ALHA803,5,8
ALHA804,46,79
ALHA805,28,24
ALHA806,1,1
ALMO101,300,294
ALMO102,539,681
ALMO103,375,401
ALMO104,463,410
ALMO105,258,230
ALMO106,403,374
ALMO107,201,404
ALMO108,243,369
ALMO109,391,368
ALMO110,411,396
ALMO111,412,387
ALMO112,304,216
ANTI101,82,130
ANTI102,183,387
ANTI103,136,369
ANTI104,228,453
ANTI105,183,397
ANTI106,166,369
ANTI107,152,427
ANTI108,375,493
ANTI109,236,526
ANTI110,231,407
ANTI111,309,499
ANTI112,153,273
ANTI113,130,231
ANTI114,133,390
ANTI115,214,408
ANTI116,136,250
ANTI117,279,390
ANTI118,182,283
ANTI119,201,495
ANTI120,280,526
ANTI121,137,442
ANTI122,225,576
ANTI123,219,660
ANTI124,173,646
ANTI125,241,406
ANTI126,173,278
ANTI127,255,392
ANTI128,177,357
ANTI129,137,246
ANTI130,145,336
ANTI131,265,440
ANTI132,143,364
ANTI133,198,609
ANTI134,165,480
ANTI135,144,450
ANTI136,193,453
ANTI137,162,389
ANTI138,188,511
ANTI139,214,424
ANTI140,127,246
ANTI141,171,493
ANTI142,105,344
ANTI143,170,614
ANTI144,138,273
ANTI145,97,356
ANTI146,221,344
ANTI147,188,474
ANTI148,74,355
ANTI149,79,231
ANTI150,196,293
ANTI151,59,226
ANTI152,121,312
ANTI801,1,2
ANTI802,6,6
AYER101,191,182
BAPO101,150,489
BAPO102,45,142
BAPO103,120,405
BAPO104,77,343
BAPO105,103,329
BAPO106,114,354
BAPO107,194,453
BAPO108,72,251
BAPO109,119,309
BAPO801,0,3
BAPO802,2,1
BETH101,556,420
BETH801,0,0
BKDI801,8,1
BKDI802,117,88
BKDI803,0,2
BKDI804,0,2
BKHW101,572,428
BKHW102,438,444
BKHW103,355,305
BKHW104,269,455
BKHW105,352,230
BKHW106,342,445
BKHW107,317,480
BKHW108,248,448
BREN101,321,464
BREN102,225,374
BREN103,429,424
BREN104,361,356
BREN105,144,176
BREN106,134,194
BREN107,349,450
BREN108,367,487
BREN109,428,432
BREN110,366,360
BREN111,489,636
BREN112,221,391
BREN113,285,318
BREN114,215,220
BREN115,244,275
BREN116,636,573
BREN117,186,195
BREN118,358,352
BREN119,362,390
BREN120,223,295
BREN121,257,229
BREN122,290,275
BREN123,384,320
BREN124,414,526
BREN125,86,74
BREN126,319,439
BREN127,712,662
BREN128,562,706
BREN129,178,192
BREN130,290,358
BREN131,179,259
BREN132,212,253
BREN133,279,244
BREN801,2,2
BREN802,31,39
BRHL101,241,303
BRHL102,198,362
BRHL103,247,539
BRHL801,0,0
BRVL101,197,141
BRVL801,86,83
BYRN101,209,110
BYRN801,89,26
BYRN802,29,14
BYRN803,2,0
CANY801,10,140
CASR101,161,219
CLAY101,378,498
CLAY102,483,471
CLAY103,261,335
CLAY104,386,397
CLAY105,463,569
CLAY106,394,333
CLAY107,494,595
CLYD101,129,194
CONC101,116,266
CONC102,164,438
CONC103,195,468
CONC104,236,406
CONC105,237,442
CONC106,170,437
CONC107,243,530
CONC108,184,477
CONC109,253,499
CONC110,153,494
CONC111,228,435
CONC112,237,408
CONC113,257,478
CONC114,257,396
CONC115,382,602
CONC116,176,546
CONC117,189,488
CONC118,174,719
CONC119,169,491
CONC120,215,534
CONC121,264,430
CONC122,216,388
CONC123,249,536
CONC124,336,533
CONC125,203,449
CONC126,369,570
CONC127,222,271
CONC128,342,563
CONC129,274,342
CONC130,137,255
CONC131,171,402
CONC132,172,343
CONC133,263,412
CONC134,228,445
CONC136,388,688
CONC137,148,376
CONC138,241,463
CONC139,163,424
CONC140,222,324
CONC141,197,366
CONC142,220,366
CONC143,288,622
CONC144,279,613
CONC145,140,432
CONC146,159,427
CONC147,248,415
CONC148,288,629
CONC149,246,442
CONC150,259,515
CONC151,138,254
CONC152,239,457
CONC153,253,437
CONC154,162,300
CONC155,198,357
CONC156,304,399
CONC157,212,376
CONC158,214,450
CONC159,293,514
CONC160,293,305
CONC161,263,446
CONC163,133,368
CONC164,292,478
CONC165,99,358
CONC801,17,19
CONC802,3,3
CONC803,0,0
CONC804,11,9
CROC101,266,788
CROC102,133,396
CROC801,1,0
DANV101,307,279
DANV102,236,195
DANV103,299,420
DANV104,438,568
DANV105,471,542
DANV106,430,486
DANV107,408,617
DANV108,478,542
DANV109,244,349
DANV110,177,217
DANV111,184,328
DANV112,391,491
DANV113,249,384
DANV114,384,515
DANV115,344,336
DANV116,194,290
DANV117,318,476
DANV118,294,475
DANV119,537,668
DANV120,406,546
DANV121,262,280
DANV122,327,351
DANV123,326,384
DANV124,206,299
DANV125,148,238
DANV126,414,681
DANV127,259,391
DANV128,251,292
DANV129,444,510
DANV130,301,322
DBAY101,545,579
DBAY102,541,400
DBAY103,355,169
DBAY104,637,326
DBAY105,197,149
DBAY106,785,390
DBAY107,516,291
DBAY801,101,41
DIAB101,388,268
ELCR101,85,1003
ELCR102,154,914
ELCR103,62,591
ELCR104,147,958
ELCR105,132,677
ELCR106,76,541
ELCR107,106,561
ELCR108,109,694
ELCR109,104,899
ELCR110,88,903
ELCR111,55,730
ELCR112,49,636
ELCR113,109,1037
ELCR114,54,576
ELCR115,63,490
ELSO101,145,603
ELSO102,148,667
ELSO103,145,406
ELSO104,169,512
ELSO105,254,630
ELSO106,125,557
ELSO107,63,285
ELSO801,0,2
ELSO802,52,99
ELSO803,5,10
ERIC101,110,847
ERIC102,89,924
ERIC103,53,319
ERIC801,4,39
FAIR801,1,0
GIAN101,77,427
GIAN102,102,319
GIAN103,207,472
GIAN104,234,568
GIAN105,76,395
HERC101,230,728
HERC102,213,806
HERC103,79,412
HERC104,172,530
HERC105,127,373
HERC106,177,493
HERC107,146,638
HERC108,153,468
HERC109,112,668
HERC110,147,431
HERC111,161,468
HERC113,169,686
HERC114,122,480
KENS101,73,518
KENS102,60,687
KENS103,87,1032
KENS104,85,833
KENS801,1,0
KENS802,0,1
KNGT101,397,204
KNGT801,22,14
KNGT802,5,3
KNGT803,41,29
KNGT804,27,40
LAST801,32,15
LFET101,382,608
LFET102,290,486
LFET103,216,511
LFET104,219,604
LFET105,243,490
LFET106,206,483
LFET107,248,765
LFET108,215,857
LFET109,302,857
LFET110,169,456
LFET111,230,541
LFET112,129,217
LFET113,251,542
LFET114,235,503
LFET115,247,444
LFET116,366,641
LFET117,334,793
MARC801,104,56
MARC802,16,5
MARC803,12,9
MART101,91,369
MART103,84,237
MART104,228,594
MART106,101,280
MART107,286,464
MART108,299,485
MART109,225,484
MART110,158,333
MART111,395,656
MART112,181,448
MART114,155,305
MART115,224,392
MART116,124,269
MART117,201,275
MART118,222,399
MART120,227,578
MART125,141,379
MART126 0,138,222
MART801,0,2
MART802,93,75
MART803,26,25
MART804,43,99
MART805,39,78
MART806 0,26,68
MART807 0,11,52
MART808 0,31,99
MART809 0,3,4
MART810 0,23,68
MART811 0,26,83
MART812 0,6,20
MART813 0,29,88
MART814 0,0,6
MART815 0,37,54
MART816 0,7,23
MART817 0,9,26
MART818 0,48,99
MART819 0,13,16
MART820 0,28,58
MART821 0,67,73
MART822 0,55,106
MART823 0,7,14
MART824 0,7,12
MART825 0,8,12
MART826 0,65,72
MART827 0,0,0
MART828 0,11,16
MART829 0,3,1
MART830 0,34,115
MART831 0,77,154
MART832 0,64,179
MART833 0,39,158
MART834 0,125,182
MART835 0,68,161
MART836 0,69,161
MART837 0,27,98
MART838 0,18,57
MART839 0,80,152
