Precinct,MARLA LIVENGOOD,JERRY MCNERNEY
ANTI106,155,370
ANTI107,158,401
ANTI108,338,509
ANTI109,217,529
ANTI110,187,414
ANTI111,265,511
ANTI115,174,412
ANTI116,123,247
ANTI117,264,389
ANTI118,157,295
ANTI120,263,532
ANTI121,128,428
ANTI122,208,572
ANTI123,197,644
ANTI124,152,645
ANTI125,212,414
ANTI126,152,287
ANTI127,226,397
ANTI128,158,349
ANTI129,127,240
ANTI130,139,328
ANTI131,237,452
ANTI132,138,360
ANTI133,193,591
ANTI134,149,480
ANTI135,138,436
ANTI136,170,455
ANTI137,143,395
ANTI138,178,492
ANTI139,199,421
ANTI140,118,248
ANTI141,163,474
ANTI142,94,338
ANTI143,151,608
ANTI144,135,263
ANTI145,89,337
ANTI150,168,315
ANTI151,57,220
ANTI152,101,315
ANTI801,1,2
ANTI802,6,6
BETH101,486,449
BETH801,0,0
BREN101,309,470
BREN102,227,355
BREN103,386,447
BREN104,311,383
BREN105,136,175
BREN106,125,197
BREN107,320,457
BREN108,330,508
BREN109,392,444
BREN110,317,402
BREN111,442,652
BREN112,200,395
BREN113,257,335
BREN114,195,229
BREN115,221,283
BREN116,567,597
BREN117,184,199
BREN118,320,370
BREN119,315,421
BREN120,193,309
BREN121,224,249
BREN122,266,284
BREN123,339,343
BREN124,372,552
BREN125,75,78
BREN126,299,443
BREN127,627,713
BREN128,492,758
BREN129,158,205
BREN130,261,377
BREN131,164,269
BREN132,202,257
BREN133,236,278
BREN801,1,3
BREN802,30,35
BYRN101,183,129
BYRN801,82,34
BYRN803,2,0
DBAY101,492,597
DBAY102,474,433
DBAY103,297,212
DBAY104,552,389
DBAY105,160,166
DBAY106,625,509
DBAY107,437,346
DBAY801,96,41
KNGT101,363,231
KNGT801,24,12
KNGT802,7,1
KNGT803,30,40
KNGT804,25,35
MARC801,97,62
MARC802,13,4
OKLY101,263,306
OKLY102,269,376
OKLY103,293,396
OKLY104,286,673
OKLY105,251,382
OKLY106,378,414
OKLY107,150,250
OKLY108,196,295
OKLY109,183,287
OKLY110,311,348
OKLY111,242,249
OKLY112,222,260
OKLY113,377,570
OKLY114,362,399
OKLY115,225,388
OKLY116,332,454
OKLY117,210,293
OKLY118,131,217
OKLY119,159,246
OKLY801,2,1
VIER801,4,6
