Precinct,AASIM YAHYA,TIM GRAYSON
ALHA101,88,294
ALHA801,7,11
ALHA802,13,35
ALHA803,1,10
ALHA804,21,81
ALHA805,12,33
ALHA806,0,1
AYER101,95,220
BAPO101,215,368
BAPO102,62,117
BAPO103,184,304
BAPO104,146,246
BAPO105,155,237
BAPO106,128,292
BAPO107,183,392
BAPO108,116,178
BAPO109,140,250
BAPO801,0,4
BAPO802,0,3
BKDI803,2,0
BRHL101,87,376
BRHL102,93,388
BRHL103,150,509
BRHL801,0,0
BRVL101,65,204
BRVL801,24,113
BYRN802,7,21
BYRN803,1,0
CASR101,71,228
CLAY101,140,605
CLAY102,159,624
CLAY103,89,408
CLAY104,139,497
CLAY105,146,700
CLAY106,120,466
CLAY107,198,723
CLYD101,78,191
CONC101,110,232
CONC102,197,347
CONC103,175,428
CONC104,138,406
CONC105,177,424
CONC106,192,350
CONC107,212,498
CONC108,196,395
CONC109,222,436
CONC110,183,392
CONC111,208,392
CONC112,167,403
CONC113,232,439
CONC114,172,411
CONC115,239,624
CONC116,229,416
CONC117,221,392
CONC118,305,506
CONC119,214,393
CONC120,223,443
CONC121,187,431
CONC122,152,366
CONC123,250,452
CONC124,242,515
CONC125,183,392
CONC126,215,594
CONC127,100,323
CONC128,247,536
CONC129,132,416
CONC130,94,246
CONC131,128,362
CONC132,108,364
CONC133,178,403
CONC134,202,394
CONC136,273,687
CONC137,143,328
CONC138,180,427
CONC139,168,348
CONC140,140,322
CONC141,141,361
CONC142,110,384
CONC143,182,622
CONC144,219,582
CONC145,182,337
CONC146,171,350
CONC147,147,421
CONC148,251,573
CONC149,161,446
CONC150,165,518
CONC151,86,242
CONC152,159,449
CONC153,135,450
CONC154,98,300
CONC155,119,361
CONC156,135,480
CONC157,136,379
CONC158,164,432
CONC159,190,497
CONC160,85,414
CONC161,133,467
CONC163,157,292
CONC164,161,489
CONC165,157,265
CONC801,6,26
CONC802,1,3
CONC803,0,0
CONC804,5,15
CROC101,276,651
CROC102,137,340
CROC801,0,0
ELSO801,2,0
ELSO802,25,103
MARC802,0,7
MARC803,3,11
MART101,121,291
MART103,72,210
MART104,203,533
MART106,112,224
MART107,155,499
MART108,135,535
MART109,145,482
MART110,71,360
MART111,214,683
MART112,130,421
MART114,91,312
MART115,128,394
MART116,107,242
MART117,72,328
MART118,123,409
MART120,162,545
MART125,148,323
MART126 0,70,249
MART801,0,1
MART802,21,111
MART803,8,39
MART804,39,82
MART805,26,76
MART806 0,17,66
MART807 0,21,36
MART808 0,39,70
MART809 0,5,2
MART810 0,13,56
MART811 0,38,58
MART812 0,5,18
MART813 0,35,71
MART814 0,1,4
MART815 0,23,53
MART816 0,8,19
MART817 0,12,21
MART818 0,35,90
MART819 0,7,15
MART820 0,25,52
MART821 0,23,95
MART822 0,33,105
MART823 0,4,15
MART824 0,7,9
MART825 0,5,12
MART826 0,26,98
MART827 0,0,0
MART828 0,1,23
MART829 0,1,3
MART830 0,44,93
MART831 0,53,142
MART832 0,53,162
MART833 0,63,118
MART834 0,55,200
MART835 0,57,138
MART836 0,42,159
MART837 0,49,59
MART838 0,14,54
MART839 0,45,153
MART840 0,41,137
MART841 0,47,199
MART842 0,55,148
MART843 0,22,155
MART844 0,46,174
MART845 0,2,7
MART846 0,78,233
MART847 0,71,198
MART848 0,31,88
MART849 0,31,142
MART850 0,73,232
MDIA801,0,4
MDIA802,1,3
MVIE101,108,258
MVIE102,124,294
MVIE801 0,0,0
MVIE802 0,0,6
NICH801,2,2
NRTV801,0,3
NRTV802,3,7
OLEU801,1,4
OLEU802,3,8
PACH101,222,582
PACH102,116,318
PACH801,0,3
PACH802,19,52
PACH803,1,0
PLHL101,194,447
PLHL102,161,327
PLHL103,117,413
PLHL104,207,773
PLHL105,117,457
PLHL106,185,642
PLHL107,174,608
PLHL108,228,591
PLHL109,211,574
PLHL110,132,583
PLHL111,156,585
PLHL112,153,403
PLHL113,203,549
PLHL114,178,688
PLHL115,217,624
PLHL116,173,431
PLHL117,171,496
PLHL118,182,422
PLHL119,231,386
PRCO801,42,65
PTTS101,213,415
PTTS102,187,310
PTTS103,145,317
PTTS104,202,362
PTTS105,100,165
PTTS106,187,335
PTTS107,212,403
PTTS109,199,277
PTTS110,147,328
PTTS111,146,356
PTTS112,135,335
PTTS113,129,303
PTTS117,79,305
PTTS118,144,337
PTTS121,132,241
PTTS122,118,256
PTTS123,117,198
PTTS124,125,208
PTTS125,185,360
PTTS126,169,269
PTTS127,119,245
PTTS128,183,395
PTTS129,229,501
PTTS130,147,268
PTTS131,169,314
PTTS132,225,415
PTTS133,146,268
PTTS802,0,0
RODO101,170,384
RODO102,196,450
RODO103,237,462
RODO104,192,385
TASJ101,38,134
TASJ802,16,71
TASJ803,7,23
TESO801,0,0
VINE101,205,424
VINE102,106,233
VINE801,30,55
VINE802,13,62
VINE803 0,5,12
WALD101,160,408
WALD102,315,669
WALD103,194,329
WALD801,20,59
WLCR115,86,382
WLCR118,52,295
WLCR119,177,617
WLCR130,112,400
WLCR138,155,546
WLCR139,132,550
WLCR140,149,606
WLCR141,164,631
WLCR801,41,127
WLCR804,34,131
WLCR805,0,0
CONC135,155,463
