Precinct,CATHARINE BAKER,REBECCA BAUER-KAHAN
ALMO101,321,250
ALMO102,677,514
ALMO103,459,312
ALMO104,543,308
ALMO105,327,154
ALMO106,500,251
ALMO107,270,323
ALMO108,323,276
ALMO109,457,286
ALMO110,539,256
ALMO111,472,293
ALMO112,348,165
BKHW101,652,326
BKHW102,535,322
BKHW103,420,222
BKHW104,319,377
BKHW105,397,173
BKHW106,371,387
BKHW107,401,380
BKHW108,308,376
CANY801,14,136
DANV101,351,212
DANV102,288,141
DANV103,371,326
DANV104,557,418
DANV105,577,401
DANV106,497,403
DANV107,515,491
DANV108,585,393
DANV109,318,266
DANV110,236,149
DANV111,236,257
DANV112,454,401
DANV113,319,294
DANV114,497,377
DANV115,407,246
DANV116,247,229
DANV117,403,378
DANV118,408,334
DANV119,685,488
DANV120,456,480
DANV121,313,213
DANV122,413,249
DANV123,377,320
DANV124,250,245
DANV125,192,172
DANV126,528,540
DANV127,309,318
DANV128,331,203
DANV129,531,397
DANV130,351,253
DIAB101,433,218
KENS801,1,0
LAST801,28,15
LFET101,558,415
LFET102,384,371
LFET103,350,368
LFET104,336,470
LFET105,352,370
LFET106,293,377
LFET107,394,612
LFET108,347,698
LFET109,435,702
LFET110,248,360
LFET111,356,402
LFET112,197,143
LFET113,377,409
LFET114,361,369
LFET115,324,358
LFET116,545,441
LFET117,507,597
MDIA101,191,146
MORG101,562,666
MORG102,268,486
MORG103,530,507
MORG104,572,592
MORG105,522,558
MORG106,530,527
MORG107,631,604
MORG108,387,438
NCYN101,229,214
ORDA101,460,839
ORDA102,261,325
ORDA103,395,452
ORDA104,232,255
ORDA105,441,544
ORDA106,441,666
ORDA107,495,617
ORDA108,534,541
ORDA109,397,326
ORDA110,189,200
ORDA111,404,714
ORDA112,414,424
ORDA113,154,194
ORDA801,0,3
SARA101,190,287
SARA102,339,554
SARA103,321,561
SARA105,224,296
SARA106,270,376
SARA801,0,2
SARA802,79,85
SHEL101,83,78
SHEL102,159,213
SRAM101,304,331
SRAM102,324,472
SRAM103,490,308
SRAM104,411,342
SRAM105,260,325
SRAM106,412,376
SRAM107,401,371
SRAM108,368,447
SRAM109,372,400
SRAM110,397,334
SRAM111,484,523
SRAM112,454,406
SRAM113,388,347
SRAM114,298,258
SRAM115,461,407
SRAM116,337,366
SRAM117,515,518
SRAM118,295,285
SRAM119,236,304
SRAM120,435,351
SRAM121,237,158
SRAM122,284,365
SRAM123,310,500
SRAM124,144,281
SRAM125,326,326
SRAM126,264,354
SRAM127,124,179
SRAM128,373,498
SRAM129,312,202
SRAM130,305,262
SRAM131,197,307
SRAM132,284,364
SRAM133,316,470
SRAM134,223,345
SRAM135,175,310
SRAM136,263,231
SRAM137,314,403
SRAM138,217,277
SRAM139,215,265
SRAM140,209,305
SRAM141,283,308
SRAM142,179,295
SRAM801,0,0
STMY801,76,50
TASJ801,1,0
TASJ804,25,63
WLCR101,563,665
WLCR102,367,563
WLCR103,652,798
WLCR104,165,154
WLCR105,436,423
WLCR106,444,722
WLCR107,125,202
WLCR108,204,265
WLCR109,190,180
WLCR110,359,487
WLCR111,369,516
WLCR112,284,415
WLCR113,323,517
WLCR114,111,196
WLCR116,227,260
WLCR117,509,561
WLCR120,371,628
WLCR121,389,603
WLCR122,272,344
WLCR123,180,539
WLCR124,161,358
WLCR125,414,440
WLCR126,299,652
WLCR127,372,474
WLCR129,412,602
WLCR131,271,396
WLCR132,449,320
WLCR133,320,523
WLCR134,443,339
WLCR135,299,677
WLCR136,162,225
WLCR137,425,626
WLCR142,409,547
WLCR143,281,453
WLCR144,244,485
WLCR802,0,2
WLCR803,23,34
WLKN101,426,457
WLKN102,281,338
WLKN103,216,302
WLKN801,83,69
CALD801,3,5
