Precinct,CHERYL HANSEN,LYNN MACKEY
ALHA101,168,225
ALHA801,9,9
ALHA802,27,14
ALHA803,6,4
ALHA804,41,58
ALHA805,14,24
ALHA806,0,0
ALMO101,158,288
ALMO102,349,624
ALMO103,237,355
ALMO104,276,391
ALMO105,127,236
ALMO106,230,358
ALMO107,136,322
ALMO108,160,317
ALMO109,207,379
ALMO110,224,396
ALMO111,218,375
ALMO112,153,239
ANTI101,97,93
ANTI102,263,245
ANTI103,250,200
ANTI104,305,289
ANTI105,228,266
ANTI106,207,256
ANTI107,249,253
ANTI108,380,380
ANTI109,311,349
ANTI110,288,251
ANTI111,319,366
ANTI112,211,173
ANTI113,166,148
ANTI114,214,239
ANTI115,271,265
ANTI116,165,177
ANTI117,275,309
ANTI118,197,214
ANTI119,304,318
ANTI120,309,377
ANTI121,235,266
ANTI122,339,344
ANTI123,393,345
ANTI124,338,358
ANTI125,256,297
ANTI126,193,199
ANTI127,269,286
ANTI128,242,212
ANTI129,151,186
ANTI130,197,216
ANTI131,309,294
ANTI132,196,243
ANTI133,324,374
ANTI134,307,261
ANTI135,280,222
ANTI136,277,286
ANTI137,229,241
ANTI138,246,350
ANTI139,265,272
ANTI140,151,167
ANTI141,258,325
ANTI142,194,204
ANTI143,315,373
ANTI144,179,175
ANTI145,197,202
ANTI146,220,256
ANTI147,305,270
ANTI148,203,176
ANTI149,150,130
ANTI150,185,225
ANTI151,131,118
ANTI152,180,187
ANTI801,1,2
ANTI802,8,0
AYER101,136,160
BAPO101,319,240
BAPO102,101,74
BAPO103,273,204
BAPO104,224,143
BAPO105,219,167
BAPO106,223,194
BAPO107,300,233
BAPO108,175,117
BAPO109,221,167
BAPO801,2,2
BAPO802,0,1
BETH101,358,399
BETH801,0,0
BKDI801,3,5
BKDI802,89,73
BKDI803,0,1
BKDI804,2,0
BKHW101,293,475
BKHW102,243,415
BKHW103,192,298
BKHW104,254,347
BKHW105,174,269
BKHW106,270,330
BKHW107,265,349
BKHW108,226,311
BREN101,303,372
BREN102,228,262
BREN103,297,391
BREN104,270,321
BREN105,147,128
BREN106,141,138
BREN107,316,358
BREN108,339,361
BREN109,302,400
BREN110,274,326
BREN111,458,487
BREN112,274,262
BREN113,220,257
BREN114,168,195
BREN115,201,218
BREN116,405,527
BREN117,134,155
BREN118,293,307
BREN119,311,309
BREN120,205,219
BREN121,166,234
BREN122,181,253
BREN123,270,306
BREN124,381,413
BREN125,49,74
BREN126,305,322
BREN127,424,701
BREN128,352,649
BREN129,119,168
BREN130,250,277
BREN131,188,180
BREN132,215,173
BREN133,204,217
BREN801,2,2
BREN802,21,34
BRHL101,176,278
BRHL102,169,296
BRHL103,252,382
BRHL801,0,0
BRVL101,120,148
BRVL801,60,74
BYRN101,132,124
BYRN801,42,54
BYRN802,11,15
BYRN803,0,1
CANY801,45,80
CASR101,106,166
CLAY101,325,398
CLAY102,358,424
CLAY103,249,251
CLAY104,318,305
CLAY105,440,412
CLAY106,306,305
CLAY107,416,513
CLYD101,137,120
CONC101,155,175
CONC102,244,253
CONC103,260,308
CONC104,256,266
CONC105,271,305
CONC106,245,258
CONC107,313,347
CONC108,228,342
CONC109,306,338
CONC110,235,308
CONC111,262,303
CONC112,267,287
CONC113,302,338
CONC114,245,315
CONC115,337,514
CONC116,271,340
CONC117,274,318
CONC118,340,424
CONC119,228,336
CONC120,296,341
CONC121,280,308
CONC122,241,282
CONC123,294,374
CONC124,351,380
CONC125,249,292
CONC126,361,408
CONC127,163,210
CONC128,370,394
CONC129,236,283
CONC130,162,172
CONC131,196,275
CONC132,159,268
CONC133,293,287
CONC134,280,288
CONC136,461,456
CONC137,207,238
CONC138,303,300
CONC139,256,255
CONC140,205,238
CONC141,209,263
CONC142,222,278
CONC143,335,416
CONC144,333,431
CONC145,241,254
CONC146,248,264
CONC147,297,267
CONC148,328,415
CONC149,241,318
CONC150,244,372
CONC151,123,182
CONC152,236,318
CONC153,231,329
CONC154,157,214
CONC155,187,258
CONC156,261,317
CONC157,247,256
CONC158,285,288
CONC159,312,365
CONC160,214,265
CONC161,253,310
CONC163,183,242
CONC164,271,377
CONC165,182,208
CONC801,11,15
CONC802,0,5
CONC803,0,0
CONC804,11,8
CROC101,377,486
CROC102,197,253
CROC801,0,0
DANV101,166,281
DANV102,111,234
DANV103,205,352
DANV104,226,541
DANV105,281,500
DANV106,241,476
DANV107,290,524
DANV108,241,548
DANV109,145,322
DANV110,101,212
DANV111,150,252
DANV112,262,450
DANV113,187,329
DANV114,224,469
DANV115,188,346
DANV116,138,266
DANV117,252,372
DANV118,191,432
