Precinct,DIDDO RUTH CLARK,SARAH G BUTLER
ALHA101,109,242
ALHA801,6,13
ALHA802,12,28
ALHA803,4,7
ALHA804,31,61
ALHA805,14,25
ALHA806,0,0
ALMO101,129,276
ALMO102,280,615
ALMO103,169,387
ALMO104,222,401
ALMO105,114,209
ALMO106,189,324
ALMO107,145,280
ALMO108,130,316
ALMO109,166,357
ALMO112,119,241
BRHL101,144,276
BRHL102,114,316
BRHL103,106,113
BRHL801,0,0
CANY801,62,56
CASR101,78,186
CONC142,156,311
CONC154,116,240
CONC155,147,267
CONC164,200,397
CROC101,255,570
CROC102,157,265
CROC801,0,0
DANV104,19,47
ELSO801,0,0
ELSO802,40,78
HERC101,298,495
HERC102,305,547
HERC103,150,279
HERC104,184,389
HERC105,153,247
HERC106,208,362
HERC107,246,390
HERC108,178,361
HERC109,189,416
HERC110,155,337
HERC111,181,334
HERC113,234,467
HERC114,184,318
KENS801,0,0
KENS802,0,1
LAST801,0,1
LFET101,204,506
LFET102,168,381
LFET103,168,393
LFET104,191,438
LFET105,145,429
LFET106,154,359
LFET107,221,553
LFET108,279,508
LFET109,302,564
LFET110,156,325
LFET111,179,399
LFET112,77,184
LFET113,150,452
LFET114,150,405
LFET115,167,349
LFET116,235,509
LFET117,249,616
MART117,74,207
MART118,90,158
MART802,40,83
MART803,11,32
MART804,46,68
MART805,20,77
MART829 0,2,1
MART843 0,51,113
MART844 0,65,136
MART845 0,1,8
MART846 0,86,199
MART847 0,70,177
MART848 0,28,78
MART850 0,87,184
MDIA101,89,158
MDIA801,0,5
MORG101,257,689
MORG102,198,378
MORG103,210,581
MORG104,250,665
MORG105,234,597
MORG106,246,545
MORG107,268,662
MORG108,186,427
OLEU801,1,5
OLEU802,3,10
ORDA101,244,743
ORDA102,98,379
ORDA103,185,477
ORDA104,98,298
ORDA105,196,588
ORDA106,202,654
ORDA107,233,695
ORDA108,186,627
ORDA109,141,406
ORDA110,77,215
ORDA111,237,667
ORDA112,162,462
ORDA113,58,225
ORDA801,1,2
PINL109,128,277
PINL110,216,469
PINL111,216,446
PINL112,226,473
PLHL110,204,438
PRCO801,43,52
RICH156,121,215
RODO101,186,331
RODO102,216,396
RODO103,243,441
RODO104,195,350
SARA101,130,255
SARA102,246,419
SARA103,204,476
SARA105,142,253
SARA106,157,336
SARA801,0,2
SARA802,48,66
SHEL101,53,75
SHEL102,104,182
STMY801,24,72
WALD101,180,322
WALD103,173,287
WLCR101,346,593
WLCR102,234,501
WLCR103,366,744
WLCR104,92,140
WLCR105,218,445
WLCR106,327,548
WLCR107,74,181
WLCR108,137,211
WLCR109,101,205
WLCR110,217,446
WLCR111,221,477
WLCR112,177,382
WLCR113,196,476
WLCR114,72,172
WLCR115,131,273
WLCR116,140,245
WLCR117,267,550
WLCR118,87,228
WLCR119,198,547
WLCR120,296,512
WLCR121,266,517
WLCR122,151,313
WLCR123,208,384
WLCR124,152,253
WLCR125,205,456
WLCR126,221,487
WLCR127,240,418
WLCR129,281,486
WLCR130,150,328
WLCR131,189,323
WLCR132,198,396
WLCR133,232,428
WLCR134,185,392
WLCR135,271,474
WLCR136,92,184
WLCR137,270,533
WLCR138,223,415
WLCR139,203,406
WLCR140,208,486
WLCR141,215,474
WLCR142,243,515
WLCR143,219,378
WLCR144,215,367
WLCR801,61,104
WLCR802,0,2
WLCR803,14,31
WLCR804,62,83
WLCR805,0,0
WLKN101,219,445
WLKN102,131,339
WLKN103,121,268
WLKN801,32,81
CALD801,3,4
