Precinct,JOHN E. CROWDER,MIKE MAXWELL
ALMO110,283,348
ALMO111,274,309
ANTI106,64,58
ANTI107,302,200
ANTI108,432,311
ANTI109,369,267
ANTI120,93,80
ANTI121,297,189
ANTI122,390,277
ANTI123,449,299
ANTI141,338,235
ANTI142,231,162
ANTI143,360,310
ANTI144,192,156
ANTI145,228,153
ANTI802,6,6
BKDI801,5,4
BKDI802,111,58
BKDI803,0,1
BKDI804,0,2
BKHW101,385,397
BKHW102,346,333
BKHW103,250,261
BKHW104,291,311
BKHW105,238,213
BKHW106,304,319
BKHW107,313,323
BKHW108,289,272
BREN102,274,208
BREN103,379,311
BREN106,155,119
BREN109,383,312
BREN110,283,296
BREN111,493,450
BREN113,297,190
BREN114,196,158
BREN115,251,165
BREN116,453,476
BREN117,180,105
BREN118,345,240
BREN119,323,273
BREN121,191,205
BREN122,229,204
BREN123,313,262
BREN124,421,358
BREN126,319,311
BREN127,522,584
BREN128,409,551
BREN130,267,255
BREN132,227,168
BREN801,2,2
BRVL101,159,103
BRVL801,74,60
BYRN101,157,92
BYRN801,2,2
BYRN802,15,10
BYRN803,1,0
CLAY101,322,378
CLAY102,345,349
CLAY103,188,174
CLAY104,293,286
CLAY105,411,379
CLAY106,312,253
CLAY107,467,396
CONC159,306,330
CONC160,13,17
DANV101,216,224
DANV102,144,202
DANV103,259,292
DANV104,301,388
DANV105,329,437
DANV106,325,384
DANV107,328,475
DANV108,333,449
DANV109,205,254
DANV110,148,154
DANV111,172,225
DANV112,318,395
DANV113,192,321
DANV114,265,425
DANV115,258,275
DANV116,169,218
DANV117,272,351
DANV118,212,403
DANV119,368,571
DANV120,312,444
DANV121,198,231
DANV122,241,283
DANV123,243,296
DANV124,193,196
DANV125,113,168
DANV126,365,520
DANV127,249,268
DANV128,189,250
DANV129,314,429
DANV130,234,285
DBAY103,235,155
DBAY104,469,274
DBAY106,545,355
DBAY107,358,275
DBAY801,0,0
DIAB101,265,220
LAST801,11,12
MARC801,81,64
MARC802,7,5
MARC803,6,9
MDIA802,0,4
NCYN101,181,198
NRTV801,2,2
NRTV802,5,3
SRAM101,249,285
SRAM102,288,347
SRAM103,258,369
SRAM104,273,347
SRAM105,232,269
SRAM106,316,346
SRAM107,296,342
SRAM108,279,434
SRAM109,263,381
SRAM110,261,338
SRAM111,353,482
SRAM112,295,420
SRAM113,268,317
SRAM114,192,289
SRAM115,308,418
SRAM116,294,319
SRAM117,339,492
SRAM118,228,265
SRAM119,218,241
SRAM120,309,350
SRAM121,163,176
SRAM122,300,288
SRAM123,353,357
SRAM124,179,180
SRAM125,234,296
SRAM126,226,278
SRAM127,113,145
SRAM128,335,415
SRAM129,170,236
SRAM130,208,282
SRAM131,205,248
SRAM132,246,297
SRAM133,295,342
SRAM134,250,239
SRAM135,187,246
SRAM136,191,224
SRAM137,293,334
SRAM138,216,222
SRAM139,189,212
SRAM140,211,249
SRAM141,234,279
SRAM142,191,218
SRAM801,0,0
STMY801,2,2
TASJ101,89,97
TASJ801,1,0
TASJ802,48,40
TASJ803,20,11
TASJ804,34,43
