Precinct,WALTER RUEHLIG,ANNETTE LEWIS,DEBRA VINSON,JEFF BELLE
ANTI101,56,77,33,28
ANTI102,140,212,99,71
ANTI103,114,200,83,60
ANTI104,145,275,105,80
ANTI105,132,197,91,76
ANTI106,106,134,60,36
ANTI110,196,225,65,76
ANTI111,234,279,100,83
ANTI112,110,179,60,43
ANTI113,91,137,53,43
ANTI114,106,214,89,45
ANTI115,160,229,92,66
ANTI116,98,148,49,49
ANTI117,171,241,81,104
ANTI118,110,179,62,67
ANTI119,183,243,121,65
ANTI120,164,204,71,86
ANTI124,162,300,155,106
ANTI125,187,222,91,71
ANTI126,124,155,70,45
ANTI127,151,243,68,98
ANTI128,135,196,77,62
ANTI129,98,146,53,55
ANTI130,98,196,75,56
ANTI131,169,260,99,86
ANTI132,127,198,76,53
ANTI133,175,284,145,103
ANTI134,162,230,110,68
ANTI135,128,219,99,59
ANTI136,182,238,103,55
ANTI137,167,197,69,48
ANTI138,144,276,127,81
ANTI139,137,215,111,94
ANTI140,111,116,58,48
ANTI146,157,197,77,56
ANTI147,131,292,106,60
ANTI148,87,187,76,35
ANTI149,67,108,60,43
ANTI150,118,192,57,54
ANTI151,73,107,52,30
ANTI152,104,144,65,55
ANTI801,1,2,0,0
BAPO101,96,251,142,67
BAPO102,35,77,26,34
BAPO103,82,241,79,70
BAPO104,65,177,91,42
BAPO105,78,155,98,50
BAPO106,77,178,86,66
BAPO107,97,246,87,93
BAPO108,63,139,51,38
BAPO109,90,167,75,52
BAPO802,0,0,0,1
BETH101,170,352,91,159
BETH801,0,0,0,0
BKDI804,0,0,0,0
BREN101,130,286,132,119
BREN104,114,233,95,138
BREN105,70,117,35,52
BREN107,161,262,115,128
BREN108,170,306,111,116
BREN112,101,233,95,107
BREN120,86,195,48,95
BREN125,33,52,11,29
BREN129,60,109,51,66
BREN131,89,176,62,52
BREN133,105,179,55,95
BREN802,8,31,5,11
BYRN801,10,35,8,42
CLYD101,58,115,35,37
CONC802,1,1,1,1
DBAY101,161,436,100,195
DBAY102,149,352,81,161
DBAY105,58,135,39,45
DBAY801,33,36,2,30
FAIR801,0,1,0,0
KNGT101,130,177,58,106
KNGT801,6,12,4,8
KNGT802,0,6,0,0
KNGT803,17,19,9,11
KNGT804,9,17,10,17
NICH801,3,2,1,0
NRTV801,1,0,0,0
OKLY101,135,194,81,93
OKLY102,114,281,63,105
OKLY103,121,310,81,95
OKLY104,131,408,145,142
OKLY105,121,264,84,84
OKLY106,176,286,93,120
OKLY107,77,183,50,63
OKLY108,132,205,51,49
OKLY109,91,195,66,65
OKLY110,137,263,71,95
OKLY111,128,191,54,56
OKLY112,101,185,63,66
OKLY113,167,409,140,127
OKLY114,144,337,71,91
OKLY115,96,262,85,81
OKLY116,155,299,105,133
OKLY117,115,196,63,75
OKLY118,68,160,43,43
OKLY119,78,163,44,67
OKLY801,0,1,0,2
PTTS107,91,192,98,59
PTTS108,98,252,137,66
PTTS109,78,219,103,45
PTTS110,90,217,92,69
PTTS113,38,89,40,17
PTTS114,124,240,107,81
PTTS115,124,245,97,113
PTTS116,94,197,63,55
PTTS117,83,160,59,64
PTTS118,96,209,87,75
PTTS119,89,186,72,66
PTTS120,84,157,50,71
PTTS121,71,160,76,62
PTTS122,77,164,89,36
PTTS123,73,146,45,42
PTTS124,48,157,65,44
PTTS125,100,226,114,66
PTTS126,74,200,87,52
PTTS127,66,167,70,36
PTTS128,87,242,127,83
PTTS129,116,308,163,93
PTTS130,76,172,87,68
PTTS131,74,202,113,75
PTTS133,88,192,62,61
PTTS134,90,199,65,55
PTTS135,81,164,62,46
PTTS801,0,3,0,0
VIER801,1,5,2,1
