Precinct,JOE MUÃ‘OZ,MICHAEL MENESINI,REBECCA BARRETT,MURRAY BISHOP
AYER101,20,58,164,30
BAPO801,0,3,1,0
BRHL103,18,97,243,20
BRVL801,0,2,3,0
CLAY102,3,14,26,3
CLAY103,7,23,61,11
CONC101,43,64,201,19
CONC102,66,93,308,23
CONC103,67,118,341,34
CONC104,48,133,285,38
CONC105,77,115,325,36
CONC106,45,87,308,34
CONC107,86,117,394,47
CONC108,62,88,350,44
CONC109,71,120,394,30
CONC110,83,119,297,42
CONC111,44,112,345,37
CONC112,56,149,300,31
CONC113,71,108,380,37
CONC114,34,125,309,50
CONC115,75,190,472,52
CONC116,74,147,357,41
CONC117,67,110,335,49
CONC118,121,137,467,33
CONC119,48,111,367,39
CONC120,54,133,389,30
CONC121,54,134,334,46
CONC122,44,116,290,34
CONC123,47,156,414,37
CONC124,53,169,407,65
CONC125,57,119,318,38
CONC126,50,161,460,58
CONC127,32,88,212,28
CONC128,43,126,508,40
CONC129,37,98,320,35
CONC130,21,64,209,20
CONC131,45,112,256,29
CONC132,27,96,258,30
CONC133,54,126,321,51
CONC134,43,126,333,36
CONC136,93,188,523,62
CONC137,38,79,284,22
CONC138,68,136,328,34
CONC139,60,104,311,21
CONC140,32,96,251,30
CONC141,30,93,298,30
CONC143,48,175,464,47
CONC144,54,166,457,47
CONC145,73,95,296,32
CONC146,72,111,277,27
CONC147,59,113,341,36
CONC148,65,152,460,56
CONC149,40,128,325,52
CONC150,58,133,369,40
CONC151,33,62,173,23
CONC152,39,124,334,30
CONC153,32,131,322,41
CONC156,36,146,322,43
CONC157,35,106,293,42
CONC158,51,93,365,38
CONC160,44,101,250,35
CONC161,34,143,322,48
CONC163,73,78,242,28
CONC165,62,74,229,20
CONC801,3,4,16,4
CONC803,0,0,0,0
CONC804,0,6,11,2
MART101,18,117,237,16
MART103,21,68,152,13
MART104,46,185,425,35
MART106,22,109,185,14
MART107,56,204,352,43
MART108,36,205,380,35
MART109,33,176,360,28
MART110,34,109,246,20
MART111,60,279,476,73
MART112,37,153,302,26
MART114,29,132,211,19
MART115,23,147,287,42
MART116,20,102,174,21
MART117,8,27,46,1
MART118,17,84,144,10
MART120,41,203,389,37
MART125,35,119,260,28
MART126 0,12,98,165,16
MART801,0,1,1,0
MART806 0,7,31,46,4
MART807 0,1,22,31,4
MART808 0,4,28,72,6
MART809 0,2,0,4,1
MART810 0,4,17,44,5
MART811 0,11,27,47,6
MART812 0,0,7,16,0
MART813 0,6,27,62,9
MART814 0,0,1,3,0
MART815 0,0,35,43,4
MART816 0,2,9,12,2
MART817 0,2,10,16,1
MART818 0,5,33,73,12
MART819 0,4,6,12,1
MART820 0,4,32,42,3
MART821 0,5,24,72,12
MART822 0,8,30,77,14
MART823 0,1,12,4,1
MART824 0,0,0,10,2
MART825 0,0,9,8,2
MART826 0,12,38,48,6
MART827 0,0,0,0,0
MART828 0,0,9,9,1
MART830 0,16,33,79,4
MART831 0,11,55,134,8
MART832 0,14,69,120,11
MART833 0,16,35,111,11
MART834 0,14,85,143,18
MART835 0,12,58,113,6
MART836 0,4,63,108,11
MART837 0,3,32,63,7
MART838 0,14,13,29,4
MART839 0,13,60,115,10
MART840 0,5,49,110,9
MART841 0,12,69,126,10
MART842 0,16,58,113,15
MART849 0,4,56,93,13
MVIE101,21,111,200,28
MVIE102,29,124,207,39
MVIE801 0,0,0,0,0
MVIE802 0,0,2,3,0
NRTV802,0,0,0,0
PACH101,59,195,452,42
PACH102,51,97,241,34
PACH801,3,0,0,0
PACH802,5,23,34,8
PACH803,0,1,0,1
PLHL101,37,136,368,34
PLHL102,37,96,297,24
PLHL103,37,127,304,20
PLHL104,45,211,577,56
PLHL105,41,140,331,39
PLHL106,32,187,495,36
PLHL107,43,182,451,36
PLHL108,54,157,508,63
PLHL109,40,153,467,39
PLHL111,44,180,424,47
PLHL112,28,113,328,28
PLHL113,35,127,438,53
PLHL114,48,183,503,41
PLHL115,55,166,495,40
PLHL116,43,114,344,35
PLHL117,45,123,403,42
PLHL118,50,99,365,38
PLHL119,51,109,378,36
PRCO801,0,0,0,0
PTTS101,59,122,351,49
PTTS102,56,95,277,27
PTTS103,49,100,254,36
PTTS104,67,112,324,23
PTTS105,38,56,142,18
PTTS106,77,98,283,41
PTTS107,34,42,70,12
PTTS111,59,90,260,43
PTTS112,86,93,221,20
PTTS113,31,30,130,18
PTTS132,71,154,346,38
PTTS802,0,0,0,0
TESO801,0,0,0,0
VINE101,59,177,346,34
VINE102,52,87,171,30
VINE801,8,27,45,9
VINE802,6,25,37,3
VINE803 0,1,9,4,1
WALD102,74,203,570,53
WALD801,6,16,47,1
CONC135,40,144,339,50
