Precinct,MARK FOLEY,JOEL KELLER
ANTI101,106,75
ANTI102,317,199
ANTI103,273,168
ANTI104,348,243
ANTI105,285,203
ANTI106,297,172
ANTI107,314,184
ANTI108,450,331
ANTI109,402,252
ANTI110,313,240
ANTI111,446,254
ANTI112,234,145
ANTI113,179,141
ANTI114,259,199
ANTI115,303,236
ANTI116,191,154
ANTI117,370,208
ANTI118,233,178
ANTI119,342,262
ANTI120,417,292
ANTI121,318,183
ANTI122,427,263
ANTI123,505,260
ANTI124,429,277
ANTI125,314,231
ANTI126,265,136
ANTI127,314,250
ANTI128,284,175
ANTI129,217,118
ANTI130,258,149
ANTI131,352,245
ANTI132,298,139
ANTI133,439,262
ANTI134,340,211
ANTI135,350,155
ANTI136,372,200
ANTI137,306,176
ANTI138,358,253
ANTI139,345,211
ANTI140,184,141
ANTI141,346,241
ANTI142,247,148
ANTI143,417,265
ANTI144,219,145
ANTI145,249,147
ANTI146,263,217
ANTI147,337,237
ANTI148,211,161
ANTI149,156,119
ANTI150,247,181
ANTI151,135,108
ANTI152,209,141
ANTI801,1,2
ANTI802,2,6
BAPO101,333,211
BAPO102,113,54
BAPO103,295,181
BAPO104,219,147
BAPO105,221,136
BAPO106,256,150
BAPO107,360,171
BAPO108,167,113
BAPO109,262,114
BAPO801,2,2
BAPO802,1,0
BETH101,494,278
BETH801,0,0
BKDI801,7,2
BKDI802,113,59
BKDI803,0,1
BKDI804,2,0
BREN101,414,242
BREN102,325,166
BREN103,469,214
BREN104,383,192
BREN105,170,100
BREN106,181,92
BREN107,428,232
BREN108,427,279
BREN109,453,226
BREN110,402,203
BREN111,615,334
BREN112,316,192
BREN113,328,157
BREN114,234,128
BREN115,286,141
BREN116,568,394
BREN117,195,99
BREN118,404,195
BREN119,353,258
BREN120,255,155
BREN121,214,196
BREN122,279,148
BREN123,365,204
BREN124,483,293
BREN125,88,31
BREN126,363,250
BREN127,598,573
BREN128,583,448
BREN129,185,96
BREN130,344,195
BREN131,254,98
BREN132,241,136
BREN133,271,141
BREN801,1,3
BREN802,32,20
BRVL101,126,51
BRVL801,15,7
BYRN101,177,82
BYRN801,73,22
BYRN802,19,9
BYRN803,1,0
CLYD101,196,53
CONC101,201,121
CONC102,308,172
CONC103,351,204
CONC104,342,165
CONC105,364,189
CONC106,353,130
CONC107,416,210
CONC108,365,173
CONC109,387,190
CONC110,316,208
CONC111,354,194
CONC112,377,150
CONC113,405,200
CONC114,344,179
CONC115,519,273
CONC116,379,215
CONC117,349,203
CONC118,443,299
CONC120,375,228
CONC121,370,188
CONC122,295,188
CONC123,411,225
CONC128,444,264
CONC129,334,161
CONC130,190,113
CONC145,306,180
CONC146,311,161
CONC148,503,227
CONC149,356,178
CONC150,348,243
CONC151,188,112
CONC163,266,147
CONC165,223,140
CONC801,13,12
CONC802,5,0
CONC803,0,0
DBAY101,559,331
DBAY102,495,254
DBAY103,272,128
DBAY104,503,264
DBAY105,183,84
DBAY106,620,280
DBAY107,420,196
DBAY801,77,29
FAIR801,0,1
KNGT101,296,169
KNGT801,12,17
KNGT802,2,2
KNGT803,32,21
KNGT804,34,18
MARC801,97,46
MARC802,6,7
MARC803,9,4
NICH801,4,1
NRTV801,3,2
NRTV802,6,2
OKLY101,311,186
OKLY102,392,155
OKLY103,393,200
OKLY104,538,274
OKLY105,353,194
OKLY106,441,236
OKLY107,231,124
OKLY108,285,144
OKLY109,251,152
OKLY110,366,187
OKLY111,287,135
OKLY112,297,116
OKLY113,554,277
OKLY114,414,210
OKLY115,369,164
OKLY116,442,225
OKLY117,293,137
OKLY118,205,90
OKLY119,205,140
OKLY801,2,1
PACH102,262,148
PACH803,2,0
PTTS101,375,219
PTTS102,303,155
PTTS103,277,167
PTTS104,333,193
PTTS105,173,80
PTTS106,291,206
PTTS107,372,232
PTTS108,312,203
PTTS109,268,177
PTTS110,275,183
PTTS111,273,209
PTTS112,268,163
PTTS113,253,157
PTTS114,318,248
PTTS115,316,269
PTTS116,243,166
PTTS117,221,162
PTTS118,297,166
PTTS119,239,161
PTTS120,226,127
PTTS121,213,145
PTTS122,217,140
PTTS123,189,101
PTTS124,188,124
PTTS125,289,209
PTTS126,256,151
PTTS127,221,121
PTTS128,323,220
PTTS129,390,270
PTTS130,243,155
PTTS131,277,181
PTTS132,413,185
PTTS133,243,140
PTTS134,241,153
PTTS135,220,133
PTTS801,2,1
PTTS802,0,0
TASJ802,58,26
VIER801,6,2
VINE102,221,114
VINE801,64,24
VINE802,50,21
