Precinct,DAVID R. WILLIAMS,MICHAEL ROBERT MCGILL,STEPHEN R. MARIS
ALHA101,188,161,99
ALHA803,2,2,3
ALMO101,257,233,126
ALMO102,552,500,316
ALMO103,371,321,186
ALMO104,428,355,216
ALMO105,219,200,86
ALMO106,298,340,161
ALMO107,306,256,136
ALMO108,312,298,134
ALMO109,355,300,177
ALMO110,357,336,168
ALMO111,319,311,160
ALMO112,246,195,120
BKHW101,446,422,205
BKHW102,346,356,174
BKHW103,253,253,149
BKHW104,332,281,169
BKHW105,256,191,145
BKHW106,338,306,192
BKHW107,379,295,176
BKHW108,306,266,157
BRHL101,232,247,116
BRHL102,282,275,126
BRHL103,401,331,166
CASR101,163,167,81
CLYD101,161,120,81
CONC103,54,29,18
CONC151,188,147,72
CONC154,24,28,15
CONC801,0,2,2
CONC802,3,3,0
DANV101,282,226,138
DANV102,208,206,101
DANV103,355,306,157
DANV104,491,439,229
DANV105,481,431,218
DANV106,415,431,196
DANV107,481,457,236
DANV108,507,444,225
DANV109,303,237,124
DANV110,187,180,70
DANV111,257,224,90
DANV112,454,407,208
DANV113,314,276,145
DANV114,434,420,187
DANV115,335,275,150
DANV116,257,243,80
DANV117,422,390,167
DANV118,380,391,141
DANV119,623,570,233
DANV120,474,412,199
DANV121,282,233,129
DANV122,327,287,157
DANV123,327,296,158
DANV124,259,220,100
DANV125,177,179,68
DANV126,524,482,248
DANV127,314,279,127
DANV128,263,244,122
DANV129,464,406,231
DANV130,345,292,127
DIAB101,283,244,164
LAST801,1,1,1
LFET101,461,408,206
LFET102,392,353,162
LFET103,387,354,160
LFET104,435,376,197
LFET105,388,383,155
LFET106,340,300,134
LFET107,497,482,207
LFET108,495,450,272
LFET109,563,554,249
LFET110,314,309,150
LFET111,409,401,144
LFET112,158,160,80
LFET113,422,392,172
LFET114,363,374,136
LFET115,347,321,165
LFET116,501,499,206
LFET117,575,588,217
MART101,237,188,81
MART103,153,115,64
MART104,367,282,136
MART106,209,137,81
MART112,305,302,114
MART114,233,199,102
MART117,225,185,127
MART118,312,276,144
MART120,369,376,159
MART801,0,1,0
MART802,0,0,0
MART803,19,16,6
MART804,82,69,42
MART805,72,52,23
MART806 0,49,38,20
MART807 0,23,28,12
MART808 0,54,62,29
MART809 0,5,3,0
MART810 0,28,36,17
MART811 0,59,45,19
MART812 0,11,17,3
MART813 0,58,54,21
MART820 0,47,43,15
MART821 0,63,68,30
MART826 0,61,60,24
MART827 0,0,0,0
MART828 0,13,16,3
MART829 0,2,2,1
MART830 0,72,64,39
MART831 0,123,120,37
MART832 0,114,101,50
MART833 0,111,79,32
MART836 0,107,112,37
MART839 0,114,101,51
MART840 0,110,92,37
MART841 0,138,120,34
MART842 0,106,94,74
MART843 0,102,91,80
MART844 0,113,144,60
MART846 0,178,156,83
MART847 0,168,166,61
MART848 0,48,64,32
MART849 0,104,96,45
MART850 0,173,156,95
MDIA101,155,150,82
MDIA801,0,0,2
MORG101,655,631,276
MORG102,416,310,200
MORG103,535,513,255
MORG104,613,543,309
MORG105,574,521,238
MORG106,574,495,249
MORG107,604,574,304
MORG108,410,385,194
NCYN101,205,150,143
ORDA101,627,590,279
ORDA102,309,269,120
ORDA103,403,385,195
ORDA104,208,237,114
ORDA105,466,447,266
ORDA106,525,528,261
ORDA107,543,554,213
ORDA108,520,509,220
ORDA109,339,303,174
ORDA110,173,174,111
ORDA111,552,529,280
ORDA112,375,339,211
ORDA113,187,167,83
PACH101,482,356,199
PACH102,272,190,127
PACH801,3,3,0
PACH802,41,40,18
PACH803,2,1,0
PLHL101,388,315,160
PLHL102,307,248,94
PLHL103,332,269,127
PLHL104,548,567,230
PLHL105,353,320,143
PLHL106,497,464,178
PLHL107,459,444,186
PLHL108,519,417,237
PLHL109,434,422,203
PLHL110,450,406,205
PLHL111,479,392,217
PLHL112,327,291,153
PLHL113,425,389,185
PLHL114,485,491,218
PLHL115,507,416,227
PLHL116,353,296,158
PLHL117,414,311,187
PLHL118,345,287,178
PLHL119,383,295,172
SARA101,226,250,111
SARA102,442,370,159
SARA103,441,453,174
