Precinct,DAVID ALVARADO,LEONARD R. MCNEIL,ANTONIO ÁLVAREZ MEDRANO,CHERYL SUDDUTH,LEN BATTAGLIA
ELSO101,349,280,325,418,186
ELSO102,369,353,310,498,199
ELSO103,225,194,145,261,104
ELSO104,311,300,226,419,174
ELSO105,404,364,305,521,213
ELSO106,310,273,252,396,187
ELSO107,177,157,113,208,92
ELSO802,71,72,46,76,52
ELSO803,3,5,7,10,6
ERIC101,464,430,296,571,179
ERIC102,506,461,340,602,144
ERIC103,177,167,131,232,74
ERIC801,24,18,11,26,6
GIAN101,252,171,269,250,87
GIAN102,230,167,169,220,113
GIAN103,371,249,267,373,198
GIAN104,408,349,260,422,228
GIAN105,258,193,193,292,109
NRIC101,248,194,255,320,119
PINL102,332,271,219,341,170
PINL802,83,86,62,102,39
PINL803,34,30,21,29,9
RICH107,82,76,81,115,40
RICH131,250,223,191,302,91
RICH132,306,290,221,379,124
RICH133,273,262,171,356,97
RICH134,195,204,176,253,104
RICH135,223,196,178,291,90
RICH136,224,187,175,266,103
RICH137,319,301,224,365,145
RICH138,232,210,156,259,126
RICH139,486,455,342,607,203
RICH140,217,200,125,252,99
RICH141,348,311,214,378,122
RICH142,533,499,311,623,239
RICH146,97,74,101,109,28
RICH153,160,142,132,213,71
RICH154,244,211,199,306,90
RICH155,268,222,207,307,101
RICH156,221,190,147,234,88
RICH801,2,1,2,3,3
RICH802,18,18,10,15,10
RICH803,100,88,47,104,34
RICH804,66,63,41,71,36
RICH806,55,52,52,76,33
RICH807,0,0,0,0,0
ROLL101,342,215,321,377,113
SPAB101,475,261,516,447,151
SPAB102,201,118,207,209,64
SPAB103,224,182,222,256,70
SPAB104,298,260,223,345,95
SPAB105,191,173,125,228,82
SPAB106,402,349,336,460,168
SPAB107,332,255,296,360,109
SPAB108,279,184,248,283,100
SPAB109,250,155,229,254,98
SPAB110,337,250,312,351,116
