Precinct,ANTHONY EDWARD CARO,VANESSA ANITRA CALLOWAY,VALERIE CUEVAS,CONSUELO LARA,PATRICIO DUJAN,STEPHANIE HERNÁNDEZ-JARVIS,MADELINE KRONENBERG,CARLOS TABOADA,TIFFANY GRIMSLEY,MICHAEL GONZALES,"ELIZABETH ""LIZ""  BLOCK"
ELCR101,65,67,383,440,97,427,487,146,81,90,265
ELCR102,89,61,414,336,109,393,468,114,80,58,404
ELCR103,79,74,187,198,68,239,174,107,79,38,130
ELCR104,81,73,379,360,98,430,470,139,99,76,281
ELCR105,68,40,265,315,90,337,349,100,68,54,208
ELCR106,55,45,229,204,69,273,239,79,60,46,157
ELCR107,55,34,234,230,58,244,280,88,56,47,158
ELCR108,50,43,277,264,47,288,336,108,73,57,206
ELCR109,50,49,381,351,94,403,452,124,79,62,280
ELCR110,70,53,326,387,103,399,446,139,75,56,242
ELCR111,57,44,248,317,66,313,374,131,67,47,186
ELCR112,59,32,204,241,65,267,236,103,66,46,132
ELCR113,85,43,396,490,86,512,556,156,84,66,272
ELCR114,53,45,249,253,56,231,263,74,67,39,154
ELCR115,64,56,144,167,42,197,150,85,64,36,109
ELSO101,110,77,250,250,91,236,185,119,83,65,158
ELSO102,97,90,256,245,80,278,232,174,98,94,199
ELSO103,56,57,140,193,59,173,149,116,62,49,111
ELSO104,66,69,196,238,64,245,185,137,86,90,149
ELSO105,126,91,296,261,80,314,230,135,82,95,217
ELSO106,79,114,200,219,78,238,144,116,108,85,145
ELSO107,41,41,119,104,24,136,97,42,52,36,85
ELSO802,18,10,51,41,21,46,55,19,13,18,34
ELSO803,1,3,4,4,2,3,4,1,3,3,5
ERIC101,97,91,348,350,80,309,353,181,104,88,212
ERIC102,84,62,391,392,63,298,425,181,99,67,270
ERIC103,39,39,142,123,49,136,122,43,55,23,98
ERIC801,4,1,15,14,5,17,12,7,2,4,8
GIAN101,98,69,183,140,69,210,61,82,40,61,98
GIAN102,71,61,148,113,56,180,83,73,53,58,104
GIAN103,104,80,217,185,83,269,154,101,81,103,144
GIAN104,117,77,272,205,89,255,210,114,89,113,185
GIAN105,78,72,141,154,51,206,108,79,55,75,94
HERC101,131,135,310,257,128,341,268,158,167,109,237
HERC102,154,140,290,242,127,359,244,158,165,133,233
HERC103,89,61,156,144,53,205,137,81,85,60,114
HERC104,88,88,218,201,63,258,179,114,144,97,182
HERC105,82,54,176,134,47,176,145,67,72,59,143
HERC106,116,102,245,177,80,244,160,96,123,85,160
HERC107,97,95,278,193,89,279,200,109,137,108,200
HERC108,115,86,183,169,84,224,162,102,90,89,137
HERC109,99,98,246,207,92,248,189,103,104,95,173
HERC110,93,80,182,196,77,205,154,111,69,68,147
HERC111,89,81,233,166,88,211,175,106,95,89,165
HERC113,130,115,258,244,117,279,239,143,138,101,193
KENS101,30,14,230,180,38,202,256,106,38,33,192
KENS102,41,26,282,240,46,226,322,120,52,36,233
KENS103,56,34,434,350,98,337,449,185,77,66,300
KENS104,62,36,394,276,74,300,377,138,56,46,313
KENS802,0,0,0,0,0,0,0,0,0,0,0
NRIC101,122,139,131,146,60,185,82,72,76,91,98
PINL102,87,64,228,180,60,226,180,96,53,76,167
PINL103,82,79,230,182,83,283,146,108,81,76,162
PINL104,71,60,159,153,49,218,145,88,76,67,132
PINL105,109,109,226,206,84,276,198,144,100,66,160
PINL106,84,54,195,168,69,241,157,103,54,56,157
PINL107,78,68,156,156,57,197,133,79,51,75,138
PINL108,99,79,272,244,70,281,236,125,87,105,192
PINL109,74,55,141,126,61,194,147,87,46,70,118
PINL110,94,78,290,248,83,390,236,168,86,94,240
PINL111,74,72,294,265,61,290,266,164,107,88,211
PINL112,88,63,317,274,81,325,267,144,87,85,243
PINL801,6,0,6,5,2,2,5,2,4,1,7
PINL802,14,14,68,43,19,67,41,24,17,25,48
PINL803,13,6,26,11,4,19,21,8,6,10,20
RICH101,66,55,300,295,81,261,326,146,53,81,222
RICH102,44,32,212,183,40,166,214,90,46,58,144
RICH103,46,40,267,185,55,200,240,92,64,66,189
RICH104,83,76,355,317,97,284,401,193,96,69,259
RICH105,92,75,399,349,101,302,444,192,113,86,292
RICH106,121,152,221,253,79,256,222,170,138,76,155
RICH107,33,46,49,47,24,51,47,31,32,24,40
RICH108,67,52,266,278,68,231,331,163,68,49,193
RICH109,52,116,97,90,37,131,82,48,76,47,81
RICH110,57,59,152,182,43,138,189,118,60,37,118
RICH111,53,110,84,96,28,117,86,51,80,56,83
RICH112,88,177,123,128,51,157,135,77,113,69,128
RICH113,101,200,150,164,59,238,161,112,152,110,155
RICH114,93,207,134,180,69,183,149,99,148,85,122
RICH115,97,190,134,128,55,166,98,62,132,90,93
RICH116,53,89,85,70,33,104,68,37,64,43,62
RICH117,84,145,100,118,40,150,94,66,97,66,117
RICH118,81,72,167,238,57,179,182,151,69,76,77
RICH119,100,94,110,153,46,147,87,80,82,59,68
RICH120,68,77,93,119,36,111,86,79,54,59,79
RICH121,32,29,57,75,21,73,46,45,29,28,23
RICH122,114,131,251,328,85,306,294,200,99,101,183
RICH123,114,116,256,384,87,316,331,229,107,112,199
RICH124,51,48,165,191,42,163,198,123,57,47,137
RICH125,79,64,197,211,51,200,196,140,76,70,132
RICH126,55,61,180,184,58,168,187,139,77,63,111
RICH127,90,61,160,185,75,180,118,118,64,64,95
RICH128,100,100,169,256,77,226,208,169,91,92,104
RICH129,82,65,115,170,52,174,92,96,59,76,58
RICH130,87,94,120,145,54,166,80,87,70,61,81
RICH131,87,117,121,143,71,157,110,78,86,72,106
RICH132,107,109,188,182,85,213,166,101,89,80,129
RICH133,81,109,173,147,53,188,163,82,70,57,148
RICH134,54,106,120,125,31,140,110,78,82,53,97
RICH135,72,87,143,112,54,167,140,79,75,54,93
RICH136,58,88,120,134,34,157,98,90,78,57,113
RICH137,75,166,177,174,79,200,173,88,119,96,153
RICH138,77,66,159,124,45,155,142,62,55,56,120
RICH139,99,123,322,350,105,290,330,209,124,83,203
RICH140,41,56,150,118,43,127,137,61,57,47,116
RICH141,81,67,212,191,69,189,207,95,77,65,165
RICH142,95,95,366,337,107,339,358,201,95,99,304
RICH143,156,129,253,350,84,301,313,212,112,124,185
RICH144,74,66,291,300,66,247,322,151,88,91,222
RICH145,78,72,370,360,76,288,430,207,80,52,272
RICH146,59,44,53,46,22,70,22,43,35,27,36
RICH147,87,147,109,118,42,155,99,68,72,63,93
RICH148,23,43,24,52,17,40,18,32,22,27,27
RICH149,62,89,67,83,33,96,65,60,66,38,62
RICH150,63,50,106,128,42,141,53,97,47,50,51
RICH151,74,47,151,162,59,142,108,98,39,52,89
RICH152,66,71,117,150,47,165,71,92,45,61,69
RICH153,65,76,87,92,47,119,72,60,79,34,67
RICH154,62,115,135,156,52,173,128,107,89,63,92
RICH155,88,98,159,159,54,181,134,88,79,49,127
RICH156,41,59,125,139,47,146,126,66,47,55,88
RICH801,1,3,6,7,4,8,4,4,3,4,7
RICH802,7,4,9,6,2,12,9,3,8,2,7
RICH803,29,28,65,46,18,45,52,38,18,12,46
RICH804,8,13,50,43,15,35,45,30,13,12,38
RICH805,0,3,30,36,5,21,48,21,8,5,27
RICH806,20,16,54,31,15,50,33,24,13,12,38
RICH807,0,0,0,0,0,0,0,0,0,0,0
ROLL101,123,90,195,205,87,279,96,127,59,87,117
SPAB101,160,144,269,320,96,356,120,186,98,139,121
SPAB102,74,66,123,124,48,170,41,53,52,32,65
SPAB103,84,85,119,152,67,158,84,84,73,55,57
SPAB104,79,95,176,153,73,214,127,82,82,63,138
SPAB105,43,55,116,111,43,168,93,62,57,31,96
SPAB106,143,161,241,199,94,243,187,104,116,124,198
SPAB107,125,91,181,179,85,245,130,122,69,74,122
SPAB108,105,82,165,150,61,209,98,73,75,64,110
SPAB109,78,65,150,154,63,185,72,93,49,46,79
SPAB110,109,94,187,205,78,241,117,111,94,107,129
