Precinct,PAULINE RIVERA ALLRED,BRIAN ROGER LAX JR,ERICK A. STONEBARGER,ROY J. GHIGGERI
ANTI139,299,99,264,209
ANTI801,3,0,1,1
BETH101,429,231,549,393
BETH801,0,0,0,0
BKDI801,4,2,8,5
BKDI802,108,54,123,78
BKDI803,0,0,2,0
BREN101,450,200,468,364
BREN102,360,115,335,280
BREN103,495,209,510,388
BREN104,380,158,411,337
BREN105,159,76,198,143
BREN106,187,75,195,161
BREN107,449,164,499,390
BREN108,482,149,501,398
BREN109,497,195,555,446
BREN110,444,158,456,382
BREN111,665,238,716,556
BREN112,386,102,421,332
BREN113,348,149,384,275
BREN114,273,96,257,207
BREN115,311,112,300,250
BREN116,720,282,796,703
BREN117,212,91,236,186
BREN118,416,156,474,401
BREN119,454,166,526,429
BREN120,290,113,316,252
BREN121,298,120,297,267
BREN122,323,152,356,280
BREN123,415,161,477,374
BREN124,593,225,603,455
BREN125,86,26,109,80
BREN126,462,151,466,369
BREN127,877,272,877,806
BREN128,750,253,668,670
BREN129,224,76,222,185
BREN130,379,146,394,320
BREN131,243,92,273,202
BREN132,280,92,302,232
BREN133,309,114,368,295
BREN801,3,0,3,3
BREN802,39,22,46,47
BYRN101,126,89,224,144
BYRN801,54,33,90,51
BYRN802,15,7,24,15
BYRN803,1,1,1,0
DBAY101,603,243,652,511
DBAY102,482,198,567,447
DBAY103,248,141,323,239
DBAY104,502,243,618,479
DBAY105,172,67,219,158
DBAY106,623,268,735,573
DBAY107,427,185,507,402
DBAY801,58,39,111,88
KNGT101,252,149,447,307
KNGT801,11,13,23,15
KNGT802,2,0,6,6
KNGT803,34,10,47,30
KNGT804,29,12,39,25
MARC801,89,45,126,98
MARC802,6,5,16,12
MARC803,10,3,11,6
OKLY102,372,155,403,288
OKLY103,375,156,430,307
OKLY104,562,237,532,422
OKLY105,378,147,398,324
OKLY107,250,103,284,192
OKLY108,284,122,324,238
OKLY109,277,114,313,222
OKLY110,351,187,433,297
OKLY111,260,129,338,235
OKLY112,257,117,303,222
OKLY113,562,246,607,448
OKLY114,414,176,466,356
OKLY115,387,163,402,285
OKLY116,459,191,503,401
OKLY117,285,116,353,252
OKLY119,210,97,283,200
OKLY801,2,1,0,2
