Precinct,C. PRUDENCE CAPELLE,NORA FOSTER,TONY TISCARENO,RODNEY W MCCLELLAND,JOY MOTTS,LORI OGORCHOCK
ANTI101,24,66,52,26,84,83
ANTI102,80,114,225,44,234,165
ANTI103,66,156,134,35,217,133
ANTI104,80,166,227,47,270,218
ANTI105,75,170,148,38,237,177
ANTI106,58,123,137,46,232,221
ANTI107,66,169,177,48,250,197
ANTI108,82,156,310,97,404,395
ANTI109,64,160,231,60,341,298
ANTI110,72,119,191,57,259,275
ANTI111,93,161,239,53,353,309
ANTI112,57,112,111,31,171,156
ANTI113,45,96,94,24,152,128
ANTI114,53,106,113,35,289,157
ANTI115,77,157,176,61,278,208
ANTI116,51,107,110,25,177,129
ANTI117,80,129,214,81,287,249
ANTI118,44,110,157,46,198,173
ANTI119,89,180,228,41,278,248
ANTI120,77,176,264,64,353,318
ANTI121,69,149,158,47,258,184
ANTI122,105,230,181,77,359,274
ANTI123,123,239,225,76,345,305
ANTI124,80,190,235,45,353,289
ANTI125,78,114,182,59,301,238
ANTI126,51,94,122,31,200,165
ANTI127,87,156,198,53,304,232
ANTI128,56,131,133,50,235,179
ANTI129,43,69,125,30,193,122
ANTI130,53,118,148,35,199,150
ANTI131,70,140,206,58,301,264
ANTI132,57,121,129,37,219,169
ANTI133,97,211,219,56,354,248
ANTI134,66,202,154,47,255,203
ANTI135,88,175,143,23,218,188
ANTI136,75,151,198,54,246,236
ANTI137,71,118,164,37,229,206
ANTI138,109,166,205,37,274,244
ANTI139,79,180,150,52,237,220
ANTI140,37,88,113,38,159,127
ANTI141,85,155,212,55,291,234
ANTI142,62,139,126,38,195,150
ANTI143,100,224,211,61,358,240
ANTI144,48,94,99,49,179,151
ANTI145,61,131,120,36,158,132
ANTI146,50,109,198,46,244,207
ANTI147,74,160,178,65,237,209
ANTI148,49,139,95,23,139,128
ANTI149,36,86,76,29,95,93
ANTI150,51,99,149,48,224,192
ANTI151,33,76,85,16,126,92
ANTI152,40,125,112,45,192,120
ANTI801,0,1,2,0,0,1
ANTI802,4,3,0,0,10,6
