Precinct,"MICHAEL ""MIKE"" JONES",JOHNNY RODRIGUEZ,JOHN D. FINK,OLGA VIDRIALES,JOEL R BRYANT
BREN101,144,343,141,274,259
BREN102,133,229,96,177,193
BREN103,153,340,178,243,337
BREN104,117,248,117,238,273
BREN105,37,160,66,100,100
BREN106,59,128,58,95,114
BREN107,144,339,130,236,270
BREN108,168,343,165,250,304
BREN109,150,318,251,265,316
BREN110,112,272,158,211,311
BREN111,174,515,217,386,363
BREN112,99,281,116,220,202
BREN113,104,188,225,166,222
BREN114,86,151,131,128,135
BREN115,76,161,153,186,189
BREN116,183,429,296,348,539
BREN117,69,159,74,101,146
BREN118,110,317,151,186,279
BREN119,107,385,124,219,303
BREN120,94,226,95,169,160
BREN121,67,170,116,160,229
BREN122,80,224,135,143,241
BREN123,133,270,174,182,276
BREN124,167,388,234,278,315
BREN125,29,65,34,39,53
BREN126,110,206,365,202,240
BREN127,182,440,378,386,703
BREN128,236,345,393,351,551
BREN129,64,145,90,121,116
BREN130,122,265,161,159,220
BREN131,62,190,90,128,156
BREN132,81,146,188,133,150
BREN133,93,199,125,151,232
BREN801,0,1,0,4,2
BREN802,7,36,11,18,26
