Precinct,"EDITH PATRICIA ""PATTI"" BARSOTT"
CONC101,310
CONC102,457
CONC103,535
CONC104,483
CONC105,518
CONC106,464
CONC107,601
CONC108,522
CONC109,561
CONC110,501
CONC111,505
CONC112,490
CONC113,554
CONC114,489
CONC115,752
CONC116,564
CONC117,511
CONC118,707
CONC119,501
CONC120,571
CONC121,504
CONC122,436
CONC123,572
CONC124,650
CONC125,483
CONC126,674
CONC127,331
CONC128,630
CONC129,467
CONC130,280
CONC131,421
CONC132,393
CONC133,481
CONC134,502
CONC136,797
CONC137,387
CONC138,534
CONC139,452
CONC140,398
CONC141,428
CONC142,439
CONC143,682
CONC144,682
CONC145,455
CONC146,438
CONC147,515
CONC148,683
CONC149,506
CONC150,573
CONC151,273
CONC152,482
CONC153,504
CONC154,325
CONC155,390
CONC156,496
CONC157,425
CONC158,507
CONC159,566
CONC160,413
CONC161,495
CONC163,389
CONC164,577
CONC165,366
CONC801,25
CONC802,5
CONC803,0
CONC804,17
CONC135,524
