Precinct,RAM NAMBURI,ROBERT STORER,KAREN G. STEPPER,JAMI TUCKER
DANV101,105,347,378,12
DANV102,86,276,299,10
DANV103,114,439,500,2
DANV104,192,593,674,19
DANV105,184,620,676,20
DANV106,189,544,610,22
DANV107,226,596,686,29
DANV108,190,656,703,49
DANV109,115,387,394,13
DANV110,71,235,276,10
DANV111,89,287,334,1
DANV112,154,550,616,14
DANV113,118,413,453,26
DANV114,176,565,592,23
DANV115,148,397,438,19
DANV116,85,298,338,1
DANV117,121,525,568,6
DANV118,139,510,544,11
DANV119,119,802,903,8
DANV120,273,520,560,48
DANV121,176,284,324,27
DANV122,182,371,390,27
DANV123,123,430,477,15
DANV124,101,303,340,11
DANV125,62,246,286,14
DANV126,194,690,763,24
DANV127,91,402,431,2
DANV128,91,343,377,16
DANV129,233,557,616,39
DANV130,83,383,448,8
