Precinct,SUSAN CANDELL,KAREN J. MAGGIO,IVOR SAMSON,DAVE SMITH,TERESA GERRINGER
LFET101,486,225,365,157,384
LFET102,390,188,228,134,296
LFET103,326,198,239,171,239
LFET104,472,169,317,168,256
LFET105,343,196,247,127,278
LFET106,277,165,192,140,252
LFET107,397,291,319,230,414
LFET108,410,295,275,254,385
LFET109,485,292,370,280,429
LFET110,286,131,196,145,251
LFET111,321,192,228,141,318
LFET112,150,126,113,55,131
LFET113,354,228,237,173,306
LFET114,306,235,231,207,283
LFET115,329,119,249,184,244
LFET116,626,167,458,186,281
LFET117,450,319,377,216,484
