Precinct,YAZMÍN LLAMAS-MORALES,ROB SCHRODER
MART101,191,232
MART103,117,169
MART104,294,444
MART106,160,187
MART107,262,449
MART108,238,489
MART109,230,452
MART110,125,339
MART111,332,660
MART112,182,400
MART114,137,285
MART115,252,312
MART116,109,240
MART117,180,252
MART118,207,375
MART120,226,501
MART125,193,289
MART126 0,102,229
MART801,0,2
MART802,45,98
MART803,14,38
MART804,31,104
MART805,56,57
MART806 0,34,50
MART807 0,28,29
MART808 0,52,70
MART809 0,7,0
MART810 0,33,50
MART811 0,51,48
MART812 0,11,13
MART813 0,45,64
MART814 0,1,3
MART815 0,36,52
MART816 0,16,12
MART817 0,15,19
MART818 0,39,90
MART819 0,14,9
MART820 0,24,52
MART821 0,49,79
MART822 0,52,93
MART823 0,5,18
MART824 0,9,9
MART825 0,2,18
MART826 0,54,63
MART827 0,0,0
MART828 0,6,19
MART829 0,1,2
MART830 0,59,80
MART831 0,87,124
MART832 0,81,146
MART833 0,88,104
MART834 0,114,179
MART835 0,84,123
MART836 0,68,153
MART837 0,37,68
MART838 0,30,40
MART839 0,68,145
MART840 0,65,120
MART841 0,85,154
MART842 0,87,131
MART843 0,61,142
MART844 0,89,152
MART845 0,2,7
MART846 0,109,225
MART847 0,104,192
MART848 0,45,81
MART849 0,54,134
MART850 0,98,215
