Precinct,GREG CONLON,FIONA MA
ALHA101,219,260
ALHA801,10,13
ALHA802,23,28
ALHA803,7,6
ALHA804,39,82
ALHA805,22,26
ALHA806,1,0
ALMO101,271,303
ALMO102,512,668
ALMO103,370,393
ALMO104,448,401
ALMO105,264,210
ALMO106,392,352
ALMO107,184,399
ALMO108,239,360
ALMO109,363,365
ALMO110,415,378
ALMO111,384,375
ALMO112,306,204
ANTI101,70,142
ANTI102,147,399
ANTI103,120,381
ANTI104,192,476
ANTI105,162,397
ANTI106,142,382
ANTI107,147,419
ANTI108,351,489
ANTI109,222,519
ANTI110,208,399
ANTI111,263,514
ANTI112,135,276
ANTI113,103,248
ANTI114,119,382
ANTI115,186,417
ANTI116,112,258
ANTI117,246,404
ANTI118,157,295
ANTI119,189,496
ANTI120,258,526
ANTI121,113,443
ANTI122,203,580
ANTI123,182,669
ANTI124,167,636
ANTI125,207,422
ANTI126,152,286
ANTI127,222,407
ANTI128,156,353
ANTI129,127,246
ANTI130,142,330
ANTI131,225,462
ANTI132,126,370
ANTI133,174,614
ANTI134,143,484
ANTI135,134,443
ANTI136,171,461
ANTI137,148,391
ANTI138,173,497
ANTI139,191,440
ANTI140,112,247
ANTI141,154,480
ANTI142,83,353
ANTI143,141,620
ANTI144,126,271
ANTI145,81,340
ANTI146,190,347
ANTI147,174,463
ANTI148,66,347
ANTI149,65,243
ANTI150,161,319
ANTI151,56,224
ANTI152,109,312
ANTI801,1,2
ANTI802,6,6
AYER101,155,202
BAPO101,125,501
BAPO102,46,140
BAPO103,87,428
BAPO104,68,329
BAPO105,90,326
BAPO106,105,349
BAPO107,182,440
BAPO108,58,245
BAPO109,92,330
BAPO801,0,4
BAPO802,1,2
BETH101,482,455
BETH801,0,0
BKDI801,8,1
BKDI802,103,94
BKDI803,0,2
BKDI804,0,2
BKHW101,560,415
BKHW102,419,420
BKHW103,349,287
BKHW104,250,445
BKHW105,333,232
BKHW106,305,455
BKHW107,304,472
BKHW108,228,457
BREN101,280,488
BREN102,204,377
BREN103,395,429
BREN104,310,380
BREN105,120,187
BREN106,121,194
BREN107,317,458
BREN108,311,521
BREN109,384,446
BREN110,315,392
BREN111,440,652
BREN112,185,404
BREN113,245,344
BREN114,181,231
BREN115,210,291
BREN116,592,567
BREN117,173,203
BREN118,329,356
BREN119,314,417
BREN120,198,309
BREN121,238,232
BREN122,265,278
BREN123,345,334
BREN124,365,560
BREN125,79,72
BREN126,293,447
BREN127,654,678
BREN128,522,718
BREN129,154,198
BREN130,260,367
BREN131,155,273
BREN132,198,259
BREN133,246,266
BREN801,1,3
BREN802,25,38
BRHL101,221,308
BRHL102,190,353
BRHL103,239,526
BRHL801,0,0
BRVL101,175,140
BRVL801,81,85
BYRN101,184,124
BYRN801,78,35
BYRN802,27,16
BYRN803,2,0
CANY801,7,143
CASR101,158,216
CLAY101,340,512
CLAY102,431,482
CLAY103,236,326
CLAY104,341,402
CLAY105,429,561
CLAY106,358,332
CLAY107,451,596
CLYD101,120,189
CONC101,102,271
CONC102,137,448
CONC103,171,473
CONC104,204,409
CONC105,221,439
CONC106,142,441
CONC107,212,539
CONC108,146,487
CONC109,209,510
CONC110,152,466
CONC111,215,430
CONC112,217,421
CONC113,223,496
CONC114,226,406
CONC115,342,604
CONC116,163,537
CONC117,161,491
CONC118,152,700
CONC119,149,492
CONC120,200,518
CONC121,211,446
CONC122,183,397
CONC123,212,544
CONC124,288,546
CONC125,189,445
CONC126,325,584
CONC127,208,270
CONC128,289,571
CONC129,235,349
CONC130,123,257
CONC131,157,394
CONC132,154,352
CONC133,217,430
CONC134,200,451
CONC136,347,692
CONC137,134,377
CONC138,214,467
CONC139,142,428
CONC140,193,338
CONC141,177,373
CONC142,201,372
CONC143,237,639
CONC144,238,637
CONC145,112,434
CONC146,156,413
CONC147,240,399
CONC148,267,629
CONC149,218,442
CONC150,233,515
CONC151,126,249
CONC152,216,461
CONC153,219,445
CONC154,149,293
CONC155,184,354
CONC156,270,419
CONC157,186,385
CONC158,187,465
CONC159,265,514
CONC160,262,316
CONC161,221,457
CONC163,119,356
CONC164,267,487
CONC165,91,351
CONC801,16,20
CONC802,4,1
CONC803,0,0
CONC804,12,8
CROC101,231,787
CROC102,119,400
CROC801,1,0
DANV101,294,275
DANV102,222,203
DANV103,279,413
DANV104,437,525
DANV105,447,521
DANV106,416,470
DANV107,386,607
DANV108,450,522
DANV109,234,338
DANV110,171,206
DANV111,168,327
DANV112,362,496
DANV113,231,376
DANV114,363,505
DANV115,334,324
DANV116,173,295
DANV117,276,484
DANV118,267,451
DANV119,519,639
DANV120,366,561
DANV121,246,269
DANV122,317,337
DANV123,302,384
DANV124,179,307
DANV125,138,222
DANV126,379,673
DANV127,252,373
DANV128,236,293
DANV129,438,485
DANV130,288,320
DBAY101,468,624
DBAY102,483,433
DBAY103,314,190
DBAY104,579,352
DBAY105,176,153
DBAY106,682,438
DBAY107,464,317
DBAY801,90,46
DIAB101,385,248
ELCR101,88,979
ELCR102,145,906
ELCR103,61,580
ELCR104,108,966
ELCR105,126,666
ELCR106,69,536
ELCR107,98,552
ELCR108,94,686
ELCR109,79,907
ELCR110,75,889
ELCR111,55,709
ELCR112,50,615
ELCR113,91,1043
ELCR114,54,564
ELCR115,64,468
ELSO101,126,598
ELSO102,144,653
ELSO103,124,405
ELSO104,144,519
ELSO105,205,646
ELSO106,113,550
ELSO107,55,290
ELSO801,0,2
ELSO802,48,93
ELSO803,5,9
ERIC101,94,846
ERIC102,82,914
ERIC103,52,323
ERIC801,3,39
FAIR801,1,0
GIAN101,75,425
GIAN102,87,319
GIAN103,167,489
GIAN104,204,563
GIAN105,67,392
HERC101,194,742
HERC102,183,806
HERC103,70,413
HERC104,141,540
HERC105,111,375
HERC106,144,510
HERC107,129,630
HERC108,139,466
HERC109,120,643
HERC110,121,441
HERC111,138,476
HERC113,148,675
HERC114,108,471
KENS101,63,520
KENS102,63,669
KENS103,100,1009
KENS104,69,835
KENS801,1,0
KENS802,0,1
KNGT101,365,228
KNGT801,19,16
KNGT802,6,2
KNGT803,31,36
KNGT804,17,46
LAST801,25,17
LFET101,383,566
LFET102,286,445
LFET103,212,489
LFET104,207,590
LFET105,238,480
LFET106,191,476
LFET107,244,750
LFET108,225,822
LFET109,283,844
LFET110,159,449
LFET111,214,532
LFET112,121,214
LFET113,240,529
LFET114,233,481
LFET115,214,453
