Precinct,CESAR ZEPEDA,CAROLE JOHNSON,DEMNLUS JOHNSON III,"VIRGINIA ""VICKY"" RAMIREZ",JIM ROGERS,ADA RECINOS,KEITH RIVERS,VINAY PIMPLÃ‰,ELEANOR THOMPSON,EDUARDO MARTINEZ,DAVE SCHOENTHAL,DIEGO GARCIA,"NATHANIEL ""NAT"" BATES"
RICH101,222,76,257,134,130,199,12,329,64,205,330,65,100
RICH102,166,46,199,65,75,118,9,214,31,106,263,40,62
RICH103,202,62,182,58,134,121,5,288,57,133,313,43,110
RICH104,266,124,274,163,186,252,23,349,82,247,154,100,150
RICH105,311,133,303,170,205,325,27,399,119,299,155,90,169
RICH106,156,141,240,166,141,205,45,169,94,233,49,79,192
RICH107,24,32,59,35,40,31,9,38,32,55,13,20,46
RICH108,189,93,162,135,151,246,26,296,56,302,68,83,121
RICH109,77,47,152,38,72,72,16,68,72,67,31,35,141
RICH110,106,55,116,90,94,172,17,136,35,189,49,52,82
RICH111,55,50,177,47,85,73,13,65,51,92,27,39,134
RICH112,91,75,251,76,116,96,22,91,78,126,36,51,221
RICH113,122,85,287,93,175,124,21,86,126,181,51,87,266
RICH114,100,85,249,94,175,111,27,67,101,153,21,84,258
RICH115,101,96,219,100,125,82,31,70,72,95,38,90,199
RICH116,41,56,133,43,65,33,21,38,44,79,17,46,133
RICH117,81,57,215,86,113,83,14,56,44,96,48,81,194
RICH118,148,83,173,135,91,172,17,97,40,220,48,128,90
RICH119,98,60,140,93,60,98,23,74,40,102,27,112,129
RICH120,67,60,113,66,68,67,21,64,36,118,18,89,108
RICH121,50,23,55,45,26,48,6,14,22,60,14,68,41
RICH122,253,101,250,158,181,229,34,257,62,303,94,123,187
RICH123,271,103,273,168,177,303,31,226,53,359,112,134,152
RICH124,148,72,121,96,105,178,20,140,43,194,52,45,106
RICH125,150,71,132,132,126,164,11,182,43,209,71,94,117
RICH126,147,67,137,102,117,131,16,156,58,170,75,97,101
RICH127,142,69,126,131,91,121,16,97,21,159,37,134,128
RICH128,202,74,174,146,134,153,24,136,50,208,74,151,117
RICH129,150,37,97,91,87,86,13,59,38,158,29,127,94
RICH130,102,76,147,110,109,100,34,43,43,140,25,73,140
RICH131,144,79,132,92,107,91,30,97,75,127,33,68,129
RICH132,212,91,167,118,144,118,28,156,72,132,57,67,142
RICH133,176,77,181,102,116,116,29,138,61,109,50,37,175
RICH134,86,77,151,66,129,78,13,66,60,86,37,35,175
RICH135,140,80,140,91,98,114,11,103,42,124,28,36,120
RICH136,106,77,141,72,99,82,24,72,57,103,30,42,166
RICH137,125,110,219,107,169,108,26,136,146,123,37,53,218
RICH138,140,55,100,61,149,71,17,145,55,104,69,43,140
RICH139,260,115,265,139,266,230,44,282,100,260,132,76,235
RICH140,97,47,87,66,121,76,12,115,49,80,57,39,131
RICH141,147,89,164,86,167,90,18,205,64,106,65,107,190
RICH142,228,142,244,154,290,218,29,351,123,256,115,108,242
RICH143,234,104,303,186,191,235,45,241,82,272,97,184,203
RICH144,247,105,234,105,180,217,19,298,58,258,121,52,135
RICH145,240,110,272,160,188,380,19,318,50,426,92,59,135
RICH146,34,21,67,64,31,43,5,25,20,53,14,45,52
RICH147,78,69,225,79,115,58,27,35,61,98,30,68,168
RICH148,27,19,42,23,24,26,8,22,18,44,10,28,40
RICH149,39,59,106,58,58,68,21,25,29,84,23,47,96
RICH150,108,28,62,88,56,70,8,56,26,116,29,124,81
RICH151,120,54,94,91,98,97,19,131,27,131,37,84,83
RICH152,142,39,83,97,86,62,21,70,27,116,31,134,86
RICH153,60,71,112,55,68,76,23,58,50,79,25,26,110
RICH154,94,100,162,105,71,123,32,76,60,125,34,55,142
RICH155,142,73,141,104,119,93,18,111,37,115,36,63,208
RICH156,96,44,113,68,117,64,18,128,50,82,35,40,110
RICH801,7,4,5,3,10,4,1,6,6,5,4,4,8
RICH802,2,5,11,3,8,4,3,6,4,8,6,3,15
RICH803,38,24,11,25,52,51,13,36,13,56,15,14,42
RICH804,22,25,30,23,38,34,8,42,19,39,18,1,39
RICH805,22,5,24,12,9,27,0,26,3,25,10,3,6
RICH806,27,18,44,20,21,33,2,42,15,33,23,27,24
RICH807,0,0,0,0,0,0,0,0,0,0,0,0,0
