Precinct,RICARDO LARA,STEVE POIZNER
ALHA101,179,281
ALHA801,12,11
ALHA802,26,24
ALHA803,4,9
ALHA804,45,72
ALHA805,18,27
ALHA806,0,1
ALMO101,172,375
ALMO102,402,745
ALMO103,254,488
ALMO104,233,588
ALMO105,121,341
ALMO106,210,506
ALMO107,243,329
ALMO108,226,352
ALMO109,220,488
ALMO110,191,566
ALMO111,218,518
ALMO112,114,383
ANTI101,111,94
ANTI102,309,240
ANTI103,315,173
ANTI104,405,255
ANTI105,338,214
ANTI106,294,225
ANTI107,354,203
ANTI108,399,433
ANTI109,414,309
ANTI110,330,263
ANTI111,383,372
ANTI112,224,184
ANTI113,201,141
ANTI114,304,196
ANTI115,348,240
ANTI116,209,162
ANTI117,313,334
ANTI118,239,211
ANTI119,412,255
ANTI120,425,344
ANTI121,359,196
ANTI122,482,298
ANTI123,562,284
ANTI124,544,257
ANTI125,324,294
ANTI126,238,192
ANTI127,309,309
ANTI128,283,223
ANTI129,189,176
ANTI130,275,190
ANTI131,364,300
ANTI132,302,186
ANTI133,520,256
ANTI134,425,196
ANTI135,356,217
ANTI136,365,246
ANTI137,314,219
ANTI138,428,234
ANTI139,381,239
ANTI140,212,142
ANTI141,402,227
ANTI142,299,134
ANTI143,504,253
ANTI144,225,163
ANTI145,316,112
ANTI146,280,260
ANTI147,399,232
ANTI148,293,116
ANTI149,207,97
ANTI150,224,242
ANTI151,192,89
ANTI152,266,141
ANTI801,2,1
ANTI802,4,8
AYER101,129,222
BAPO101,397,220
BAPO102,117,66
BAPO103,348,158
BAPO104,297,111
BAPO105,295,121
BAPO106,256,196
BAPO107,350,268
BAPO108,208,90
BAPO109,284,131
BAPO801,4,0
BAPO802,2,1
BETH101,325,579
BETH801,0,0
BKDI801,1,8
BKDI802,65,130
BKDI803,0,2
BKDI804,2,0
BKHW101,269,670
BKHW102,274,537
BKHW103,185,425
BKHW104,312,363
BKHW105,159,389
BKHW106,310,430
BKHW107,337,413
BKHW108,315,347
BREN101,377,369
BREN102,296,278
BREN103,332,467
BREN104,296,376
BREN105,162,141
BREN106,164,141
BREN107,399,372
BREN108,400,408
BREN109,313,482
BREN110,268,420
BREN111,533,530
BREN112,316,255
BREN113,252,314
BREN114,172,232
BREN115,217,269
BREN116,386,729
BREN117,165,198
BREN118,278,393
BREN119,320,393
BREN120,257,240
BREN121,149,307
BREN122,212,299
BREN123,237,412
BREN124,430,456
BREN125,58,83
BREN126,338,384
BREN127,410,892
BREN128,445,769
BREN129,153,194
BREN130,290,325
BREN131,204,214
BREN132,192,251
BREN133,187,303
BREN801,3,1
BREN802,26,37
BRHL101,187,324
BRHL102,217,314
BRHL103,350,396
BRHL801,0,0
BRVL101,98,202
BRVL801,60,100
BYRN101,90,197
BYRN801,27,86
BYRN802,11,29
BYRN803,0,1
CANY801,122,29
CASR101,129,226
CLAY101,302,523
CLAY102,329,569
CLAY103,202,349
CLAY104,261,461
CLAY105,366,598
CLAY106,215,454
CLAY107,411,605
CLYD101,141,156
CONC101,210,155
CONC102,360,210
CONC103,350,296
CONC104,279,327
CONC105,319,312
CONC106,314,252
CONC107,429,314
CONC108,344,289
CONC109,377,323
CONC110,346,263
CONC111,292,338
CONC112,311,306
CONC113,384,318
CONC114,279,334
CONC115,432,491
CONC116,427,264
CONC117,401,247
CONC118,578,265
CONC119,368,260
CONC120,382,322
CONC121,297,353
CONC122,270,298
CONC123,384,360
CONC124,402,413
CONC125,327,295
CONC126,421,459
CONC127,195,262
CONC128,401,440
CONC129,257,315
CONC130,186,184
CONC131,311,223
CONC132,208,283
CONC133,314,320
CONC134,301,332
CONC136,526,488
CONC137,296,202
CONC138,320,342
CONC139,317,244
CONC140,247,269
CONC141,264,280
CONC142,235,325
CONC143,443,421
CONC144,417,454
CONC145,361,184
CONC146,337,231
CONC147,318,314
CONC148,455,424
CONC149,322,331
CONC150,357,377
CONC151,165,196
CONC152,333,329
CONC153,292,359
CONC154,202,231
CONC155,247,282
CONC156,292,382
CONC157,272,279
CONC158,353,284
CONC159,383,378
CONC160,184,380
CONC161,311,346
CONC163,294,176
CONC164,309,423
CONC165,292,144
CONC801,10,22
CONC802,2,2
CONC803,0,0
CONC804,7,13
CROC101,609,391
CROC102,313,202
CROC801,0,1
DANV101,152,393
DANV102,111,301
DANV103,272,398
DANV104,343,592
DANV105,329,614
DANV106,310,535
DANV107,368,606
DANV108,320,625
DANV109,207,350
DANV110,120,254
DANV111,231,257
DANV112,329,508
DANV113,234,367
DANV114,313,520
DANV115,203,427
DANV116,180,282
DANV117,325,422
DANV118,272,444
DANV119,402,734
DANV120,366,535
DANV121,164,341
DANV122,186,457
DANV123,240,422
DANV124,205,270
DANV125,141,207
DANV126,436,586
DANV127,253,356
DANV128,169,348
DANV129,326,573
DANV130,206,387
DBAY101,485,570
DBAY102,334,548
DBAY103,138,347
DBAY104,217,684
DBAY105,138,170
DBAY106,296,791
DBAY107,216,540
DBAY801,34,97
DIAB101,149,453
ELCR101,757,297
ELCR102,687,344
ELCR103,465,159
ELCR104,735,312
ELCR105,521,254
ELCR106,445,148
ELCR107,436,206
ELCR108,513,251
ELCR109,669,303
ELCR110,700,250
ELCR111,579,169
ELCR112,512,139
ELCR113,838,282
ELCR114,439,166
ELCR115,388,129
ELSO101,473,245
ELSO102,554,235
ELSO103,322,200
ELSO104,425,235
ELSO105,517,317
ELSO106,454,205
ELSO107,221,116
ELSO801,2,0
ELSO802,64,76
ELSO803,9,6
ERIC101,664,259
ERIC102,742,233
ERIC103,264,103
ERIC801,26,14
FAIR801,0,1
GIAN101,381,112
GIAN102,271,130
GIAN103,426,222
GIAN104,444,305
GIAN105,324,130
HERC101,591,319
HERC102,666,294
HERC103,352,125
