Precinct,DAMON COVINGTON,RON ARDISSONE,STEVE HILL,"WILLIAM ""BILL""  PRATHER",ERNIE WHEELER
HERC101,692,332,414,396,338
HERC102,755,292,378,401,347
HERC103,393,155,210,194,177
HERC104,522,247,291,281,247
HERC105,335,153,194,224,198
HERC106,505,246,335,260,235
HERC107,559,239,308,315,286
HERC108,466,195,262,269,256
HERC109,530,222,317,269,249
HERC110,429,183,259,245,219
HERC111,466,220,274,253,290
HERC113,633,251,355,338,327
HERC114,452,183,229,218,189
OLEU801,5,1,2,5,2
OLEU802,8,4,4,2,2
RODO101,456,242,266,209,165
RODO102,569,272,296,276,208
RODO103,599,346,364,270,211
RODO104,492,260,302,190,166
