Precinct,ARTHUR LEE FOUNTAIN,PATT YOUNG,LEE MASON,LINDA JEAN STRONG
ANTI105,99,132,102,129
ANTI107,234,300,237,333
BAPO101,238,296,251,337
BAPO102,74,78,72,96
BAPO103,226,250,197,298
BAPO104,158,186,168,208
BAPO105,140,154,176,200
BAPO106,184,214,188,219
BAPO107,237,265,218,298
BAPO108,123,137,109,157
BAPO109,145,184,189,219
BAPO801,4,4,0,4
BAPO802,1,1,0,1
BKDI804,0,2,2,2
BRVL101,102,112,97,116
BRVL801,29,29,20,30
CLAY104,12,11,16,13
CLYD101,106,109,101,133
NICH801,3,3,2,3
NRTV801,2,1,3,3
NRTV802,2,3,5,8
PTTS101,294,340,276,387
PTTS102,221,251,225,295
PTTS103,223,226,215,296
PTTS104,252,277,226,327
PTTS105,124,134,130,169
PTTS106,235,271,219,314
PTTS107,273,294,257,352
PTTS108,245,294,217,325
PTTS109,224,236,201,280
PTTS110,218,240,213,279
PTTS111,217,236,199,305
PTTS112,191,238,195,268
PTTS113,192,208,180,251
PTTS114,261,293,233,335
PTTS115,293,296,286,352
PTTS116,216,242,180,267
PTTS117,177,184,145,209
PTTS118,227,238,219,273
PTTS119,190,204,176,252
PTTS120,166,189,159,222
PTTS121,146,174,143,200
PTTS122,168,190,146,217
PTTS123,162,162,141,190
PTTS124,136,172,128,210
PTTS125,254,278,244,352
PTTS126,190,205,168,237
PTTS127,161,182,148,220
PTTS128,279,308,259,334
PTTS129,340,347,320,421
PTTS130,195,224,199,273
PTTS131,222,264,218,291
PTTS132,300,325,266,373
PTTS133,177,208,169,249
PTTS134,210,229,186,263
PTTS135,170,194,172,239
PTTS801,3,3,1,2
PTTS802,0,0,0,0
CONC135,26,24,25,31
