Contest,Filename,Open.Seats,Candidates
ACALANES UNION HIGH SCHOOL DISTRICT,34.csv,3,4
ALAMEDA-CONTRA COSTA TRANSIT DISTRICT DIRECTOR  AT LARGE,25.csv,1,2
ANTIOCH UNIFIED SCHOOL DISTRICT,30.csv,2,7
ASSOCIATE JUSTICE   COURT OF APPEALS 1ST DISTRICT  DIVISION 1 - SANDRA MARGULIES,86.csv,1,2
ASSOCIATE JUSTICE   COURT OF APPEALS 1ST DISTRICT  DIVISION 2 - JAMES A. RICHMAN,88.csv,1,2
ASSOCIATE JUSTICE   COURT OF APPEALS 1ST DISTRICT  DIVISION 2 - MARLA MILLER,89.csv,1,2
ASSOCIATE JUSTICE   COURT OF APPEALS 1ST DISTRICT  DIVISION 4 - ALISON M. TUCHER,92.csv,1,2
ASSOCIATE JUSTICE   COURT OF APPEALS 1ST DISTRICT  DIVISION 4 - JON B. STREETER,91.csv,1,2
ASSOCIATE JUSTICE OF THE SUPREME COURT -  LEONDRA R. KRUGER,85.csv,1,2
ASSOCIATE JUSTICE OF THE SUPREME COURT - CAROL A. CORRIGAN,84.csv,1,2
ATTORNEY GENERAL,6.csv,1,2
BETHEL ISLAND MUNICIPAL IMPROVEMENT DISTRICT DIRECTOR,80.csv,2,4
BRENTWOOD UNION SCHOOL DISTRICT,36.csv,3,5
BYRON BETHANY IRRIGATION DISTRICT  DIVISION 1 DIRECTOR,82.csv,1,2
C - CITY OF PINOLE - MAJORITY,112.csv,1,2
CENTRAL CONTRA COSTA SANITARY DISTRICT DIRECTOR,27.csv,2,3
CITY OF ANTIOCH MEMBER  CITY COUNCIL,37.csv,2,6
CITY OF BRENTWOOD MEMBER  CITY COUNCIL,38.csv,2,5
CITY OF CLAYTON MEMBER  CITY COUNCIL,39.csv,2,4
CITY OF CONCORD - COUNCIL DISTRICT 1 CITY COUNCIL,40.csv,1,3
CITY OF CONCORD - COUNCIL DISTRICT 3 CITY COUNCIL,41.csv,1,2
CITY OF CONCORD - COUNCIL DISTRICT 5 CITY COUNCIL,42.csv,1,1
CITY OF CONCORD CITY TREASURER,43.csv,1,1
CITY OF EL CERRITO MEMBER  CITY COUNCIL,45.csv,2,2
CITY OF HERCULES MEMBER  CITY COUNCIL,46.csv,2,5
CITY OF LAFAYETTE MEMBER  CITY COUNCIL,47.csv,2,5
CITY OF MARTINEZ - COUNCIL DISTRICT 1 CITY COUNCIL,50.csv,1,1
CITY OF MARTINEZ - COUNCIL DISTRICT 4 CITY COUNCIL,51.csv,1,2
CITY OF MARTINEZ MAYOR,49.csv,1,2
CITY OF OAKLEY MEMBER  CITY COUNCIL,52.csv,2,4
CITY OF ORINDA MEMBER  CITY COUNCIL,53.csv,3,5
